p, k, b/c, n, result
0.02,3.82,6.0, 138, 0
0.02,3.84,6.0, 37, 0
0.02,4.1,6.0, 136, 0
0.02,4.02,6.0, 61, 0
0.02,3.88,6.0, 4887, 100
0.02,4.2,6.0, 588, 0
0.02,3.76,6.0, 25, 0
0.02,3.92,6.0, 34, 0
0.02,4.06,6.0, 425, 0
0.02,3.96,6.0, 1, 0
0.02,3.76,6.0, 5642, 100
0.02,3.86,6.0, 6, 0
0.02,4.16,6.0, 12, 0
0.02,4.06,6.0, 47, 0
0.02,3.98,6.0, 166, 0
0.02,3.76,6.0, 30741, 100
0.02,4.38,6.0, 22, 0
0.02,3.76,6.0, 244, 0
0.02,3.78,6.0, 95, 0
0.02,4.04,6.0, 2436, 0
0.02,4.16,6.0, 651, 0
0.02,4.18,6.0, 56, 0
0.02,4.06,6.0, 14, 0
0.02,3.92,6.0, 38, 0
0.02,3.64,6.0, 65, 0
0.02,4.0,6.0, 537, 0
0.02,4.22,6.0, 67, 0
0.02,3.88,6.0, 141, 0
0.02,3.92,6.0, 30, 0
0.02,4.4,6.0, 339, 0
0.02,3.68,6.0, 142, 0
0.02,3.98,6.0, 33, 0
0.02,4.38,6.0, 86, 0
0.02,3.92,6.0, 410, 0
0.02,3.88,6.0, 689, 0
0.02,4.16,6.0, 293, 0
0.02,3.98,6.0, 1716, 0
0.02,3.76,6.0, 1105, 0
0.02,3.82,6.0, 73, 0
0.02,3.76,6.0, 109, 0
0.02,4.22,6.0, 2, 0
0.02,3.7,6.0, 1370, 0
0.02,4.24,6.0, 216, 0
0.02,3.9,6.0, 82, 0
0.02,3.8,6.0, 553, 0
0.02,4.12,6.0, 208, 0
0.02,3.68,6.0, 370, 0
0.02,3.56,6.0, 406, 0
0.02,3.92,6.0, 2, 0
0.02,3.98,6.0, 153, 0
0.02,3.84,6.0, 6, 0
0.02,3.86,6.0, 58, 0
0.02,3.78,6.0, 579, 0
0.02,3.68,6.0, 31, 0
0.02,4.02,6.0, 12, 0
0.02,3.98,6.0, 33, 0
0.02,4.08,6.0, 31, 0
0.02,4.02,6.0, 335, 0
0.02,4.2,6.0, 45, 0
0.02,4.02,6.0, 55, 0
0.02,3.78,6.0, 30, 0
0.02,4.2,6.0, 12502, 0
0.02,4.18,6.0, 28, 0
0.02,4.24,6.0, 256, 0
0.02,3.86,6.0, 214, 0
0.02,3.8,6.0, 92, 0
0.02,3.78,6.0, 11, 0
0.02,4.04,6.0, 44, 0
0.02,3.8,6.0, 78, 0
0.02,3.82,6.0, 24, 0
0.02,3.82,6.0, 318, 0
0.02,3.54,6.0, 694, 0
0.02,4.1,6.0, 948, 0
0.02,4.14,6.0, 152, 0
0.02,3.58,6.0, 56, 0
0.02,3.66,6.0, 586, 0
0.02,3.84,6.0, 63, 0
0.02,4.04,6.0, 87, 0
0.02,4.22,6.0, 2, 0
0.02,4.14,6.0, 1328, 0
0.02,3.78,6.0, 4135, 100
0.02,4.14,6.0, 74, 0
0.02,3.76,6.0, 179, 0
0.02,3.78,6.0, 20, 0
0.02,3.98,6.0, 870, 0
0.02,3.56,6.0, 437, 0
0.02,4.26,6.0, 39, 0
0.02,3.84,6.0, 110, 0
0.02,3.76,6.0, 14601, 0
0.02,3.92,6.0, 10765, 100
0.02,3.46,6.0, 41, 0
0.02,3.64,6.0, 81, 0
0.02,4.14,6.0, 116, 0
0.02,3.68,6.0, 2396, 0
0.02,4.16,6.0, 882, 0
0.02,4.16,6.0, 495, 0
0.02,4.24,6.0, 73, 0
0.02,3.94,6.0, 16, 0
0.02,3.8,6.0, 103, 0
0.02,3.74,6.0, 2067, 0
0.02,3.94,6.0, 6824, 100
0.02,3.82,6.0, 230, 0
0.02,4.14,6.0, 66, 0
0.02,4.08,6.0, 10, 0
0.02,4.02,6.0, 85, 0
0.02,3.68,6.0, 119, 0
0.02,3.76,6.0, 6975, 0
0.02,3.6,6.0, 11, 0
0.02,3.88,6.0, 27, 0
0.02,3.8,6.0, 747, 0
0.02,4.16,6.0, 17, 0
0.02,3.94,6.0, 1210, 0
0.02,4.5,6.0, 91, 0
0.02,3.76,6.0, 1354, 0
0.02,3.66,6.0, 872, 0
0.02,4.24,6.0, 3, 0
0.02,3.68,6.0, 195, 0
0.02,4.02,6.0, 78, 0
0.02,4.08,6.0, 15, 0
0.02,3.7,6.0, 246, 0
0.02,4.04,6.0, 4572, 0
0.02,3.88,6.0, 46, 0
0.02,4.24,6.0, 152, 0
0.02,4.1,6.0, 297, 0
0.02,3.76,6.0, 19, 0
0.02,3.94,6.0, 138, 0
0.02,3.68,6.0, 84, 0
0.02,3.98,6.0, 17, 0
0.02,3.7,6.0, 26, 0
0.02,3.94,6.0, 536, 0
0.02,3.54,6.0, 48, 0
0.02,4.0,6.0, 10, 0
0.02,3.86,6.0, 5705, 100
0.02,4.0,6.0, 21, 0
0.02,3.84,6.0, 3014, 0
0.02,4.06,6.0, 11, 0
0.02,3.98,6.0, 764, 0
0.02,3.7,6.0, 107, 0
0.02,3.7,6.0, 1558, 0
0.02,3.76,6.0, 16, 0
0.02,4.06,6.0, 33, 0
0.02,3.7,6.0, 32, 0
0.02,3.68,6.0, 39, 0
0.02,4.0,6.0, 65, 0
0.02,3.7,6.0, 539, 0
0.02,4.26,6.0, 25, 0
0.02,4.08,6.0, 17, 0
0.02,3.9,6.0, 22, 0
0.02,3.94,6.0, 980, 0
0.02,3.66,6.0, 176, 0
0.02,4.28,6.0, 177, 0
0.02,3.8,6.0, 229, 0
0.02,3.7,6.0, 50, 0
0.02,4.04,6.0, 8777, 100
0.02,4.08,6.0, 199, 0
0.02,4.22,6.0, 169, 0
0.02,3.74,6.0, 103, 0
0.02,3.64,6.0, 398, 0
0.02,4.0,6.0, 5787, 100
0.02,4.04,6.0, 936, 0
0.02,3.8,6.0, 150, 0
0.02,4.1,6.0, 4263, 0
0.02,4.04,6.0, 77, 0
0.02,3.6,6.0, 748, 0
0.02,3.94,6.0, 92, 0
0.02,3.66,6.0, 19, 0
0.02,3.8,6.0, 77, 0
0.02,3.84,6.0, 35, 0
0.02,3.92,6.0, 2, 0
0.02,4.16,6.0, 94, 0
0.02,3.9,6.0, 42, 0
0.02,3.86,6.0, 63, 0
0.02,3.74,6.0, 94, 0
0.02,3.88,6.0, 31, 0
0.02,4.2,6.0, 7, 0
0.02,3.84,6.0, 2345, 0
0.02,3.82,6.0, 881, 0
0.02,3.94,6.0, 43, 0
0.02,3.94,6.0, 64, 0
0.02,3.8,6.0, 99, 0
0.02,4.28,6.0, 6114, 100
0.02,3.82,6.0, 314, 0
0.02,4.14,6.0, 520, 0
0.02,3.78,6.0, 204, 0
0.02,3.62,6.0, 149, 0
0.02,3.72,6.0, 125, 0
0.02,3.8,6.0, 43, 0
