p, k, b/c, n, result
0.02,3.74,5.5, 26, 0
0.02,3.74,5.5, 198, 0
0.02,3.88,5.5, 100, 0
0.02,3.76,5.5, 1284, 0
0.02,3.92,5.5, 107, 0
0.02,3.54,5.5, 79, 0
0.02,3.66,5.5, 1398, 0
0.02,4.1,5.5, 82, 0
0.02,4.2,5.5, 7, 0
0.02,4.18,5.5, 2384, 0
0.02,3.68,5.5, 562, 0
0.02,3.94,5.5, 1046, 0
0.02,4.1,5.5, 87, 0
0.02,4.06,5.5, 14, 0
0.02,3.92,5.5, 16, 0
0.02,3.74,5.5, 18, 0
0.02,3.9,5.5, 112, 0
0.02,3.98,5.5, 2513, 0
0.02,3.88,5.5, 21, 0
0.02,3.66,5.5, 16, 0
0.02,3.68,5.5, 2993, 0
0.02,3.72,5.5, 38, 0
0.02,4.2,5.5, 273, 0
0.02,4.0,5.5, 4275, 100
0.02,3.7,5.5, 50, 0
0.02,4.18,5.5, 114, 0
0.02,4.14,5.5, 4925, 0
0.02,4.1,5.5, 361, 0
0.02,3.52,5.5, 435, 0
0.02,4.22,5.5, 235, 0
0.02,3.8,5.5, 112, 0
0.02,4.18,5.5, 56, 0
0.02,3.7,5.5, 2918, 0
0.02,4.0,5.5, 5315, 0
0.02,4.2,5.5, 6, 0
0.02,4.72,5.5, 26, 0
0.02,3.74,5.5, 247, 0
0.02,4.0,5.5, 7, 0
0.02,3.64,5.5, 60, 0
0.02,4.06,5.5, 147, 0
0.02,3.6,5.5, 5, 0
0.02,3.92,5.5, 48, 0
0.02,3.96,5.5, 193, 0
0.02,3.82,5.5, 16, 0
0.02,3.8,5.5, 650, 0
0.02,4.04,5.5, 334, 0
0.02,4.2,5.5, 23589, 100
0.02,4.34,5.5, 2410, 0
0.02,4.2,5.5, 473, 0
0.02,3.96,5.5, 418, 0
0.02,3.92,5.5, 413, 0
0.02,4.0,5.5, 64, 0
0.02,3.82,5.5, 126, 0
0.02,3.86,5.5, 231, 0
0.02,4.04,5.5, 706, 0
0.02,4.14,5.5, 14, 0
0.02,4.04,5.5, 70, 0
0.02,3.94,5.5, 35, 0
0.02,4.12,5.5, 707, 0
0.02,3.9,5.5, 1468, 0
0.02,3.92,5.5, 44, 0
0.02,4.16,5.5, 125, 0
0.02,3.94,5.5, 12, 0
0.02,3.98,5.5, 359, 0
0.02,4.02,5.5, 138, 0
0.02,3.36,5.5, 253, 0
0.02,4.04,5.5, 9, 0
0.02,4.2,5.5, 2890, 0
0.02,4.0,5.5, 53, 0
0.02,3.86,5.5, 600, 0
0.02,3.82,5.5, 129, 0
0.02,4.18,5.5, 77, 0
0.02,3.82,5.5, 12, 0
0.02,3.76,5.5, 814, 0
0.02,3.82,5.5, 37, 0
0.02,3.88,5.5, 238, 0
0.02,3.64,5.5, 1834, 0
0.02,3.92,5.5, 113, 0
0.02,3.66,5.5, 1561, 0
0.02,4.14,5.5, 19, 0
0.02,3.7,5.5, 336, 0
0.02,4.04,5.5, 85, 0
0.02,3.98,5.5, 20, 0
0.02,3.92,5.5, 2356, 0
0.02,4.0,5.5, 438, 0
0.02,4.08,5.5, 1, 0
0.02,3.9,5.5, 239, 0
0.02,4.18,5.5, 12, 0
0.02,3.7,5.5, 1669, 0
0.02,4.04,5.5, 68, 0
0.02,3.86,5.5, 87, 0
0.02,3.58,5.5, 2, 0
0.02,3.92,5.5, 10815, 100
0.02,4.08,5.5, 208, 0
0.02,4.08,5.5, 35, 0
0.02,4.26,5.5, 1, 0
0.02,3.76,5.5, 18, 0
0.02,4.0,5.5, 13, 0
0.02,3.84,5.5, 24, 0
0.02,3.84,5.5, 77, 0
0.02,3.7,5.5, 9, 0
0.02,3.98,5.5, 4875, 0
0.02,4.1,5.5, 18, 0
0.02,4.32,5.5, 79, 0
0.02,3.72,5.5, 44, 0
0.02,3.9,5.5, 68, 0
0.02,3.74,5.5, 1, 0
0.02,3.92,5.5, 3, 0
0.02,3.92,5.5, 17, 0
0.02,3.52,5.5, 24, 0
0.02,3.68,5.5, 153, 0
0.02,4.0,5.5, 19, 0
0.02,3.94,5.5, 56, 0
0.02,3.84,5.5, 433, 0
0.02,4.3,5.5, 14, 0
0.02,4.02,5.5, 1159, 0
0.02,4.08,5.5, 868, 0
0.02,3.78,5.5, 306, 0
0.02,3.82,5.5, 92, 0
0.02,3.54,5.5, 273, 0
0.02,3.88,5.5, 331, 0
0.02,3.92,5.5, 764, 0
0.02,3.36,5.5, 428, 0
0.02,3.78,5.5, 6352, 100
0.02,3.7,5.5, 13, 0
0.02,3.78,5.5, 73, 0
0.02,3.76,5.5, 55, 0
