p, k, b/c, n, result
0.02,3.94,4.0, 384, 0
0.02,3.9,4.0, 169, 0
0.02,3.92,4.0, 88, 0
0.02,4.3,4.0, 3366, 0
0.02,3.94,4.0, 3, 0
0.02,3.88,4.0, 32, 0
0.02,3.98,4.0, 3694, 0
0.02,3.84,4.0, 38, 0
0.02,4.02,4.0, 125, 0
0.02,3.72,4.0, 330, 0
0.02,3.88,4.0, 299, 0
0.02,4.08,4.0, 120, 0
0.02,4.18,4.0, 1496, 0
0.02,3.86,4.0, 35, 0
0.02,3.7,4.0, 616, 0
0.02,3.64,4.0, 52, 0
0.02,3.92,4.0, 220, 0
0.02,3.68,4.0, 99, 0
0.02,3.62,4.0, 128, 0
0.02,3.74,4.0, 5, 0
0.02,3.68,4.0, 39, 0
0.02,3.98,4.0, 313, 0
0.02,3.84,4.0, 5619, 0
0.02,4.2,4.0, 44, 0
0.02,3.74,4.0, 24, 0
0.02,3.86,4.0, 973, 0
0.02,3.92,4.0, 101, 0
0.02,4.06,4.0, 71, 0
0.02,3.96,4.0, 636, 0
0.02,3.84,4.0, 3354, 0
0.02,3.68,4.0, 338, 0
0.02,3.8,4.0, 415, 0
0.02,3.78,4.0, 467, 0
0.02,3.92,4.0, 90, 0
0.02,3.8,4.0, 348, 0
0.02,3.9,4.0, 35, 0
0.02,4.1,4.0, 16, 0
0.02,4.48,4.0, 27, 0
0.02,3.8,4.0, 23, 0
0.02,3.82,4.0, 46, 0
0.02,3.82,4.0, 223, 0
0.02,4.4,4.0, 197, 0
0.02,4.22,4.0, 1093, 0
0.02,3.56,4.0, 15, 0
0.02,3.68,4.0, 921, 0
0.02,4.1,4.0, 630, 0
0.02,3.94,4.0, 193, 0
0.02,4.08,4.0, 3182, 0
0.02,4.14,4.0, 61, 0
0.02,3.8,4.0, 510, 0
0.02,3.78,4.0, 15, 0
0.02,4.22,4.0, 137, 0
0.02,3.84,4.0, 30, 0
0.02,3.72,4.0, 11, 0
0.02,4.0,4.0, 129, 0
0.02,4.04,4.0, 106, 0
0.02,3.84,4.0, 32, 0
0.02,4.14,4.0, 169, 0
0.02,3.56,4.0, 1796, 0
0.02,4.16,4.0, 61, 0
0.02,3.9,4.0, 376, 0
0.02,3.7,4.0, 56, 0
0.02,3.82,4.0, 69, 0
0.02,4.0,4.0, 357, 0
0.02,3.74,4.0, 97, 0
0.02,4.1,4.0, 927, 0
0.02,4.02,4.0, 28, 0
0.02,3.98,4.0, 2296, 0
0.02,3.8,4.0, 34, 0
0.02,3.82,4.0, 684, 0
0.02,4.0,4.0, 10, 0
0.02,3.88,4.0, 76, 0
0.02,3.76,4.0, 231, 0
0.02,3.86,4.0, 919, 0
0.02,4.12,4.0, 502, 0
0.02,4.14,4.0, 9, 0
0.02,3.86,4.0, 2, 0
0.02,3.7,4.0, 34, 0
0.02,4.1,4.0, 6, 0
0.02,4.02,4.0, 12, 0
0.02,4.32,4.0, 30, 0
0.02,3.5,4.0, 117, 0
0.02,3.88,4.0, 36, 0
0.02,3.9,4.0, 264, 0
0.02,4.02,4.0, 338, 0
0.02,3.92,4.0, 191, 0
0.02,3.9,4.0, 18, 0
0.02,4.24,4.0, 154, 0
0.02,3.9,4.0, 65, 0
0.02,3.68,4.0, 43, 0
0.02,4.14,4.0, 134, 0
0.02,4.58,4.0, 123, 0
0.02,3.88,4.0, 2787, 0
0.02,4.1,4.0, 1, 0
0.02,4.28,4.0, 1099, 0
0.02,3.92,4.0, 981, 0
0.02,3.74,4.0, 180, 0
0.02,3.68,4.0, 153, 0
0.02,4.3,4.0, 104, 0
0.02,3.92,4.0, 41, 0
0.02,3.94,4.0, 67, 0
0.02,4.26,4.0, 173, 0
0.02,3.86,4.0, 11, 0
0.02,4.06,4.0, 13, 0
0.02,4.08,4.0, 268, 0
0.02,3.68,4.0, 98, 0
0.02,3.68,4.0, 62, 0
0.02,3.8,4.0, 18, 0
0.02,3.64,4.0, 644, 0
0.02,4.0,4.0, 80, 0
0.02,3.86,4.0, 43, 0
0.02,3.72,4.0, 187, 0
0.02,4.0,4.0, 149, 0
0.02,4.2,4.0, 365, 0
0.02,4.26,4.0, 132, 0
0.02,3.72,4.0, 12, 0
0.02,3.7,4.0, 250, 0
0.02,3.8,4.0, 4920, 0
0.02,4.12,4.0, 173, 0
0.02,3.84,4.0, 141, 0
0.02,4.1,4.0, 49, 0
0.02,3.86,4.0, 37, 0
0.02,3.9,4.0, 142, 0
0.02,3.86,4.0, 1313, 0
0.02,3.98,4.0, 501, 0
0.02,4.22,4.0, 150, 0
0.02,4.02,4.0, 18, 0
0.02,3.82,4.0, 29, 0
0.02,4.44,4.0, 13, 0
0.02,3.82,4.0, 693, 0
0.02,3.7,4.0, 10, 0
0.02,4.02,4.0, 2668, 0
0.02,3.96,4.0, 10, 0
0.02,3.6,4.0, 31, 0
0.02,4.04,4.0, 1850, 0
0.02,3.7,4.0, 1273, 0
0.02,3.82,4.0, 262, 0
0.02,3.92,4.0, 47, 0
0.02,4.04,4.0, 317, 0
0.02,4.26,4.0, 56, 0
0.02,3.82,4.0, 55, 0
0.02,3.78,4.0, 421, 0
0.02,3.7,4.0, 141, 0
0.02,3.6,4.0, 17223, 100
0.02,3.98,4.0, 1405, 0
0.02,3.6,4.0, 19, 0
0.02,4.18,4.0, 248, 0
0.02,3.58,4.0, 61, 0
0.02,4.0,4.0, 58, 0
0.02,4.0,4.0, 58, 0
0.02,3.58,4.0, 14, 0
0.02,4.24,4.0, 37, 0
0.02,3.88,4.0, 71, 0
0.02,3.66,4.0, 5, 0
0.02,3.96,4.0, 54, 0
0.02,3.96,4.0, 344, 0
0.02,3.7,4.0, 32, 0
0.02,3.74,4.0, 346, 0
0.02,3.88,4.0, 224, 0
0.02,3.76,4.0, 7435, 100
0.02,3.96,4.0, 52, 0
0.02,4.1,4.0, 224, 0
0.02,3.58,4.0, 1066, 0
0.02,4.02,4.0, 9, 0
0.02,4.04,4.0, 53, 0
0.02,3.64,4.0, 80, 0
0.02,3.94,4.0, 175, 0
0.02,4.08,4.0, 1170, 0
0.02,4.0,4.0, 6, 0
0.02,3.98,4.0, 83, 0
0.02,3.98,4.0, 41, 0
0.02,4.16,4.0, 18, 0
0.02,4.36,4.0, 793, 0
0.02,4.06,4.0, 5, 0
0.02,3.66,4.0, 68, 0
0.02,3.82,4.0, 271, 0
0.02,3.86,4.0, 63, 0
0.02,3.94,4.0, 53, 0
0.02,3.7,4.0, 122, 0
0.02,3.9,4.0, 112, 0
0.02,3.86,4.0, 1139, 0
0.02,4.42,4.0, 137, 0
0.02,3.7,4.0, 3340, 0
0.02,3.76,4.0, 416, 0
0.02,3.96,4.0, 158, 0
0.02,4.12,4.0, 74, 0
0.02,3.8,4.0, 836, 0
0.02,3.76,4.0, 39, 0
0.02,3.92,4.0, 296, 0
0.02,3.68,4.0, 68, 0
0.02,3.98,4.0, 7, 0
0.02,4.0,4.0, 782, 0
0.02,3.88,4.0, 65, 0
0.02,3.68,4.0, 215, 0
0.02,3.86,4.0, 47, 0
0.02,4.26,4.0, 164, 0
0.02,3.66,4.0, 16, 0
0.02,3.88,4.0, 114, 0
0.02,3.86,4.0, 59, 0
0.02,3.82,4.0, 189, 0
0.02,4.0,4.0, 373, 0
0.02,3.48,4.0, 69, 0
0.02,3.82,4.0, 53, 0
0.02,3.86,4.0, 72, 0
0.02,3.88,4.0, 15, 0
0.02,4.02,4.0, 112, 0
0.02,3.84,4.0, 817, 0
0.02,3.86,4.0, 57, 0
0.02,4.1,4.0, 21, 0
0.02,3.88,4.0, 3685, 0
0.02,3.8,4.0, 3, 0
0.02,4.12,4.0, 68, 0
0.02,3.78,4.0, 1001, 0
0.02,3.64,4.0, 1232, 0
0.02,4.12,4.0, 1051, 0
0.02,3.54,4.0, 345, 0
0.02,4.2,4.0, 479, 0
0.02,3.92,4.0, 854, 0
0.02,3.6,4.0, 20, 0
0.02,4.12,4.0, 486, 0
0.02,4.1,4.0, 109, 0
0.02,3.98,4.0, 11, 0
0.02,3.82,4.0, 34, 0
0.02,4.16,4.0, 708, 0
0.02,4.0,4.0, 7, 0
0.02,4.28,4.0, 30, 0
0.02,3.76,4.0, 51, 0
0.02,3.86,4.0, 28, 0
0.02,3.8,4.0, 6, 0
0.02,4.08,4.0, 110, 0
0.02,3.48,4.0, 27, 0
0.02,4.0,4.0, 293, 0
0.02,4.06,4.0, 479, 0
0.02,3.84,4.0, 110, 0
0.02,3.92,4.0, 107, 0
0.02,3.98,4.0, 75, 0
0.02,4.0,4.0, 209, 0
0.02,3.68,4.0, 164, 0
0.02,4.22,4.0, 136, 0
0.02,3.92,4.0, 80, 0
0.02,3.86,4.0, 2375, 0
0.02,4.24,4.0, 25, 0
0.02,4.24,4.0, 13, 0
0.02,3.84,4.0, 6, 0
0.02,4.08,4.0, 25, 0
0.02,3.78,4.0, 212, 0
0.02,4.02,4.0, 4, 0
0.02,3.98,4.0, 2, 0
0.02,3.98,4.0, 131, 0
0.02,3.68,4.0, 10, 0
0.02,3.64,4.0, 4119, 100
0.02,4.1,4.0, 408, 0
0.02,3.74,4.0, 3360, 0
0.02,4.2,4.0, 1321, 0
0.02,4.0,4.0, 5, 0
0.02,4.08,4.0, 18297, 0
0.02,3.9,4.0, 1662, 0
0.02,3.64,4.0, 33, 0
0.02,3.84,4.0, 37, 0
0.02,3.9,4.0, 72, 0
0.02,4.18,4.0, 356, 0
0.02,3.92,4.0, 328, 0
0.02,3.84,4.0, 226, 0
0.02,4.24,4.0, 21, 0
0.02,4.14,4.0, 28, 0
0.02,3.7,4.0, 104, 0
0.02,3.78,4.0, 18, 0
0.02,3.84,4.0, 30, 0
0.02,4.06,4.0, 174, 0
0.02,3.82,4.0, 3837, 0
0.02,3.64,4.0, 68, 0
0.02,3.78,4.0, 72, 0
0.02,3.74,4.0, 27, 0
0.02,4.02,4.0, 49, 0
0.02,4.1,4.0, 29, 0
0.02,3.9,4.0, 79, 0
0.02,3.72,4.0, 3, 0
0.02,3.84,4.0, 24, 0
0.02,3.82,4.0, 25, 0
0.02,3.88,4.0, 63, 0
0.02,3.72,4.0, 94, 0
0.02,4.32,4.0, 17, 0
0.02,3.84,4.0, 48, 0
