p, k, b/c, n, result
0.02,4.0,5.0, 21, 0
0.02,3.86,5.0, 5719, 0
0.02,3.62,5.0, 289, 0
0.02,4.06,5.0, 53, 0
0.02,4.14,5.0, 172, 0
0.02,3.94,5.0, 102, 0
0.02,3.7,5.0, 73, 0
0.02,3.88,5.0, 54, 0
0.02,3.94,5.0, 1445, 0
0.02,3.92,5.0, 89, 0
0.02,3.86,5.0, 125, 0
0.02,3.96,5.0, 53, 0
0.02,3.7,5.0, 23, 0
0.02,4.14,5.0, 202, 0
0.02,3.6,5.0, 3938, 0
0.02,4.02,5.0, 134, 0
0.02,3.86,5.0, 131, 0
0.02,3.96,5.0, 118, 0
0.02,3.82,5.0, 90, 0
0.02,4.2,5.0, 546, 0
0.02,3.72,5.0, 21, 0
0.02,3.96,5.0, 36, 0
0.02,4.04,5.0, 262, 0
0.02,4.02,5.0, 287, 0
0.02,3.76,5.0, 84, 0
0.02,3.74,5.0, 80, 0
0.02,4.24,5.0, 311, 0
0.02,4.12,5.0, 57, 0
0.02,3.7,5.0, 103, 0
0.02,3.72,5.0, 196, 0
0.02,3.8,5.0, 1288, 0
0.02,3.8,5.0, 1, 0
0.02,3.86,5.0, 94, 0
0.02,3.9,5.0, 1392, 0
0.02,4.32,5.0, 229, 0
0.02,4.3,5.0, 12, 0
0.02,4.16,5.0, 2549, 0
0.02,4.04,5.0, 2059, 0
0.02,3.48,5.0, 115, 0
0.02,3.98,5.0, 21, 0
0.02,4.06,5.0, 30, 0
0.02,4.04,5.0, 29, 0
0.02,4.0,5.0, 266, 0
0.02,4.28,5.0, 103, 0
0.02,3.82,5.0, 11, 0
0.02,4.16,5.0, 11865, 100
0.02,3.94,5.0, 10, 0
0.02,4.12,5.0, 36, 0
0.02,4.28,5.0, 39, 0
0.02,3.82,5.0, 26, 0
0.02,3.92,5.0, 74, 0
0.02,3.6,5.0, 136, 0
0.02,3.78,5.0, 239, 0
0.02,3.74,5.0, 53, 0
0.02,3.58,5.0, 3173, 0
0.02,4.38,5.0, 15, 0
0.02,4.26,5.0, 40, 0
0.02,3.92,5.0, 8, 0
0.02,3.98,5.0, 84, 0
