p, k, b/c, n, result
0.02,4.42,3.0, 36, 0
0.02,3.56,3.0, 4, 0
0.02,4.08,3.0, 39, 0
0.02,3.96,3.0, 289, 0
0.02,3.98,3.0, 139, 0
0.02,3.98,3.0, 1540, 0
0.02,4.18,3.0, 31, 0
0.02,3.78,3.0, 47, 0
0.02,3.6,3.0, 163, 0
0.02,3.96,3.0, 281, 0
0.02,3.76,3.0, 19384, 0
0.02,3.92,3.0, 131, 0
0.02,4.0,3.0, 99, 0
0.02,3.72,3.0, 23, 0
0.02,4.12,3.0, 107, 0
0.02,3.74,3.0, 45, 0
0.02,4.04,3.0, 552, 0
0.02,4.18,3.0, 4120, 0
0.02,3.96,3.0, 41, 0
0.02,4.16,3.0, 46, 0
0.02,3.96,3.0, 130, 0
0.02,4.12,3.0, 35, 0
0.02,4.04,3.0, 72, 0
0.02,3.86,3.0, 55, 0
0.02,4.2,3.0, 2225, 0
0.02,3.98,3.0, 39, 0
0.02,3.66,3.0, 1032, 0
0.02,3.88,3.0, 1873, 0
0.02,3.96,3.0, 177, 0
0.02,4.32,3.0, 223, 0
0.02,3.9,3.0, 30, 0
0.02,3.98,3.0, 6, 0
0.02,3.92,3.0, 75, 0
0.02,4.08,3.0, 2092, 0
0.02,3.86,3.0, 168, 0
0.02,3.9,3.0, 52, 0
0.02,3.92,3.0, 124, 0
0.02,4.18,3.0, 128, 0
0.02,3.68,3.0, 91, 0
0.02,3.8,3.0, 29201, 0
0.02,4.02,3.0, 1375, 0
0.02,3.98,3.0, 82, 0
0.02,3.98,3.0, 84, 0
0.02,3.86,3.0, 17940, 0
0.02,3.8,3.0, 142, 0
0.02,3.98,3.0, 283, 0
0.02,4.3,3.0, 602, 0
0.02,3.82,3.0, 60, 0
0.02,3.92,3.0, 60, 0
0.02,4.38,3.0, 1577, 0
0.02,3.96,3.0, 194, 0
0.02,3.62,3.0, 313, 0
0.02,4.04,3.0, 132, 0
0.02,4.06,3.0, 137, 0
0.02,3.98,3.0, 58, 0
0.02,3.82,3.0, 25, 0
0.02,3.98,3.0, 16199, 100
0.02,4.16,3.0, 256, 0
0.02,4.14,3.0, 55, 0
0.02,3.96,3.0, 370, 0
0.02,4.24,3.0, 91, 0
0.02,3.74,3.0, 12959, 0
0.02,3.96,3.0, 10, 0
0.02,4.02,3.0, 377, 0
0.02,3.46,3.0, 2345, 0
