p, k, b/c, n, result
0.02,4.02,4.5, 23, 0
0.02,3.54,4.5, 147, 0
0.02,3.84,4.5, 199, 0
0.02,3.86,4.5, 2, 0
0.02,3.8,4.5, 77, 0
0.02,3.8,4.5, 478, 0
0.02,3.88,4.5, 45, 0
0.02,3.94,4.5, 304, 0
0.02,4.0,4.5, 193, 0
0.02,3.68,4.5, 513, 0
0.02,3.84,4.5, 143, 0
0.02,3.36,4.5, 27305, 100
0.02,4.08,4.5, 17, 0
0.02,3.74,4.5, 2425, 0
0.02,3.98,4.5, 38, 0
0.02,3.76,4.5, 52, 0
0.02,4.0,4.5, 72, 0
0.02,3.6,4.5, 307, 0
0.02,3.92,4.5, 113, 0
0.02,4.02,4.5, 185, 0
0.02,3.74,4.5, 1, 0
0.02,3.98,4.5, 57, 0
0.02,3.92,4.5, 6192, 100
0.02,4.06,4.5, 284, 0
0.02,3.74,4.5, 48, 0
0.02,3.88,4.5, 74, 0
0.02,3.64,4.5, 70, 0
0.02,4.0,4.5, 6, 0
0.02,3.96,4.5, 378, 0
0.02,3.9,4.5, 12379, 100
0.02,4.36,4.5, 59, 0
0.02,3.42,4.5, 52, 0
0.02,3.76,4.5, 14, 0
0.02,3.96,4.5, 50, 0
0.02,3.94,4.5, 71, 0
0.02,4.0,4.5, 8, 0
0.02,4.16,4.5, 148, 0
0.02,4.18,4.5, 14, 0
0.02,3.72,4.5, 98, 0
0.02,3.64,4.5, 357, 0
0.02,4.38,4.5, 362, 0
0.02,4.0,4.5, 75, 0
0.02,3.82,4.5, 40, 0
0.02,3.92,4.5, 67, 0
0.02,4.1,4.5, 1, 0
0.02,3.8,4.5, 2062, 0
0.02,4.1,4.5, 1776, 0
0.02,4.0,4.5, 42, 0
0.02,3.9,4.5, 9, 0
0.02,3.96,4.5, 4439, 100
0.02,3.66,4.5, 1, 0
0.02,4.04,4.5, 13, 0
0.02,3.78,4.5, 135, 0
0.02,3.9,4.5, 3, 0
0.02,4.02,4.5, 12, 0
0.02,3.96,4.5, 119, 0
0.02,4.26,4.5, 52, 0
0.02,4.06,4.5, 591, 0
0.02,4.0,4.5, 12597, 0
0.02,3.7,4.5, 431, 0
0.02,4.34,4.5, 227, 0
0.02,3.94,4.5, 99, 0
0.02,3.8,4.5, 119, 0
0.02,3.62,4.5, 10, 0
0.02,4.14,4.5, 21, 0
0.02,3.78,4.5, 52, 0
0.02,3.96,4.5, 96, 0
0.02,3.8,4.5, 443, 0
0.02,3.7,4.5, 41, 0
0.02,3.62,4.5, 39, 0
0.02,3.84,4.5, 27, 0
0.02,3.64,4.5, 24, 0
0.02,4.04,4.5, 42, 0
0.02,4.08,4.5, 232, 0
0.02,3.92,4.5, 5891, 0
0.02,4.1,4.5, 22, 0
0.02,4.34,4.5, 485, 0
0.02,3.88,4.5, 56, 0
0.02,3.7,4.5, 7, 0
0.02,4.02,4.5, 155, 0
0.02,3.66,4.5, 142, 0
0.02,4.06,4.5, 312, 0
0.02,3.88,4.5, 305, 0
0.02,4.06,4.5, 11, 0
0.02,3.8,4.5, 251, 0
0.02,4.1,4.5, 51, 0
0.02,3.64,4.5, 9, 0
0.02,3.56,4.5, 4, 0
0.02,4.04,4.5, 281, 0
0.02,3.92,4.5, 322, 0
0.02,3.82,4.5, 8392, 0
0.02,3.9,4.5, 48, 0
0.02,3.88,4.5, 244, 0
0.02,4.0,4.5, 16, 0
0.02,4.08,4.5, 40, 0
0.02,3.88,4.5, 18, 0
0.02,3.66,4.5, 6, 0
0.02,3.92,4.5, 97, 0
0.02,3.46,4.5, 744, 0
0.02,3.92,4.5, 141, 0
0.02,3.86,4.5, 207, 0
0.02,3.8,4.5, 3568, 0
0.02,4.18,4.5, 6507, 100
0.02,4.06,4.5, 60, 0
0.02,4.26,4.5, 7, 0
0.02,4.02,4.5, 44, 0
0.02,3.54,4.5, 71, 0
0.02,3.56,4.5, 97, 0
0.02,3.98,4.5, 292, 0
0.02,3.82,4.5, 24, 0
0.02,3.72,4.5, 163, 0
0.02,3.82,4.5, 54, 0
0.02,3.68,4.5, 2, 0
0.02,4.24,4.5, 2, 0
0.02,3.96,4.5, 168, 0
0.02,3.62,4.5, 98, 0
0.02,3.66,4.5, 184, 0
0.02,4.14,4.5, 877, 0
0.02,4.16,4.5, 120, 0
0.02,4.02,4.5, 1233, 0
0.02,4.04,4.5, 227, 0
0.02,4.28,4.5, 216, 0
0.02,3.88,4.5, 202, 0
0.02,3.7,4.5, 148, 0
0.02,3.56,4.5, 62, 0
0.02,3.56,4.5, 36, 0
0.02,3.84,4.5, 535, 0
0.02,3.72,4.5, 192, 0
0.02,3.98,4.5, 58, 0
0.02,4.08,4.5, 304, 0
0.02,3.96,4.5, 50, 0
0.02,3.96,4.5, 91, 0
0.02,3.84,4.5, 310, 0
0.02,3.92,4.5, 83, 0
0.02,4.1,4.5, 74, 0
0.02,3.46,4.5, 380, 0
0.02,3.86,4.5, 207, 0
0.02,3.38,4.5, 76, 0
0.02,4.06,4.5, 161, 0
0.02,3.88,4.5, 837, 0
0.02,3.92,4.5, 27, 0
0.02,3.92,4.5, 585, 0
0.02,3.82,4.5, 3, 0
0.02,3.68,4.5, 160, 0
0.02,4.06,4.5, 437, 0
0.02,3.74,4.5, 333, 0
0.02,3.86,4.5, 46, 0
0.02,4.1,4.5, 3685, 0
0.02,3.82,4.5, 777, 0
0.02,4.12,4.5, 72, 0
0.02,4.06,4.5, 64, 0
0.02,3.82,4.5, 263, 0
0.02,3.76,4.5, 223, 0
0.02,3.98,4.5, 78, 0
0.02,4.06,4.5, 58, 0
0.02,3.72,4.5, 186, 0
0.02,4.04,4.5, 31, 0
0.02,4.2,4.5, 25, 0
0.02,3.78,4.5, 10640, 100
0.02,3.82,4.5, 625, 0
0.02,3.74,4.5, 819, 0
0.02,3.98,4.5, 115, 0
0.02,4.38,4.5, 81, 0
0.02,4.36,4.5, 676, 0
0.02,3.94,4.5, 23, 0
0.02,3.84,4.5, 20, 0
0.02,3.56,4.5, 44, 0
0.02,4.22,4.5, 165, 0
0.02,3.68,4.5, 13384, 100
0.02,4.16,4.5, 18, 0
0.02,3.5,4.5, 8287, 100
0.02,4.16,4.5, 768, 0
0.02,3.74,4.5, 162, 0
0.02,3.82,4.5, 49, 0
0.02,3.3,4.5, 53, 0
0.02,3.82,4.5, 6, 0
0.02,3.84,4.5, 123, 0
0.02,4.3,4.5, 31, 0
0.02,3.86,4.5, 212, 0
0.02,4.08,4.5, 106, 0
0.02,3.84,4.5, 446, 0
0.02,3.98,4.5, 32, 0
0.02,4.0,4.5, 131, 0
0.02,3.98,4.5, 6, 0
0.02,4.22,4.5, 72, 0
0.02,4.0,4.5, 290, 0
0.02,3.74,4.5, 1003, 0
0.02,3.78,4.5, 35, 0
0.02,4.22,4.5, 96, 0
0.02,3.74,4.5, 13, 0
0.02,4.08,4.5, 59, 0
0.02,3.72,4.5, 86, 0
0.02,4.24,4.5, 355, 0
0.02,3.84,4.5, 1, 0
0.02,3.56,4.5, 80, 0
0.02,4.08,4.5, 81, 0
0.02,3.96,4.5, 64, 0
0.02,4.32,4.5, 76, 0
0.02,3.62,4.5, 238, 0
0.02,4.06,4.5, 18, 0
0.02,3.86,4.5, 30, 0
0.02,4.02,4.5, 45, 0
0.02,4.02,4.5, 142, 0
0.02,4.0,4.5, 6, 0
0.02,4.04,4.5, 748, 0
