p, k, b/c, n, result
0.04,5.46,7.5, 38, 0
0.04,6.22,7.5, 126, 0
0.04,6.48,7.5, 221, 0
0.04,6.08,7.5, 122, 0
0.04,5.82,7.5, 20, 0
0.04,5.76,7.5, 32, 0
0.04,5.96,7.5, 37, 0
0.04,6.08,7.5, 9, 0
0.04,5.82,7.5, 66, 0
0.04,6.52,7.5, 331, 0
0.04,6.3,7.5, 524, 0
0.04,5.48,7.5, 324, 0
0.04,6.36,7.5, 4, 0
0.04,5.9,7.5, 579, 0
0.04,5.7,7.5, 316, 0
0.04,6.06,7.5, 36, 0
0.04,5.72,7.5, 607, 0
0.04,5.98,7.5, 3, 0
0.04,5.86,7.5, 110, 0
0.04,5.8,7.5, 89, 0
0.04,5.46,7.5, 82, 0
0.04,5.7,7.5, 51, 0
0.04,5.58,7.5, 407, 0
0.04,6.52,7.5, 52, 0
0.04,5.44,7.5, 80, 0
0.04,6.0,7.5, 148, 0
0.04,6.16,7.5, 73, 0
0.04,5.46,7.5, 399, 0
0.04,5.58,7.5, 76, 0
0.04,5.42,7.5, 405, 0
0.04,5.5,7.5, 1132, 0
0.04,5.84,7.5, 10, 0
0.04,5.7,7.5, 38, 0
0.04,6.18,7.5, 116, 0
0.04,5.76,7.5, 727, 0
0.04,5.98,7.5, 109, 0
0.04,5.64,7.5, 7, 0
0.04,5.52,7.5, 86, 0
0.04,5.94,7.5, 7, 0
0.04,5.84,7.5, 34, 0
0.04,5.74,7.5, 580, 0
0.04,5.94,7.5, 3, 0
0.04,5.8,7.5, 8, 0
0.04,5.66,7.5, 1512, 0
0.04,5.62,7.5, 907, 0
0.04,5.72,7.5, 15, 0
0.04,5.94,7.5, 561, 0
0.04,6.34,7.5, 344, 0
0.04,6.0,7.5, 801, 0
0.04,5.8,7.5, 18, 0
0.04,5.96,7.5, 33, 0
0.04,5.96,7.5, 74, 0
0.04,5.9,7.5, 4405, 0
0.04,5.28,7.5, 33, 0
0.04,5.66,7.5, 1466, 0
0.04,5.92,7.5, 102, 0
0.04,6.0,7.5, 174, 0
0.04,6.1,7.5, 38, 0
0.04,6.16,7.5, 128, 0
0.04,5.98,7.5, 62, 0
0.04,5.7,7.5, 313, 0
0.04,5.84,7.5, 4, 0
0.04,6.14,7.5, 713, 0
0.04,5.92,7.5, 6, 0
0.04,5.98,7.5, 249, 0
0.04,5.8,7.5, 999, 0
0.04,5.9,7.5, 487, 0
0.04,6.1,7.5, 1042, 0
0.04,5.24,7.5, 426, 0
0.04,6.0,7.5, 17, 0
0.04,5.76,7.5, 86, 0
0.04,5.8,7.5, 306, 0
0.04,6.26,7.5, 402, 0
0.04,5.82,7.5, 48, 0
0.04,5.7,7.5, 265, 0
0.04,5.7,7.5, 16, 0
0.04,6.0,7.5, 62, 0
0.04,5.76,7.5, 490, 0
0.04,5.58,7.5, 120, 0
0.04,5.68,7.5, 433, 0
