p, k, b/c, n, result
0.04,6.42,6.5, 49, 0
0.04,5.7,6.5, 17, 0
0.04,5.8,6.5, 531, 0
0.04,5.84,6.5, 12, 0
0.04,5.72,6.5, 788, 0
0.04,6.1,6.5, 159, 0
0.04,6.16,6.5, 10, 0
0.04,5.86,6.5, 1763, 0
0.04,6.0,6.5, 9, 0
0.04,5.8,6.5, 1131, 0
0.04,5.62,6.5, 146, 0
0.04,5.52,6.5, 798, 0
0.04,6.1,6.5, 24, 0
0.04,6.0,6.5, 61, 0
0.04,6.24,6.5, 751, 0
0.04,5.86,6.5, 35, 0
0.04,5.54,6.5, 8, 0
0.04,6.08,6.5, 32, 0
0.04,6.2,6.5, 1043, 0
0.04,5.5,6.5, 10, 0
0.04,5.94,6.5, 128, 0
0.04,6.18,6.5, 25, 0
0.04,5.96,6.5, 62, 0
0.04,6.18,6.5, 218, 0
0.04,5.7,6.5, 43, 0
0.04,6.26,6.5, 1082, 0
0.04,5.68,6.5, 315, 0
0.04,5.86,6.5, 204, 0
0.04,5.84,6.5, 34, 0
0.04,5.78,6.5, 119, 0
0.04,5.44,6.5, 5, 0
0.04,5.62,6.5, 28, 0
0.04,5.54,6.5, 211, 0
0.04,6.1,6.5, 587, 0
0.04,5.54,6.5, 48, 0
0.04,5.42,6.5, 6046, 0
0.04,6.22,6.5, 420, 0
0.04,5.78,6.5, 1697, 0
0.04,5.78,6.5, 1042, 0
0.04,5.94,6.5, 81, 0
0.04,5.92,6.5, 244, 0
0.04,6.12,6.5, 40, 0
0.04,5.52,6.5, 1, 0
0.04,6.3,6.5, 22577, 0
0.04,5.86,6.5, 14, 0
0.04,5.98,6.5, 4, 0
0.04,5.92,6.5, 18, 0
0.04,6.16,6.5, 604, 0
0.04,6.08,6.5, 226, 0
0.04,5.2,6.5, 24, 0
0.04,5.28,6.5, 291, 0
0.04,6.34,6.5, 110, 0
0.04,6.0,6.5, 64, 0
0.04,5.54,6.5, 2109, 0
0.04,6.18,6.5, 25, 0
0.04,5.86,6.5, 6, 0
0.04,6.1,6.5, 2, 0
0.04,6.56,6.5, 3, 0
0.04,5.86,6.5, 92, 0
0.04,5.48,6.5, 587, 0
0.04,6.44,6.5, 42, 0
0.04,5.54,6.5, 193, 0
0.04,5.68,6.5, 38, 0
0.04,5.8,6.5, 5, 0
0.04,5.72,6.5, 130, 0
0.04,5.96,6.5, 109, 0
0.04,5.68,6.5, 36, 0
0.04,6.0,6.5, 45, 0
0.04,5.76,6.5, 365, 0
0.04,5.94,6.5, 32, 0
0.04,6.14,6.5, 18, 0
0.04,6.2,6.5, 38, 0
0.04,6.22,6.5, 76, 0
0.04,5.82,6.5, 3, 0
0.04,5.46,6.5, 920, 0
0.04,6.0,6.5, 180, 0
0.04,5.38,6.5, 100, 0
0.04,5.94,6.5, 56, 0
0.04,5.92,6.5, 33, 0
0.04,6.12,6.5, 1387, 0
0.04,5.9,6.5, 19, 0
0.04,5.78,6.5, 101, 0
0.04,6.04,6.5, 6, 0
0.04,5.88,6.5, 5, 0
0.04,6.18,6.5, 2880, 0
0.04,6.26,6.5, 15, 0
0.04,5.86,6.5, 41, 0
0.04,5.96,6.5, 129, 0
0.04,6.1,6.5, 37, 0
0.04,5.58,6.5, 216, 0
0.04,6.08,6.5, 19, 0
0.04,5.78,6.5, 196, 0
0.04,5.86,6.5, 232, 0
0.04,5.94,6.5, 61, 0
0.04,5.36,6.5, 370, 0
0.04,5.84,6.5, 20, 0
0.04,6.12,6.5, 6, 0
