p, k, b/c, n, result
0.08,9.3,12.0, 199, 0
0.08,9.2,12.0, 20378, 100
0.08,8.82,12.0, 179, 0
0.08,10.48,12.0, 6898, 0
0.08,10.16,12.0, 339, 0
0.08,10.04,12.0, 55, 0
0.08,8.92,12.0, 52, 0
0.08,9.82,12.0, 11, 0
0.08,9.48,12.0, 1, 0
0.08,9.8,12.0, 65, 0
0.08,9.82,12.0, 218, 0
0.08,9.4,12.0, 1352, 0
0.08,9.64,12.0, 35, 0
0.08,9.58,12.0, 11, 0
0.08,9.82,12.0, 2, 0
0.08,9.52,12.0, 65, 0
0.08,9.5,12.0, 32, 0
0.08,10.06,12.0, 22, 0
0.08,10.6,12.0, 19, 0
0.08,9.64,12.0, 475, 0
0.08,9.4,12.0, 46, 0
0.08,9.44,12.0, 68, 0
0.08,10.0,12.0, 119, 0
0.08,9.46,12.0, 587, 0
0.08,10.18,12.0, 46, 0
0.08,9.76,12.0, 158, 0
0.08,9.76,12.0, 22, 0
0.08,9.7,12.0, 303, 0
0.08,9.48,12.0, 44, 0
0.08,10.24,12.0, 22, 0
0.08,9.62,12.0, 11, 0
0.08,9.92,12.0, 2, 0
0.08,9.74,12.0, 1458, 0
0.08,9.94,12.0, 21, 0
0.08,9.84,12.0, 40, 0
0.08,9.4,12.0, 1653, 0
0.08,9.92,12.0, 34, 0
0.08,10.2,12.0, 417, 0
0.08,10.2,12.0, 245, 0
0.08,10.1,12.0, 93, 0
0.08,9.84,12.0, 201, 0
0.08,10.4,12.0, 112, 0
0.08,10.48,12.0, 177, 0
0.08,9.92,12.0, 331, 0
0.08,9.58,12.0, 175, 0
0.08,10.32,12.0, 622, 0
0.08,9.76,12.0, 34, 0
0.08,9.0,12.0, 85, 0
0.08,9.96,12.0, 203, 0
0.08,8.88,12.0, 1864, 0
0.08,10.2,12.0, 96, 0
0.08,9.76,12.0, 7, 0
0.08,10.16,12.0, 143, 0
0.08,9.6,12.0, 215, 0
0.08,9.4,12.0, 54, 0
0.08,9.8,12.0, 385, 0
0.08,9.9,12.0, 10, 0
0.08,10.14,12.0, 60, 0
0.08,10.16,12.0, 92, 0
0.08,9.3,12.0, 108, 0
0.08,9.74,12.0, 41, 0
0.08,10.56,12.0, 19, 0
0.08,9.44,12.0, 43, 0
0.08,9.94,12.0, 84, 0
0.08,9.54,12.0, 6, 0
0.08,10.18,12.0, 32, 0
0.08,9.3,12.0, 644, 0
0.08,10.04,12.0, 65, 0
0.08,9.6,12.0, 286, 0
0.08,9.4,12.0, 47, 0
0.08,8.8,12.0, 31737, 100
0.08,9.48,12.0, 33, 0
0.08,10.14,12.0, 218, 0
0.08,9.8,12.0, 2962, 0
0.08,9.62,12.0, 483, 0
0.08,10.04,12.0, 92, 0
0.08,9.86,12.0, 314, 0
0.08,9.96,12.0, 185, 0
0.08,9.02,12.0, 72, 0
0.08,10.04,12.0, 269, 0
0.08,9.54,12.0, 742, 0
0.08,9.4,12.0, 147, 0
0.08,9.94,12.0, 262, 0
0.08,9.64,12.0, 74, 0
0.08,9.46,12.0, 82, 0
0.08,9.7,12.0, 2032, 0
0.08,9.88,12.0, 111, 0
0.08,9.44,12.0, 372, 0
0.08,9.28,12.0, 288, 0
0.08,9.18,12.0, 4, 0
0.08,9.52,12.0, 12, 0
0.08,9.12,12.0, 142, 0
0.08,9.62,12.0, 114, 0
0.08,9.7,12.0, 65, 0
0.08,9.22,12.0, 32, 0
0.08,10.16,12.0, 1602, 0
0.08,9.42,12.0, 53, 0
0.08,9.96,12.0, 22, 0
0.08,9.7,12.0, 57, 0
0.08,9.16,12.0, 62, 0
0.08,9.78,12.0, 208, 0
0.08,10.08,12.0, 5, 0
0.08,9.84,12.0, 12, 0
0.08,9.82,12.0, 22, 0
0.08,11.34,12.0, 20, 0
0.08,9.9,12.0, 62, 0
0.08,8.98,12.0, 27, 0
0.08,9.66,12.0, 64, 0
0.08,9.84,12.0, 27, 0
0.08,10.04,12.0, 59, 0
0.08,10.32,12.0, 49, 0
0.08,9.48,12.0, 123, 0
0.08,9.6,12.0, 42, 0
0.08,9.88,12.0, 346, 0
0.08,10.24,12.0, 479, 0
0.08,9.94,12.0, 11, 0
0.08,9.64,12.0, 18, 0
0.08,10.28,12.0, 68, 0
0.08,9.86,12.0, 26, 0
0.08,9.68,12.0, 10, 0
0.08,9.86,12.0, 64, 0
0.08,9.6,12.0, 932, 0
0.08,9.6,12.0, 80, 0
0.08,10.08,12.0, 47, 0
0.08,9.52,12.0, 2041, 0
0.08,10.12,12.0, 219, 0
0.08,10.02,12.0, 173, 0
0.08,9.42,12.0, 2590, 0
0.08,9.54,12.0, 700, 0
0.08,9.78,12.0, 116, 0
0.08,9.58,12.0, 40, 0
0.08,9.0,12.0, 1414, 0
0.08,9.84,12.0, 392, 0
0.08,9.4,12.0, 403, 0
0.08,9.66,12.0, 976, 0
0.08,9.1,12.0, 38, 0
0.08,10.24,12.0, 36, 0
0.08,9.34,12.0, 35, 0
0.08,9.62,12.0, 653, 0
0.08,10.18,12.0, 299, 0
0.08,10.4,12.0, 177, 0
0.08,9.74,12.0, 231, 0
0.08,9.52,12.0, 39, 0
0.08,9.88,12.0, 34, 0
0.08,9.76,12.0, 81, 0
0.08,9.72,12.0, 62, 0
