p, k, b/c, n, result
0.08,9.4,8.5, 1856, 0
0.08,9.88,8.5, 874, 0
0.08,9.06,8.5, 34, 0
0.08,9.06,8.5, 22, 0
0.08,9.86,8.5, 55, 0
0.08,9.18,8.5, 23, 0
0.08,9.3,8.5, 81, 0
0.08,9.6,8.5, 438, 0
0.08,9.5,8.5, 1106, 0
0.08,10.06,8.5, 61, 0
0.08,9.64,8.5, 165, 0
0.08,9.36,8.5, 55, 0
0.08,10.2,8.5, 404, 0
0.08,9.58,8.5, 194, 0
0.08,10.46,8.5, 71, 0
0.08,9.92,8.5, 2344, 0
0.08,9.74,8.5, 77, 0
0.08,9.62,8.5, 167, 0
0.08,9.8,8.5, 1603, 0
0.08,10.06,8.5, 225, 0
0.08,9.16,8.5, 376, 0
0.08,10.14,8.5, 80, 0
0.08,10.06,8.5, 43, 0
0.08,10.0,8.5, 33, 0
0.08,9.3,8.5, 686, 0
0.08,9.38,8.5, 73, 0
0.08,9.26,8.5, 88, 0
0.08,9.78,8.5, 3, 0
0.08,10.3,8.5, 27, 0
0.08,10.0,8.5, 8, 0
0.08,9.88,8.5, 24, 0
0.08,10.0,8.5, 322, 0
0.08,9.74,8.5, 291, 0
0.08,9.14,8.5, 452, 0
0.08,10.38,8.5, 84, 0
0.08,10.22,8.5, 37, 0
0.08,10.3,8.5, 42, 0
0.08,10.0,8.5, 9, 0
0.08,9.52,8.5, 1302, 0
0.08,8.9,8.5, 28, 0
0.08,9.82,8.5, 60, 0
0.08,10.18,8.5, 35, 0
0.08,9.66,8.5, 1517, 0
0.08,10.42,8.5, 65, 0
0.08,9.86,8.5, 83, 0
0.08,10.08,8.5, 640, 0
0.08,9.64,8.5, 150, 0
0.08,10.18,8.5, 9, 0
0.08,9.8,8.5, 56, 0
0.08,9.8,8.5, 236, 0
0.08,9.06,8.5, 150, 0
0.08,9.9,8.5, 28, 0
0.08,10.28,8.5, 7625, 0
0.08,9.2,8.5, 56, 0
0.08,9.9,8.5, 70, 0
0.08,10.22,8.5, 191, 0
0.08,8.84,8.5, 119, 0
0.08,9.04,8.5, 165, 0
0.08,10.14,8.5, 158, 0
0.08,9.86,8.5, 44, 0
0.08,9.98,8.5, 163, 0
0.08,9.62,8.5, 13, 0
0.08,9.86,8.5, 36, 0
0.08,9.54,8.5, 81, 0
0.08,9.3,8.5, 148, 0
0.08,10.14,8.5, 4, 0
0.08,9.82,8.5, 245, 0
0.08,9.36,8.5, 92, 0
0.08,8.68,8.5, 1796, 0
0.08,10.1,8.5, 925, 0
0.08,10.0,8.5, 126, 0
0.08,9.78,8.5, 97, 0
0.08,9.8,8.5, 135, 0
0.08,9.94,8.5, 250, 0
0.08,10.04,8.5, 65, 0
0.08,9.12,8.5, 23, 0
0.08,9.78,8.5, 101, 0
0.08,9.82,8.5, 198, 0
0.08,9.7,8.5, 81, 0
0.08,9.94,8.5, 1888, 0
0.08,9.46,8.5, 41, 0
0.08,9.78,8.5, 23, 0
0.08,9.32,8.5, 227, 0
0.08,9.94,8.5, 846, 0
0.08,9.58,8.5, 104, 0
0.08,9.12,8.5, 151, 0
0.08,10.46,8.5, 2150, 0
0.08,9.98,8.5, 51, 0
0.08,10.14,8.5, 118, 0
0.08,10.56,8.5, 66, 0
0.08,9.74,8.5, 2960, 0
0.08,9.72,8.5, 65, 0
0.08,10.04,8.5, 20, 0
0.08,9.86,8.5, 17, 0
0.08,10.28,8.5, 8, 0
0.08,9.56,8.5, 535, 0
0.08,10.18,8.5, 14, 0
0.08,10.26,8.5, 57, 0
0.08,10.34,8.5, 69, 0
0.08,10.2,8.5, 127, 0
0.08,10.44,8.5, 1, 0
0.08,9.48,8.5, 39, 0
0.08,9.2,8.5, 7, 0
0.08,9.78,8.5, 95, 0
0.08,10.14,8.5, 10, 0
0.08,9.42,8.5, 38, 0
0.08,9.1,8.5, 13, 0
0.08,9.3,8.5, 3598, 0
0.08,9.38,8.5, 13, 0
0.08,9.64,8.5, 87, 0
0.08,9.44,8.5, 240, 0
0.08,10.12,8.5, 27, 0
0.08,9.84,8.5, 3759, 0
0.08,9.86,8.5, 22, 0
0.08,10.04,8.5, 58, 0
0.08,9.62,8.5, 268, 0
0.08,9.58,8.5, 4, 0
0.08,9.7,8.5, 20, 0
0.08,9.3,8.5, 21, 0
0.08,9.76,8.5, 112, 0
0.08,9.8,8.5, 132, 0
0.08,9.54,8.5, 162, 0
0.08,9.6,8.5, 32, 0
0.08,10.28,8.5, 19, 0
0.08,9.92,8.5, 86, 0
0.08,10.28,8.5, 97, 0
0.08,10.08,8.5, 45, 0
0.08,9.8,8.5, 34, 0
0.08,9.84,8.5, 20, 0
0.08,9.56,8.5, 72, 0
0.08,10.0,8.5, 11, 0
0.08,9.34,8.5, 358, 0
0.08,9.06,8.5, 99, 0
0.08,10.1,8.5, 659, 0
0.08,9.88,8.5, 179, 0
0.08,9.88,8.5, 16, 0
0.08,9.86,8.5, 1366, 0
0.08,9.8,8.5, 59, 0
0.08,10.0,8.5, 105, 0
0.08,9.12,8.5, 92, 0
0.08,9.78,8.5, 98, 0
0.08,9.74,8.5, 332, 0
0.08,9.3,8.5, 2200, 0
0.08,9.32,8.5, 319, 0
0.08,9.94,8.5, 184, 0
0.08,10.14,8.5, 270, 0
0.08,9.66,8.5, 60, 0
0.08,9.46,8.5, 479, 0
0.08,9.0,8.5, 4, 0
0.08,9.46,8.5, 15, 0
0.08,9.88,8.5, 25, 0
0.08,9.6,8.5, 28, 0
0.08,9.52,8.5, 203, 0
0.08,9.62,8.5, 206, 0
0.08,9.36,8.5, 364, 0
0.08,10.04,8.5, 252, 0
0.08,9.96,8.5, 3, 0
0.08,9.7,8.5, 1245, 0
0.08,9.64,8.5, 236, 0
0.08,9.94,8.5, 3, 0
0.08,9.66,8.5, 404, 0
0.08,10.16,8.5, 331, 0
0.08,9.54,8.5, 8, 0
0.08,9.4,8.5, 78, 0
0.08,9.22,8.5, 18, 0
0.08,10.32,8.5, 1002, 0
0.08,10.14,8.5, 296, 0
0.08,9.38,8.5, 69, 0
0.08,10.1,8.5, 3189, 0
0.08,9.78,8.5, 64, 0
0.08,10.0,8.5, 9, 0
0.08,9.56,8.5, 107, 0
0.08,10.9,8.5, 61, 0
0.08,9.16,8.5, 174, 0
0.08,9.3,8.5, 12, 0
0.08,9.52,8.5, 609, 0
0.08,9.64,8.5, 329, 0
0.08,9.32,8.5, 66, 0
0.08,9.42,8.5, 49, 0
0.08,9.68,8.5, 843, 0
0.08,10.22,8.5, 105, 0
0.08,9.76,8.5, 49, 0
0.08,9.44,8.5, 14, 0
0.08,9.94,8.5, 1829, 0
0.08,9.6,8.5, 44, 0
0.08,9.72,8.5, 999, 0
0.08,10.2,8.5, 124, 0
0.08,10.08,8.5, 195, 0
0.08,9.54,8.5, 157, 0
0.08,9.68,8.5, 8, 0
0.08,9.68,8.5, 25, 0
0.08,9.48,8.5, 76, 0
0.08,10.26,8.5, 1050, 0
0.08,9.96,8.5, 18902, 100
0.08,9.32,8.5, 1724, 0
0.08,10.4,8.5, 377, 0
0.08,9.7,8.5, 1739, 0
0.08,9.82,8.5, 409, 0
0.08,9.66,8.5, 7, 0
0.08,9.18,8.5, 43, 0
0.08,9.98,8.5, 23, 0
0.08,9.82,8.5, 10, 0
0.08,9.7,8.5, 542, 0
0.08,9.52,8.5, 37, 0
0.08,9.46,8.5, 372, 0
0.08,10.54,8.5, 5909, 0
0.08,10.12,8.5, 2, 0
0.08,8.44,8.5, 6, 0
0.08,8.98,8.5, 4, 0
0.08,9.68,8.5, 50, 0
0.08,9.4,8.5, 347, 0
0.08,10.16,8.5, 2691, 0
0.08,9.64,8.5, 40, 0
0.08,10.42,8.5, 226, 0
0.08,9.06,8.5, 173, 0
0.08,9.78,8.5, 343, 0
0.08,9.72,8.5, 226, 0
0.08,9.64,8.5, 86, 0
0.08,10.18,8.5, 4, 0
0.08,9.8,8.5, 11, 0
0.08,9.12,8.5, 40, 0
0.08,9.74,8.5, 576, 0
0.08,9.96,8.5, 56, 0
0.08,9.46,8.5, 5, 0
0.08,9.42,8.5, 407, 0
0.08,9.48,8.5, 199, 0
0.08,9.68,8.5, 44, 0
0.08,9.62,8.5, 15, 0
0.08,9.86,8.5, 138, 0
0.08,9.4,8.5, 6, 0
0.08,9.6,8.5, 20, 0
0.08,9.96,8.5, 125, 0
0.08,10.06,8.5, 78, 0
0.08,10.18,8.5, 78, 0
0.08,9.76,8.5, 80, 0
0.08,10.2,8.5, 3, 0
0.08,9.58,8.5, 114, 0
0.08,9.24,8.5, 49, 0
0.08,9.62,8.5, 244, 0
0.08,9.36,8.5, 96, 0
0.08,9.52,8.5, 54, 0
0.08,9.9,8.5, 1594, 0
0.08,10.26,8.5, 85, 0
0.08,10.38,8.5, 38, 0
0.08,9.64,8.5, 1777, 0
0.08,9.9,8.5, 16, 0
0.08,9.68,8.5, 1276, 0
0.08,9.72,8.5, 171, 0
0.08,9.38,8.5, 19, 0
0.08,9.06,8.5, 170, 0
0.08,9.76,8.5, 1973, 0
0.08,9.98,8.5, 96, 0
0.08,9.94,8.5, 5, 0
0.08,9.06,8.5, 101, 0
0.08,10.56,8.5, 39, 0
0.08,9.56,8.5, 399, 0
0.08,8.96,8.5, 198, 0
0.08,9.74,8.5, 24, 0
0.08,10.02,8.5, 21, 0
0.08,10.16,8.5, 75, 0
0.08,9.28,8.5, 13, 0
0.08,9.42,8.5, 34, 0
0.08,10.0,8.5, 803, 0
0.08,9.38,8.5, 658, 0
0.08,8.94,8.5, 89, 0
0.08,10.28,8.5, 26, 0
0.08,9.3,8.5, 56, 0
0.08,9.9,8.5, 198, 0
0.08,10.2,8.5, 546, 0
0.08,9.3,8.5, 108, 0
0.08,9.26,8.5, 398, 0
0.08,9.9,8.5, 70, 0
0.08,9.8,8.5, 150, 0
0.08,9.48,8.5, 48, 0
0.08,10.14,8.5, 134, 0
0.08,9.08,8.5, 38, 0
