p, k, b/c, n, result
0.08,9.82,10.0, 236, 0
0.08,10.64,10.0, 78, 0
0.08,9.32,10.0, 417, 0
0.08,10.04,10.0, 119, 0
0.08,9.42,10.0, 220, 0
0.08,8.96,10.0, 24, 0
0.08,9.36,10.0, 577, 0
0.08,9.62,10.0, 293, 0
0.08,9.8,10.0, 17, 0
0.08,10.12,10.0, 398, 0
0.08,9.32,10.0, 25, 0
0.08,9.92,10.0, 79, 0
0.08,10.58,10.0, 154, 0
0.08,10.36,10.0, 50, 0
0.08,10.12,10.0, 79, 0
0.08,10.16,10.0, 92, 0
0.08,9.4,10.0, 169, 0
0.08,9.7,10.0, 132, 0
0.08,9.56,10.0, 151, 0
0.08,9.08,10.0, 220, 0
0.08,9.82,10.0, 206, 0
0.08,10.36,10.0, 132, 0
0.08,9.24,10.0, 3, 0
0.08,9.54,10.0, 22, 0
0.08,9.26,10.0, 186, 0
0.08,9.76,10.0, 65, 0
0.08,10.52,10.0, 2311, 0
0.08,10.4,10.0, 26, 0
0.08,10.36,10.0, 74, 0
0.08,10.34,10.0, 1084, 0
0.08,9.04,10.0, 660, 0
0.08,9.82,10.0, 176, 0
0.08,10.16,10.0, 78, 0
0.08,10.74,10.0, 108, 0
0.08,10.2,10.0, 7, 0
0.08,9.78,10.0, 275, 0
0.08,9.76,10.0, 173, 0
0.08,9.68,10.0, 226, 0
0.08,10.3,10.0, 76, 0
0.08,9.8,10.0, 236, 0
0.08,9.62,10.0, 249, 0
0.08,9.44,10.0, 351, 0
0.08,9.24,10.0, 18, 0
0.08,9.54,10.0, 203, 0
0.08,10.1,10.0, 96, 0
0.08,10.32,10.0, 4, 0
0.08,10.04,10.0, 389, 0
0.08,9.26,10.0, 1185, 0
0.08,10.54,10.0, 591, 0
0.08,9.6,10.0, 83, 0
0.08,10.04,10.0, 30, 0
0.08,10.4,10.0, 1042, 0
0.08,9.6,10.0, 18, 0
0.08,9.64,10.0, 30, 0
0.08,9.48,10.0, 20, 0
0.08,9.9,10.0, 733, 0
0.08,8.84,10.0, 70, 0
0.08,10.24,10.0, 1698, 0
0.08,9.46,10.0, 23, 0
0.08,9.84,10.0, 14, 0
0.08,10.16,10.0, 992, 0
0.08,9.96,10.0, 81, 0
0.08,10.14,10.0, 849, 0
0.08,9.92,10.0, 40, 0
0.08,9.98,10.0, 80, 0
0.08,9.22,10.0, 49, 0
0.08,10.16,10.0, 125, 0
0.08,9.3,10.0, 267, 0
0.08,9.6,10.0, 114, 0
0.08,9.64,10.0, 517, 0
0.08,9.04,10.0, 64, 0
0.08,10.2,10.0, 54, 0
0.08,9.0,10.0, 128, 0
0.08,9.76,10.0, 87, 0
0.08,9.66,10.0, 29, 0
0.08,9.72,10.0, 119, 0
0.08,9.58,10.0, 140, 0
0.08,10.26,10.0, 137, 0
0.08,9.62,10.0, 219, 0
0.08,9.68,10.0, 10, 0
0.08,9.42,10.0, 36, 0
0.08,9.96,10.0, 72, 0
0.08,9.48,10.0, 20, 0
0.08,9.28,10.0, 24, 0
0.08,9.36,10.0, 4, 0
0.08,9.18,10.0, 135, 0
0.08,9.42,10.0, 5, 0
0.08,10.14,10.0, 10, 0
0.08,10.32,10.0, 58, 0
0.08,9.76,10.0, 24, 0
0.08,9.38,10.0, 22, 0
0.08,9.58,10.0, 14, 0
0.08,8.74,10.0, 925, 0
0.08,9.76,10.0, 126, 0
0.08,10.14,10.0, 161, 0
0.08,9.4,10.0, 226, 0
0.08,10.1,10.0, 14, 0
0.08,9.62,10.0, 2297, 0
0.08,10.22,10.0, 40, 0
0.08,10.34,10.0, 325, 0
0.08,9.44,10.0, 3, 0
0.08,10.72,10.0, 202, 0
0.08,10.16,10.0, 734, 0
0.08,9.94,10.0, 1, 0
0.08,9.46,10.0, 160, 0
0.08,9.54,10.0, 140, 0
0.08,9.58,10.0, 37, 0
0.08,10.56,10.0, 252, 0
0.08,9.94,10.0, 29, 0
0.08,10.0,10.0, 6685, 0
0.08,9.7,10.0, 136, 0
0.08,9.34,10.0, 62, 0
0.08,9.42,10.0, 3170, 0
0.08,9.42,10.0, 125, 0
0.08,9.92,10.0, 519, 0
0.08,9.76,10.0, 241, 0
0.08,9.26,10.0, 31, 0
0.08,10.24,10.0, 16, 0
0.08,9.88,10.0, 15, 0
0.08,9.44,10.0, 42, 0
0.08,10.06,10.0, 34, 0
0.08,9.92,10.0, 27, 0
0.08,9.28,10.0, 65, 0
0.08,9.26,10.0, 125, 0
0.08,9.32,10.0, 316, 0
0.08,9.34,10.0, 195, 0
0.08,10.02,10.0, 183, 0
0.08,9.88,10.0, 17, 0
0.08,9.4,10.0, 424, 0
0.08,9.02,10.0, 163, 0
0.08,9.62,10.0, 19, 0
0.08,9.94,10.0, 22, 0
0.08,9.62,10.0, 62, 0
0.08,10.36,10.0, 266, 0
0.08,9.96,10.0, 106, 0
0.08,9.04,10.0, 173, 0
0.08,10.04,10.0, 154, 0
0.08,9.74,10.0, 73, 0
0.08,10.26,10.0, 43, 0
0.08,9.96,10.0, 190, 0
0.08,9.06,10.0, 274, 0
0.08,9.96,10.0, 50, 0
0.08,8.98,10.0, 58, 0
0.08,9.76,10.0, 165, 0
0.08,10.66,10.0, 188, 0
0.08,9.94,10.0, 11928, 0
0.08,9.94,10.0, 12, 0
0.08,9.24,10.0, 278, 0
0.08,10.3,10.0, 120, 0
0.08,9.98,10.0, 76, 0
0.08,9.36,10.0, 502, 0
0.08,9.46,10.0, 21, 0
0.08,9.62,10.0, 73, 0
0.08,9.64,10.0, 2509, 0
0.08,9.08,10.0, 111, 0
0.08,9.84,10.0, 94, 0
0.08,10.36,10.0, 66, 0
0.08,9.92,10.0, 51, 0
0.08,9.4,10.0, 1, 0
0.08,9.4,10.0, 2050, 0
0.08,9.66,10.0, 224, 0
0.08,9.86,10.0, 222, 0
0.08,10.08,10.0, 96, 0
0.08,9.92,10.0, 70, 0
0.08,9.34,10.0, 92, 0
0.08,9.66,10.0, 208, 0
0.08,9.76,10.0, 26, 0
0.08,9.8,10.0, 41, 0
0.08,9.4,10.0, 81, 0
0.08,9.62,10.0, 199, 0
0.08,9.5,10.0, 92, 0
0.08,9.14,10.0, 14, 0
0.08,9.68,10.0, 28, 0
0.08,9.9,10.0, 45, 0
0.08,9.74,10.0, 25, 0
0.08,9.66,10.0, 226, 0
0.08,9.1,10.0, 8774, 0
0.08,9.44,10.0, 447, 0
0.08,10.06,10.0, 58, 0
0.08,9.56,10.0, 16, 0
0.08,9.64,10.0, 949, 0
0.08,10.1,10.0, 480, 0
0.08,9.38,10.0, 77, 0
0.08,9.6,10.0, 5088, 0
0.08,9.78,10.0, 195, 0
0.08,9.2,10.0, 348, 0
0.08,10.02,10.0, 33, 0
0.08,9.72,10.0, 902, 0
0.08,9.46,10.0, 81, 0
0.08,9.64,10.0, 27, 0
0.08,9.58,10.0, 10, 0
0.08,9.5,10.0, 19, 0
0.08,8.96,10.0, 81, 0
0.08,10.12,10.0, 443, 0
