p, k, b/c, n, result
0.08,10.02,11.0, 184, 0
0.08,9.14,11.0, 63, 0
0.08,9.14,11.0, 374, 0
0.08,9.92,11.0, 10, 0
0.08,9.86,11.0, 1, 0
0.08,10.34,11.0, 32, 0
0.08,9.44,11.0, 40, 0
0.08,10.02,11.0, 286, 0
0.08,10.26,11.0, 244, 0
0.08,8.86,11.0, 360, 0
0.08,9.86,11.0, 193, 0
0.08,9.82,11.0, 98, 0
0.08,9.94,11.0, 3, 0
0.08,9.2,11.0, 106, 0
0.08,9.7,11.0, 184, 0
0.08,10.02,11.0, 20, 0
0.08,9.58,11.0, 21, 0
0.08,9.44,11.0, 441, 0
0.08,9.76,11.0, 32, 0
0.08,9.98,11.0, 18, 0
0.08,8.96,11.0, 166, 0
0.08,9.84,11.0, 11, 0
0.08,9.38,11.0, 54, 0
0.08,10.54,11.0, 414, 0
0.08,9.6,11.0, 184, 0
0.08,9.2,11.0, 34, 0
0.08,10.08,11.0, 115, 0
0.08,9.36,11.0, 91, 0
0.08,9.9,11.0, 56, 0
0.08,9.36,11.0, 33, 0
0.08,9.82,11.0, 77, 0
0.08,9.58,11.0, 13, 0
0.08,9.32,11.0, 358, 0
0.08,9.38,11.0, 282, 0
0.08,9.44,11.0, 697, 0
0.08,9.48,11.0, 99, 0
0.08,10.24,11.0, 99, 0
0.08,9.74,11.0, 62, 0
0.08,9.3,11.0, 94, 0
0.08,9.56,11.0, 1263, 0
0.08,9.76,11.0, 107, 0
0.08,10.1,11.0, 922, 0
0.08,9.94,11.0, 49, 0
0.08,9.78,11.0, 28, 0
0.08,10.26,11.0, 77, 0
0.08,8.9,11.0, 839, 0
0.08,9.98,11.0, 1344, 0
0.08,10.4,11.0, 76, 0
0.08,9.0,11.0, 5809, 100
0.08,10.32,11.0, 16, 0
0.08,9.68,11.0, 214, 0
0.08,9.92,11.0, 18, 0
0.08,10.02,11.0, 1258, 0
0.08,9.5,11.0, 37, 0
0.08,9.06,11.0, 31, 0
0.08,9.8,11.0, 220, 0
0.08,9.78,11.0, 2085, 0
0.08,10.2,11.0, 71, 0
0.08,10.08,11.0, 15, 0
0.08,9.3,11.0, 30, 0
0.08,9.76,11.0, 142, 0
0.08,9.64,11.0, 1123, 0
0.08,9.28,11.0, 37, 0
0.08,9.36,11.0, 13, 0
0.08,10.84,11.0, 51, 0
0.08,10.3,11.0, 20, 0
0.08,9.3,11.0, 45, 0
0.08,10.16,11.0, 1752, 0
0.08,9.42,11.0, 372, 0
0.08,9.42,11.0, 1, 0
0.08,10.2,11.0, 33, 0
0.08,9.36,11.0, 687, 0
0.08,9.8,11.0, 32, 0
0.08,10.06,11.0, 11, 0
0.08,9.44,11.0, 228, 0
0.08,9.42,11.0, 137, 0
0.08,9.94,11.0, 193, 0
0.08,9.98,11.0, 108, 0
0.08,10.06,11.0, 166, 0
0.08,10.08,11.0, 64, 0
0.08,9.94,11.0, 60, 0
0.08,10.04,11.0, 1123, 0
0.08,10.08,11.0, 39, 0
0.08,10.24,11.0, 42, 0
0.08,10.04,11.0, 5, 0
0.08,9.78,11.0, 318, 0
0.08,9.82,11.0, 1263, 0
0.08,9.94,11.0, 81, 0
0.08,9.26,11.0, 5, 0
0.08,9.7,11.0, 44, 0
0.08,9.66,11.0, 52, 0
0.08,9.76,11.0, 41, 0
0.08,9.94,11.0, 895, 0
0.08,9.78,11.0, 100, 0
0.08,9.96,11.0, 58, 0
0.08,10.24,11.0, 418, 0
0.08,9.94,11.0, 27, 0
0.08,10.06,11.0, 118, 0
0.08,10.18,11.0, 757, 0
0.08,9.56,11.0, 127, 0
0.08,9.9,11.0, 3, 0
0.08,9.82,11.0, 7, 0
0.08,10.18,11.0, 17, 0
0.08,9.84,11.0, 209, 0
0.08,10.18,11.0, 9, 0
0.08,9.84,11.0, 1662, 0
0.08,9.96,11.0, 2, 0
0.08,9.06,11.0, 142, 0
0.08,9.74,11.0, 14, 0
0.08,9.02,11.0, 125, 0
0.08,9.74,11.0, 27, 0
0.08,10.64,11.0, 22, 0
0.08,10.18,11.0, 264, 0
0.08,9.58,11.0, 54, 0
0.08,9.74,11.0, 978, 0
0.08,9.88,11.0, 279, 0
0.08,9.58,11.0, 236, 0
0.08,9.82,11.0, 1050, 0
0.08,9.94,11.0, 31, 0
0.08,9.42,11.0, 61, 0
0.08,9.86,11.0, 2, 0
0.08,9.9,11.0, 22, 0
0.08,10.14,11.0, 1372, 0
0.08,10.18,11.0, 46, 0
0.08,9.9,11.0, 12208, 100
0.08,9.32,11.0, 475, 0
0.08,9.64,11.0, 24, 0
0.08,9.96,11.0, 31, 0
0.08,10.3,11.0, 122, 0
0.08,9.62,11.0, 21, 0
0.08,10.04,11.0, 61, 0
0.08,9.66,11.0, 240, 0
0.08,10.2,11.0, 1277, 0
0.08,9.8,11.0, 519, 0
0.08,9.68,11.0, 2451, 0
0.08,9.32,11.0, 142, 0
0.08,9.78,11.0, 47, 0
0.08,9.28,11.0, 334, 0
0.08,9.68,11.0, 51, 0
0.08,9.88,11.0, 43, 0
0.08,10.02,11.0, 14, 0
0.08,9.74,11.0, 15657, 100
0.08,9.52,11.0, 10, 0
0.08,9.98,11.0, 17, 0
0.08,10.74,11.0, 245, 0
0.08,9.56,11.0, 424, 0
0.08,9.28,11.0, 252, 0
0.08,9.62,11.0, 352, 0
0.08,9.42,11.0, 5819, 100
0.08,9.98,11.0, 284, 0
0.08,9.6,11.0, 46, 0
0.08,9.96,11.0, 15, 0
0.08,9.1,11.0, 122, 0
0.08,10.3,11.0, 115, 0
0.08,9.82,11.0, 103, 0
0.08,9.7,11.0, 36, 0
0.08,9.8,11.0, 11, 0
0.08,9.7,11.0, 382, 0
0.08,10.08,11.0, 157, 0
0.08,9.92,11.0, 28, 0
0.08,9.28,11.0, 15639, 100
0.08,10.04,11.0, 735, 0
0.08,10.12,11.0, 16, 0
0.08,9.96,11.0, 355, 0
0.08,9.98,11.0, 694, 0
0.08,9.8,11.0, 32, 0
0.08,9.68,11.0, 157, 0
0.08,9.46,11.0, 22, 0
0.08,9.68,11.0, 386, 0
0.08,9.68,11.0, 85, 0
0.08,9.5,11.0, 55, 0
0.08,9.58,11.0, 42, 0
0.08,10.1,11.0, 3737, 0
0.08,10.26,11.0, 208, 0
0.08,10.3,11.0, 51, 0
0.08,9.6,11.0, 45, 0
0.08,10.24,11.0, 68, 0
0.08,9.36,11.0, 99, 0
0.08,9.18,11.0, 38, 0
0.08,9.7,11.0, 18, 0
0.08,10.04,11.0, 172, 0
0.08,10.02,11.0, 5, 0
0.08,9.76,11.0, 785, 0
0.08,10.42,11.0, 53, 0
0.08,10.32,11.0, 37, 0
0.08,9.16,11.0, 182, 0
0.08,9.54,11.0, 609, 0
0.08,9.52,11.0, 1233, 0
0.08,9.8,11.0, 60, 0
0.08,9.64,11.0, 140, 0
0.08,9.92,11.0, 38, 0
0.08,9.46,11.0, 96, 0
0.08,9.7,11.0, 57, 0
0.08,10.92,11.0, 15, 0
0.08,9.34,11.0, 20, 0
0.08,9.78,11.0, 5, 0
0.08,9.28,11.0, 43, 0
0.08,9.88,11.0, 324, 0
0.08,10.08,11.0, 464, 0
0.08,9.4,11.0, 2, 0
0.08,9.72,11.0, 5927, 0
0.08,9.8,11.0, 86, 0
0.08,9.72,11.0, 220, 0
0.08,9.52,11.0, 34, 0
0.08,9.38,11.0, 30, 0
0.08,9.22,11.0, 965, 0
0.08,9.48,11.0, 6, 0
0.08,10.36,11.0, 661, 0
0.08,9.84,11.0, 4546, 0
0.08,9.92,11.0, 21, 0
0.08,10.44,11.0, 265, 0
0.08,9.74,11.0, 260, 0
0.08,9.18,11.0, 9638, 0
0.08,10.28,11.0, 3536, 0
0.08,9.44,11.0, 274, 0
0.08,9.62,11.0, 3223, 0
0.08,9.82,11.0, 27, 0
0.08,9.98,11.0, 384, 0
0.08,9.58,11.0, 195, 0
0.08,10.3,11.0, 38, 0
0.08,9.88,11.0, 149, 0
0.08,10.02,11.0, 276, 0
0.08,9.78,11.0, 1977, 0
0.08,9.54,11.0, 48, 0
0.08,9.8,11.0, 146, 0
0.08,9.94,11.0, 765, 0
0.08,9.68,11.0, 273, 0
0.08,9.34,11.0, 190, 0
0.08,8.76,11.0, 47, 0
0.08,9.96,11.0, 38, 0
0.08,9.78,11.0, 4, 0
0.08,9.76,11.0, 184, 0
0.08,9.08,11.0, 238, 0
0.08,9.62,11.0, 84, 0
0.08,9.94,11.0, 128, 0
0.08,9.92,11.0, 285, 0
0.08,10.22,11.0, 1, 0
0.08,9.68,11.0, 253, 0
0.08,9.64,11.0, 18, 0
0.08,9.3,11.0, 18, 0
0.08,9.46,11.0, 51, 0
0.08,9.3,11.0, 94, 0
0.08,9.9,11.0, 214, 0
0.08,9.76,11.0, 95, 0
0.08,9.82,11.0, 20, 0
0.08,9.94,11.0, 2056, 0
0.08,9.62,11.0, 666, 0
0.08,9.64,11.0, 123, 0
0.08,10.2,11.0, 24, 0
