p, k, b/c, n, result
0.02,3.9,24.0, 999, extinct
0.02,4.0,24.0, 999, extinct
0.02,3.96,24.0, 999, extinct
0.02,3.48,24.0, 999, extinct
0.02,3.86,24.0, 999, extinct
0.02,3.8,24.0, 999, extinct
0.02,3.82,24.0, 999, extinct
0.02,3.78,24.0, 999, extinct
0.02,3.4,24.0, 999, extinct
0.02,4.06,24.0, 999, extinct
