p, k, b/c, n, result
0.02,4.44,5.0, 871, 0
0.02,3.92,5.0, 165, 0
0.02,3.64,5.0, 180, 0
0.02,3.98,5.0, 234, 0
0.02,3.84,5.0, 689, 0
0.02,3.58,5.0, 1025, 0
0.02,3.96,5.0, 40, 0
0.02,4.24,5.0, 47, 0
0.02,3.72,5.0, 6, 0
0.02,4.28,5.0, 2908, 0
0.02,4.24,5.0, 71, 0
0.02,4.1,5.0, 0, 0
0.02,3.88,5.0, 452, 0
0.02,4.02,5.0, 54, 0
0.02,4.02,5.0, 10000, 5
0.02,3.86,5.0, 6, 0
0.02,3.72,5.0, 79, 0
0.02,3.92,5.0, 10000, 5
0.02,3.78,5.0, 69, 0
0.02,3.86,5.0, 59, 0
0.02,3.92,5.0, 10000, 27
0.02,3.68,5.0, 19, 0
0.02,4.22,5.0, 100, 0
0.02,3.82,5.0, 10, 0
0.02,4.32,5.0, 18, 0
0.02,3.84,5.0, 68, 0
0.02,3.86,5.0, 107, 0
0.02,4.02,5.0, 23, 0
0.02,4.04,5.0, 215, 0
0.02,4.12,5.0, 91, 0
0.02,3.94,5.0, 33, 0
0.02,3.74,5.0, 2, 0
0.02,3.92,5.0, 2621, 0
0.02,4.0,5.0, 208, 0
0.02,4.36,5.0, 967, 0
0.02,3.86,5.0, 3, 0
0.02,4.28,5.0, 1061, 0
0.02,4.08,5.0, 3, 0
0.02,4.04,5.0, 120, 0
0.02,3.76,5.0, 513, 0
0.02,4.06,5.0, 1975, 0
0.02,3.96,5.0, 1806, 0
0.02,3.92,5.0, 396, 0
0.02,4.02,5.0, 70, 0
0.02,3.64,5.0, 146, 0
0.02,3.82,5.0, 1608, 0
0.02,4.08,5.0, 1542, 0
0.02,3.8,5.0, 39, 0
0.02,4.02,5.0, 39, 0
0.02,3.74,5.0, 683, 0
0.02,3.96,5.0, 24, 0
0.02,4.04,5.0, 282, 0
0.02,4.04,5.0, 974, 0
0.02,3.92,5.0, 1647, 0
0.02,3.68,5.0, 270, 0
0.02,3.9,5.0, 3, 0
0.02,4.24,5.0, 1, 0
0.02,3.92,5.0, 112, 0
0.02,3.72,5.0, 514, 0
0.02,3.62,5.0, 133, 0
0.02,3.78,5.0, 95, 0
0.02,3.7,5.0, 144, 0
