p, k, b/c, n, result
0.02,4.1,4.2, 66, 0
0.02,3.76,4.2, 468, 0
0.02,3.94,4.2, 90, 0
0.02,3.82,4.2, 4, 0
0.02,4.02,4.2, 739, 0
0.02,3.82,4.2, 320, 0
0.02,4.34,4.2, 48, 0
0.02,3.88,4.2, 226, 0
0.02,4.12,4.2, 1954, 0
0.02,3.8,4.2, 2374, 0
0.02,3.8,4.2, 1064, 0
0.02,3.76,4.2, 12, 0
0.02,4.06,4.2, 34, 0
0.02,4.18,4.2, 36, 0
0.02,4.32,4.2, 1040, 0
0.02,4.22,4.2, 17, 0
0.02,3.74,4.2, 563, 0
0.02,4.0,4.2, 15, 0
0.02,3.8,4.2, 11, 0
0.02,3.82,4.2, 8, 0
0.02,3.9,4.2, 2749, 0
0.02,3.76,4.2, 24, 0
0.02,4.36,4.2, 2, 0
0.02,3.72,4.2, 2012, 0
0.02,3.7,4.2, 32, 0
0.02,3.88,4.2, 80, 0
0.02,3.86,4.2, 22, 0
0.02,4.24,4.2, 233, 0
0.02,3.88,4.2, 406, 0
0.02,3.96,4.2, 82, 0
0.02,3.96,4.2, 71, 0
0.02,3.44,4.2, 159, 0
0.02,3.86,4.2, 373, 0
0.02,3.8,4.2, 48, 0
0.02,4.12,4.2, 333, 0
0.02,3.8,4.2, 36, 0
0.02,3.84,4.2, 13, 0
0.02,3.96,4.2, 178, 0
0.02,4.14,4.2, 3, 0
0.02,4.12,4.2, 39, 0
0.02,4.02,4.2, 116, 0
0.02,4.2,4.2, 18, 0
0.02,3.92,4.2, 194, 0
0.02,3.94,4.2, 22, 0
0.02,3.82,4.2, 40, 0
0.02,3.96,4.2, 27, 0
0.02,3.56,4.2, 46, 0
0.02,4.14,4.2, 10, 0
0.02,3.74,4.2, 104, 0
0.02,3.86,4.2, 228, 0
0.02,4.38,4.2, 1284, 0
0.02,4.04,4.2, 3, 0
0.02,4.2,4.2, 22, 0
0.02,3.58,4.2, 215, 0
0.02,4.28,4.2, 148, 0
0.02,4.18,4.2, 17, 0
0.02,3.86,4.2, 119, 0
0.02,3.56,4.2, 3, 0
0.02,3.92,4.2, 44, 0
0.02,4.08,4.2, 106, 0
0.02,3.82,4.2, 513, 0
0.02,3.72,4.2, 50, 0
0.02,3.72,4.2, 314, 0
0.02,3.7,4.2, 23, 0
0.02,3.86,4.2, 65, 0
0.02,3.78,4.2, 512, 0
0.02,3.82,4.2, 744, 0
0.02,3.88,4.2, 120, 0
0.02,3.52,4.2, 852, 0
0.02,3.84,4.2, 44, 0
0.02,4.12,4.2, 88, 0
0.02,4.16,4.2, 72, 0
0.02,4.06,4.2, 267, 0
0.02,3.76,4.2, 6, 0
0.02,3.9,4.2, 160, 0
0.02,3.76,4.2, 74, 0
0.02,3.72,4.2, 35, 0
0.02,3.82,4.2, 836, 0
0.02,3.84,4.2, 1667, 0
0.02,3.76,4.2, 581, 0
0.02,3.68,4.2, 97, 0
0.02,3.72,4.2, 79, 0
0.02,3.94,4.2, 1143, 0
0.02,3.88,4.2, 5907, 100
0.02,4.22,4.2, 72, 0
0.02,3.78,4.2, 51, 0
0.02,3.94,4.2, 2, 0
0.02,4.24,4.2, 108, 0
0.02,3.84,4.2, 42, 0
0.02,3.72,4.2, 54, 0
0.02,3.74,4.2, 31, 0
0.02,3.76,4.2, 44, 0
0.02,3.76,4.2, 19, 0
0.02,3.9,4.2, 1702, 0
0.02,4.4,4.2, 64, 0
0.02,3.6,4.2, 463, 0
0.02,3.74,4.2, 121, 0
0.02,3.88,4.2, 106, 0
0.02,4.16,4.2, 131, 0
0.02,3.76,4.2, 1351, 0
0.02,3.74,4.2, 171, 0
0.02,3.98,4.2, 34, 0
0.02,4.04,4.2, 93, 0
0.02,4.22,4.2, 24, 0
0.02,4.2,4.2, 12, 0
0.02,4.08,4.2, 395, 0
0.02,3.9,4.2, 53, 0
0.02,3.84,4.2, 231, 0
0.02,3.5,4.2, 8, 0
0.02,4.2,4.2, 25140, 100
0.02,4.12,4.2, 366, 0
0.02,3.9,4.2, 2, 0
0.02,3.8,4.2, 544, 0
0.02,3.64,4.2, 6834, 100
0.02,4.04,4.2, 178, 0
0.02,3.74,4.2, 82, 0
0.02,3.9,4.2, 173, 0
0.02,3.52,4.2, 228, 0
0.02,3.92,4.2, 492, 0
0.02,4.18,4.2, 91, 0
0.02,4.04,4.2, 74, 0
0.02,3.92,4.2, 62, 0
0.02,4.2,4.2, 187, 0
0.02,3.72,4.2, 6107, 100
0.02,4.06,4.2, 208, 0
0.02,3.84,4.2, 163, 0
0.02,3.84,4.2, 14, 0
0.02,4.12,4.2, 215, 0
0.02,3.92,4.2, 156, 0
0.02,4.16,4.2, 8, 0
0.02,4.14,4.2, 71, 0
0.02,3.76,4.2, 101, 0
0.02,4.04,4.2, 110, 0
0.02,4.08,4.2, 178, 0
0.02,3.9,4.2, 237, 0
0.02,3.94,4.2, 409, 0
0.02,3.78,4.2, 758, 0
0.02,3.78,4.2, 179, 0
0.02,3.8,4.2, 62, 0
0.02,4.16,4.2, 35, 0
0.02,4.32,4.2, 428, 0
0.02,3.68,4.2, 606, 0
0.02,3.6,4.2, 648, 0
0.02,3.76,4.2, 478, 0
0.02,3.72,4.2, 581, 0
0.02,3.8,4.2, 54, 0
0.02,4.08,4.2, 590, 0
0.02,3.96,4.2, 285, 0
0.02,4.3,4.2, 71, 0
0.02,4.16,4.2, 122, 0
0.02,3.96,4.2, 17017, 100
0.02,3.92,4.2, 7542, 100
0.02,3.6,4.2, 13, 0
0.02,4.28,4.2, 757, 0
0.02,3.92,4.2, 130, 0
0.02,4.12,4.2, 1, 0
0.02,3.82,4.2, 9, 0
0.02,4.28,4.2, 15, 0
0.02,4.1,4.2, 330, 0
0.02,4.14,4.2, 27, 0
0.02,3.62,4.2, 25, 0
0.02,3.92,4.2, 22, 0
0.02,3.76,4.2, 146, 0
0.02,3.86,4.2, 9, 0
0.02,3.94,4.2, 502, 0
0.02,4.26,4.2, 496, 0
0.02,3.76,4.2, 315, 0
0.02,4.12,4.2, 50, 0
0.02,3.9,4.2, 170, 0
0.02,3.74,4.2, 2868, 0
0.02,3.82,4.2, 1634, 0
0.02,4.1,4.2, 376, 0
0.02,4.04,4.2, 17, 0
0.02,4.12,4.2, 59, 0
0.02,4.16,4.2, 88, 0
0.02,3.86,4.2, 110, 0
0.02,4.1,4.2, 3980, 0
0.02,4.02,4.2, 16, 0
0.02,4.2,4.2, 48, 0
0.02,3.84,4.2, 929, 0
0.02,3.9,4.2, 195, 0
0.02,3.42,4.2, 22, 0
0.02,3.68,4.2, 8, 0
0.02,4.34,4.2, 41, 0
0.02,3.96,4.2, 74, 0
0.02,3.82,4.2, 8, 0
0.02,3.88,4.2, 146, 0
0.02,3.74,4.2, 317, 0
0.02,4.16,4.2, 26, 0
0.02,4.5,4.2, 11144, 100
0.02,4.3,4.2, 24, 0
0.02,4.04,4.2, 1256, 0
0.02,3.86,4.2, 87, 0
0.02,3.9,4.2, 26, 0
