p, k, b/c, n, result
0.02,3.6,3.7, 16, 0
0.02,3.96,3.7, 9, 0
0.02,4.44,3.7, 1357, 0
0.02,3.6,3.7, 63, 0
0.02,3.86,3.7, 157, 0
0.02,3.62,3.7, 36, 0
0.02,3.82,3.7, 2746, 0
0.02,3.64,3.7, 84, 0
0.02,3.86,3.7, 125, 0
0.02,3.94,3.7, 12, 0
0.02,4.22,3.7, 889, 0
0.02,4.32,3.7, 29, 0
0.02,3.86,3.7, 24, 0
0.02,3.74,3.7, 311, 0
0.02,3.76,3.7, 11, 0
0.02,4.42,3.7, 5, 0
0.02,3.7,3.7, 35, 0
0.02,3.94,3.7, 40, 0
0.02,3.96,3.7, 610, 0
0.02,3.92,3.7, 28, 0
0.02,4.16,3.7, 66, 0
0.02,4.0,3.7, 292, 0
0.02,3.92,3.7, 203, 0
0.02,4.04,3.7, 112, 0
0.02,3.84,3.7, 23, 0
0.02,4.0,3.7, 76, 0
0.02,3.8,3.7, 59, 0
0.02,3.74,3.7, 135, 0
0.02,3.7,3.7, 559, 0
0.02,3.68,3.7, 10, 0
0.02,3.8,3.7, 588, 0
0.02,3.68,3.7, 8, 0
0.02,3.62,3.7, 1778, 0
0.02,3.76,3.7, 11749, 100
0.02,3.5,3.7, 12, 0
0.02,4.06,3.7, 74, 0
0.02,4.2,3.7, 5322, 100
0.02,3.88,3.7, 361, 0
0.02,3.9,3.7, 7, 0
0.02,3.7,3.7, 46, 0
0.02,4.1,3.7, 149, 0
0.02,4.14,3.7, 23, 0
0.02,3.9,3.7, 69, 0
0.02,3.86,3.7, 46, 0
0.02,4.12,3.7, 813, 0
0.02,4.0,3.7, 138, 0
0.02,3.6,3.7, 545, 0
0.02,3.96,3.7, 19, 0
0.02,3.94,3.7, 101, 0
0.02,3.86,3.7, 283, 0
0.02,3.78,3.7, 12162, 100
0.02,4.0,3.7, 422, 0
0.02,4.02,3.7, 37, 0
0.02,4.22,3.7, 340, 0
0.02,3.7,3.7, 142, 0
0.02,4.3,3.7, 259, 0
0.02,4.14,3.7, 27, 0
0.02,3.56,3.7, 135, 0
0.02,3.82,3.7, 23, 0
0.02,3.54,3.7, 35, 0
0.02,3.9,3.7, 4033, 100
0.02,4.26,3.7, 80, 0
0.02,3.4,3.7, 426, 0
0.02,4.0,3.7, 2, 0
0.02,4.14,3.7, 97, 0
0.02,3.78,3.7, 29, 0
0.02,3.84,3.7, 69, 0
0.02,4.06,3.7, 36, 0
0.02,3.82,3.7, 57, 0
0.02,3.84,3.7, 8, 0
0.02,3.72,3.7, 13960, 100
0.02,4.12,3.7, 22, 0
0.02,3.74,3.7, 238, 0
0.02,3.98,3.7, 5, 0
0.02,3.66,3.7, 133, 0
0.02,4.04,3.7, 4070, 0
0.02,4.0,3.7, 232, 0
0.02,3.9,3.7, 39, 0
0.02,3.34,3.7, 17746, 100
0.02,3.78,3.7, 68, 0
0.02,3.94,3.7, 214, 0
0.02,4.28,3.7, 124, 0
0.02,4.4,3.7, 288, 0
0.02,4.12,3.7, 323, 0
0.02,3.6,3.7, 8, 0
0.02,3.98,3.7, 21, 0
0.02,4.04,3.7, 1312, 0
0.02,4.1,3.7, 38, 0
0.02,3.88,3.7, 1265, 0
0.02,3.84,3.7, 119, 0
0.02,3.7,3.7, 1965, 0
0.02,3.94,3.7, 237, 0
0.02,3.64,3.7, 44, 0
0.02,3.62,3.7, 16, 0
0.02,3.9,3.7, 29, 0
0.02,3.88,3.7, 689, 0
0.02,3.76,3.7, 1767, 0
0.02,3.78,3.7, 26, 0
0.02,3.84,3.7, 10, 0
0.02,4.02,3.7, 200, 0
0.02,4.12,3.7, 453, 0
0.02,3.78,3.7, 195, 0
0.02,3.98,3.7, 59, 0
0.02,3.68,3.7, 78, 0
0.02,3.84,3.7, 55, 0
0.02,3.88,3.7, 78, 0
0.02,3.7,3.7, 247, 0
0.02,4.12,3.7, 23, 0
0.02,4.18,3.7, 43, 0
0.02,4.34,3.7, 1305, 0
0.02,3.84,3.7, 171, 0
0.02,3.74,3.7, 59, 0
0.02,4.04,3.7, 53, 0
0.02,3.96,3.7, 211, 0
0.02,3.9,3.7, 279, 0
0.02,4.0,3.7, 91, 0
0.02,3.8,3.7, 14, 0
0.02,4.06,3.7, 7231, 0
0.02,3.94,3.7, 302, 0
0.02,3.7,3.7, 61, 0
0.02,4.0,3.7, 21, 0
0.02,3.92,3.7, 236, 0
0.02,3.82,3.7, 217, 0
0.02,3.8,3.7, 38, 0
0.02,3.72,3.7, 83, 0
0.02,4.06,3.7, 844, 0
0.02,4.06,3.7, 115, 0
0.02,3.58,3.7, 17, 0
0.02,3.88,3.7, 55, 0
0.02,3.86,3.7, 34, 0
0.02,4.06,3.7, 8239, 0
0.02,3.74,3.7, 19, 0
