p, k, b/c, n, result
0.02,4.3,3.9, 194, 0
0.02,3.92,3.9, 714, 0
0.02,3.86,3.9, 21, 0
0.02,3.86,3.9, 250, 0
0.02,3.7,3.9, 1941, 0
0.02,3.86,3.9, 2, 0
0.02,3.9,3.9, 22, 0
0.02,4.0,3.9, 76, 0
0.02,3.92,3.9, 1183, 0
0.02,4.02,3.9, 2, 0
0.02,3.74,3.9, 63, 0
0.02,4.1,3.9, 61, 0
0.02,4.12,3.9, 19, 0
0.02,4.18,3.9, 19, 0
0.02,4.06,3.9, 136, 0
0.02,3.84,3.9, 84, 0
0.02,3.86,3.9, 16, 0
0.02,4.2,3.9, 46, 0
0.02,4.1,3.9, 108, 0
0.02,3.94,3.9, 853, 0
0.02,3.68,3.9, 72, 0
0.02,4.08,3.9, 17, 0
0.02,3.72,3.9, 20, 0
0.02,3.82,3.9, 1200, 0
0.02,3.96,3.9, 1541, 0
0.02,3.8,3.9, 124, 0
0.02,3.88,3.9, 5055, 0
0.02,4.1,3.9, 52, 0
0.02,4.26,3.9, 114, 0
0.02,4.14,3.9, 29, 0
0.02,3.9,3.9, 20, 0
0.02,3.88,3.9, 3515, 0
0.02,4.28,3.9, 150, 0
0.02,4.28,3.9, 88, 0
0.02,3.68,3.9, 83, 0
0.02,4.04,3.9, 101, 0
0.02,3.82,3.9, 3769, 0
0.02,3.94,3.9, 8, 0
0.02,3.94,3.9, 654, 0
0.02,3.9,3.9, 120, 0
0.02,3.76,3.9, 776, 0
0.02,3.92,3.9, 5, 0
0.02,3.9,3.9, 74, 0
0.02,3.7,3.9, 21, 0
0.02,4.3,3.9, 203, 0
0.02,4.02,3.9, 250, 0
0.02,3.96,3.9, 39, 0
0.02,4.12,3.9, 370, 0
0.02,3.68,3.9, 253, 0
0.02,3.96,3.9, 84, 0
0.02,3.84,3.9, 10, 0
0.02,3.8,3.9, 32, 0
0.02,3.64,3.9, 20, 0
0.02,3.72,3.9, 153, 0
0.02,3.98,3.9, 63, 0
0.02,3.72,3.9, 1640, 0
0.02,4.12,3.9, 288, 0
0.02,3.98,3.9, 8, 0
0.02,3.58,3.9, 30, 0
0.02,4.02,3.9, 1031, 0
0.02,4.1,3.9, 915, 0
0.02,3.82,3.9, 14, 0
0.02,4.24,3.9, 61, 0
0.02,3.92,3.9, 40, 0
0.02,3.94,3.9, 30, 0
0.02,3.32,3.9, 100, 0
0.02,3.76,3.9, 32, 0
0.02,4.38,3.9, 40, 0
0.02,3.84,3.9, 263, 0
0.02,3.78,3.9, 302, 0
0.02,3.94,3.9, 36, 0
0.02,3.94,3.9, 105, 0
0.02,3.76,3.9, 44, 0
0.02,3.7,3.9, 132, 0
0.02,4.18,3.9, 385, 0
0.02,3.94,3.9, 182, 0
0.02,3.7,3.9, 428, 0
0.02,3.68,3.9, 4, 0
0.02,4.04,3.9, 230, 0
0.02,4.0,3.9, 2038, 0
0.02,3.9,3.9, 337, 0
0.02,3.84,3.9, 29, 0
0.02,3.68,3.9, 49, 0
0.02,4.04,3.9, 151, 0
0.02,3.88,3.9, 488, 0
0.02,3.74,3.9, 2, 0
0.02,3.94,3.9, 22, 0
0.02,3.98,3.9, 15668, 100
0.02,3.88,3.9, 1191, 0
0.02,4.36,3.9, 107, 0
0.02,3.88,3.9, 1, 0
0.02,3.84,3.9, 2480, 0
0.02,3.98,3.9, 28, 0
0.02,3.8,3.9, 35, 0
0.02,3.88,3.9, 13, 0
0.02,3.86,3.9, 665, 0
0.02,4.04,3.9, 6734, 0
0.02,3.82,3.9, 107, 0
0.02,4.0,3.9, 33, 0
0.02,3.6,3.9, 265, 0
0.02,3.88,3.9, 98, 0
0.02,4.24,3.9, 184, 0
0.02,4.0,3.9, 7343, 100
0.02,3.62,3.9, 9, 0
0.02,3.86,3.9, 265, 0
0.02,3.72,3.9, 90, 0
0.02,3.92,3.9, 5, 0
0.02,3.8,3.9, 184, 0
0.02,3.9,3.9, 9, 0
0.02,3.92,3.9, 17, 0
0.02,3.82,3.9, 12224, 100
0.02,4.12,3.9, 5, 0
0.02,4.08,3.9, 23, 0
0.02,3.86,3.9, 37, 0
0.02,3.8,3.9, 183, 0
0.02,3.74,3.9, 129, 0
0.02,3.38,3.9, 38, 0
0.02,4.3,3.9, 13, 0
0.02,3.58,3.9, 73, 0
0.02,4.46,3.9, 323, 0
0.02,3.96,3.9, 120, 0
0.02,3.88,3.9, 499, 0
0.02,3.98,3.9, 20, 0
0.02,3.74,3.9, 191, 0
0.02,4.2,3.9, 299, 0
0.02,4.12,3.9, 144, 0
0.02,3.88,3.9, 341, 0
0.02,3.68,3.9, 756, 0
0.02,4.12,3.9, 145, 0
0.02,3.78,3.9, 710, 0
0.02,3.94,3.9, 2, 0
0.02,4.02,3.9, 585, 0
0.02,3.68,3.9, 11292, 0
0.02,4.08,3.9, 39, 0
0.02,4.22,3.9, 52, 0
0.02,3.76,3.9, 128, 0
0.02,3.78,3.9, 86, 0
0.02,3.96,3.9, 405, 0
0.02,3.8,3.9, 230, 0
0.02,3.84,3.9, 246, 0
0.02,4.1,3.9, 554, 0
0.02,4.08,3.9, 230, 0
0.02,3.76,3.9, 225, 0
0.02,3.88,3.9, 323, 0
0.02,3.66,3.9, 26, 0
0.02,3.66,3.9, 63, 0
0.02,3.92,3.9, 1468, 0
0.02,3.76,3.9, 183, 0
0.02,3.7,3.9, 2, 0
0.02,3.86,3.9, 43, 0
0.02,3.94,3.9, 74, 0
0.02,4.02,3.9, 74, 0
0.02,4.04,3.9, 564, 0
0.02,3.84,3.9, 3, 0
0.02,3.84,3.9, 92, 0
0.02,4.16,3.9, 56, 0
0.02,3.74,3.9, 37, 0
0.02,3.7,3.9, 43, 0
0.02,4.26,3.9, 33, 0
0.02,3.6,3.9, 65, 0
0.02,4.12,3.9, 14, 0
0.02,4.12,3.9, 127, 0
0.02,4.16,3.9, 17, 0
0.02,3.88,3.9, 181, 0
0.02,4.04,3.9, 11926, 0
0.02,3.78,3.9, 16, 0
0.02,4.08,3.9, 159, 0
0.02,4.12,3.9, 62, 0
0.02,3.64,3.9, 905, 0
0.02,3.8,3.9, 62, 0
0.02,4.12,3.9, 287, 0
0.02,4.2,3.9, 450, 0
0.02,3.5,3.9, 499, 0
0.02,3.78,3.9, 15, 0
0.02,3.56,3.9, 3965, 100
0.02,3.96,3.9, 90, 0
0.02,3.92,3.9, 54, 0
0.02,4.06,3.9, 34, 0
0.02,3.76,3.9, 43, 0
0.02,4.02,3.9, 7094, 100
0.02,3.92,3.9, 40, 0
0.02,3.96,3.9, 134, 0
0.02,3.8,3.9, 228, 0
0.02,3.86,3.9, 62, 0
0.02,3.96,3.9, 73, 0
0.02,3.56,3.9, 501, 0
0.02,3.82,3.9, 51, 0
0.02,3.98,3.9, 445, 0
0.02,3.7,3.9, 84, 0
0.02,3.9,3.9, 122, 0
0.02,4.42,3.9, 274, 0
0.02,4.24,3.9, 1320, 0
0.02,3.82,3.9, 16, 0
0.02,3.78,3.9, 270, 0
0.02,3.34,3.9, 303, 0
0.02,3.46,3.9, 145, 0
0.02,4.16,3.9, 295, 0
0.02,3.68,3.9, 12, 0
0.02,3.94,3.9, 318, 0
0.02,3.72,3.9, 5428, 0
0.02,3.96,3.9, 64, 0
0.02,3.84,3.9, 668, 0
0.02,3.98,3.9, 45, 0
0.02,3.8,3.9, 740, 0
0.02,3.92,3.9, 53, 0
0.02,4.26,3.9, 164, 0
0.02,3.94,3.9, 521, 0
0.02,4.14,3.9, 10, 0
0.02,4.02,3.9, 31, 0
