p, k, b/c, n, result
0.02,3.84,2.2, 6, 0
0.02,4.0,2.2, 215, 0
0.02,4.42,2.2, 0, 0
0.02,4.02,2.2, 18, 0
0.02,3.76,2.2, 897, 0
0.02,3.76,2.2, 18, 0
0.02,3.9,2.2, 76, 0
0.02,3.98,2.2, 1058, 0
0.02,3.5,2.2, 551, 0
0.02,3.8,2.2, 2485, 0
0.02,4.24,2.2, 223, 0
0.02,4.2,2.2, 3917, 0
0.02,4.14,2.2, 33, 0
0.02,3.74,2.2, 363, 0
0.02,3.54,2.2, 162, 0
0.02,4.32,2.2, 6, 0
0.02,4.14,2.2, 6898, 0
0.02,3.78,2.2, 32, 0
0.02,4.0,2.2, 537, 0
0.02,4.08,2.2, 1602, 0
0.02,4.1,2.2, 59, 0
0.02,4.26,2.2, 152, 0
0.02,3.86,2.2, 12, 0
0.02,4.22,2.2, 37, 0
0.02,3.64,2.2, 93, 0
0.02,3.98,2.2, 15, 0
0.02,4.06,2.2, 9878, 0
0.02,3.78,2.2, 113, 0
0.02,3.84,2.2, 31, 0
0.02,4.0,2.2, 3903, 0
0.02,3.96,2.2, 1555, 0
0.02,4.12,2.2, 1641, 0
0.02,3.96,2.2, 318, 0
0.02,3.98,2.2, 93, 0
0.02,3.8,2.2, 3, 0
0.02,3.86,2.2, 11, 0
0.02,3.92,2.2, 596, 0
0.02,3.9,2.2, 1747, 0
0.02,3.78,2.2, 1792, 0
0.02,3.84,2.2, 1718, 0
0.02,3.98,2.2, 197, 0
0.02,3.78,2.2, 303, 0
0.02,3.7,2.2, 4560, 0
0.02,3.82,2.2, 35, 0
0.02,3.72,2.2, 273, 0
0.02,4.1,2.2, 10, 0
0.02,4.18,2.2, 13, 0
0.02,3.98,2.2, 3112, 0
0.02,3.96,2.2, 23, 0
0.02,3.84,2.2, 13, 0
0.02,4.14,2.2, 135, 0
0.02,3.82,2.2, 58, 0
0.02,4.54,2.2, 31, 0
0.02,4.2,2.2, 22, 0
0.02,4.04,2.2, 417, 0
0.02,3.9,2.2, 1211, 0
0.02,3.94,2.2, 89, 0
0.02,3.86,2.2, 0, 0
0.02,3.48,2.2, 166, 0
0.02,4.02,2.2, 79, 0
0.02,4.16,2.2, 10, 0
0.02,3.92,2.2, 14, 0
0.02,4.36,2.2, 215, 0
0.02,4.04,2.2, 259, 0
0.02,4.1,2.2, 11, 0
0.02,4.08,2.2, 153, 0
0.02,3.9,2.2, 1736, 0
0.02,3.96,2.2, 272, 0
0.02,3.88,2.2, 340, 0
0.02,3.86,2.2, 4356, 0
0.02,4.06,2.2, 69, 0
0.02,3.96,2.2, 2628, 0
0.02,4.08,2.2, 478, 0
0.02,3.58,2.2, 329, 0
0.02,3.94,2.2, 14, 0
0.02,3.98,2.2, 113, 0
0.02,3.92,2.2, 11, 0
0.02,4.02,2.2, 137, 0
0.02,3.94,2.2, 143, 0
0.02,3.96,2.2, 25, 0
0.02,3.62,2.2, 1006, 0
0.02,4.08,2.2, 2, 0
0.02,3.94,2.2, 567, 0
0.02,3.98,2.2, 1136, 0
0.02,3.76,2.2, 6221, 0
0.02,4.18,2.2, 194, 0
0.02,3.56,2.2, 495, 0
0.02,4.04,2.2, 467, 0
0.02,3.74,2.2, 235, 0
0.02,3.76,2.2, 1106, 0
