p, k, b/c, n, result
0.02,3.86,2.1, 564, 0
0.02,4.16,2.1, 887, 0
0.02,4.02,2.1, 4131, 0
0.02,3.7,2.1, 30, 0
0.02,3.98,2.1, 746, 0
0.02,4.0,2.1, 1, 0
0.02,4.14,2.1, 37, 0
0.02,3.76,2.1, 544, 0
0.02,4.02,2.1, 8, 0
0.02,3.9,2.1, 82, 0
0.02,3.84,2.1, 6, 0
0.02,4.0,2.1, 28, 0
0.02,4.02,2.1, 0, 0
0.02,4.04,2.1, 1060, 0
0.02,4.34,2.1, 51, 0
0.02,3.7,2.1, 19, 0
0.02,3.94,2.1, 69, 0
0.02,4.14,2.1, 86, 0
0.02,4.26,2.1, 60, 0
0.02,3.86,2.1, 99, 0
0.02,3.88,2.1, 1, 0
0.02,4.1,2.1, 524, 0
0.02,3.86,2.1, 0, 0
0.02,3.72,2.1, 287, 0
0.02,4.16,2.1, 24, 0
0.02,3.74,2.1, 438, 0
0.02,4.1,2.1, 71, 0
0.02,3.9,2.1, 410, 0
0.02,3.94,2.1, 6035, 0
0.02,3.54,2.1, 93, 0
0.02,4.2,2.1, 430, 0
0.02,3.78,2.1, 667, 0
0.02,3.86,2.1, 366, 0
0.02,3.82,2.1, 162, 0
0.02,3.7,2.1, 320, 0
0.02,4.08,2.1, 518, 0
0.02,3.9,2.1, 32, 0
0.02,3.78,2.1, 43, 0
0.02,4.36,2.1, 1703, 0
0.02,3.78,2.1, 5, 0
0.02,3.74,2.1, 171, 0
0.02,3.94,2.1, 3, 0
0.02,3.7,2.1, 54, 0
0.02,3.84,2.1, 233, 0
0.02,4.12,2.1, 2105, 0
0.02,3.72,2.1, 1042, 0
0.02,3.8,2.1, 37, 0
0.02,3.84,2.1, 69, 0
0.02,3.62,2.1, 548, 0
0.02,4.06,2.1, 14, 0
0.02,4.38,2.1, 562, 0
0.02,3.78,2.1, 860, 0
0.02,3.88,2.1, 84, 0
0.02,4.08,2.1, 534, 0
0.02,3.88,2.1, 10, 0
0.02,3.66,2.1, 70, 0
0.02,3.88,2.1, 15, 0
0.02,3.92,2.1, 6, 0
0.02,3.78,2.1, 97, 0
0.02,4.06,2.1, 6, 0
0.02,4.12,2.1, 15, 0
0.02,3.94,2.1, 19, 0
0.02,3.66,2.1, 141, 0
0.02,3.94,2.1, 951, 0
0.02,3.86,2.1, 53, 0
0.02,4.04,2.1, 1619, 0
0.02,3.98,2.1, 5, 0
0.02,4.36,2.1, 145, 0
0.02,3.68,2.1, 4, 0
0.02,3.76,2.1, 7, 0
0.02,3.9,2.1, 27, 0
0.02,3.88,2.1, 10000, 20
0.02,3.56,2.1, 159, 0
0.02,4.36,2.1, 51, 0
0.02,3.96,2.1, 315, 0
0.02,4.38,2.1, 96, 0
0.02,3.48,2.1, 50, 0
0.02,3.9,2.1, 51, 0
0.02,4.24,2.1, 3073, 0
