p, k, b/c, n, result
0.02,4.04,3.0, 67, 0
0.02,4.04,3.0, 40, 0
0.02,3.76,3.0, 6332, 0
0.02,3.98,3.0, 511, 0
0.02,3.9,3.0, 1235, 0
0.02,4.22,3.0, 108, 0
0.02,3.96,3.0, 797, 0
0.02,4.06,3.0, 31, 0
0.02,3.86,3.0, 128, 0
0.02,3.78,3.0, 1293, 0
0.02,4.42,3.0, 1048, 0
0.02,3.8,3.0, 98, 0
0.02,3.64,3.0, 85, 0
0.02,4.06,3.0, 5451, 0
0.02,4.24,3.0, 4888, 0
0.02,3.52,3.0, 64, 0
0.02,4.02,3.0, 77, 0
0.02,3.8,3.0, 1540, 0
0.02,4.08,3.0, 134, 0
0.02,4.14,3.0, 47, 0
0.02,3.66,3.0, 1619, 0
0.02,4.26,3.0, 223, 0
0.02,3.6,3.0, 389, 0
0.02,4.08,3.0, 489, 0
0.02,3.84,3.0, 6, 0
0.02,3.94,3.0, 22, 0
0.02,4.0,3.0, 53, 0
0.02,4.02,3.0, 68, 0
0.02,3.74,3.0, 123, 0
0.02,3.96,3.0, 305, 0
0.02,4.34,3.0, 46, 0
0.02,3.98,3.0, 405, 0
0.02,3.78,3.0, 18, 0
0.02,3.64,3.0, 1587, 0
0.02,3.96,3.0, 297, 0
0.02,4.06,3.0, 75, 0
0.02,4.04,3.0, 177, 0
0.02,3.76,3.0, 1007, 0
0.02,3.78,3.0, 9, 0
0.02,4.0,3.0, 1959, 0
0.02,4.28,3.0, 1178, 0
0.02,3.7,3.0, 292, 0
0.02,3.82,3.0, 127, 0
0.02,4.28,3.0, 104, 0
0.02,3.96,3.0, 169, 0
0.02,4.04,3.0, 172, 0
0.02,3.92,3.0, 1, 0
0.02,3.78,3.0, 193, 0
0.02,4.22,3.0, 862, 0
0.02,3.76,3.0, 1089, 0
0.02,4.06,3.0, 9217, 0
0.02,3.82,3.0, 606, 0
0.02,4.08,3.0, 27, 0
0.02,3.58,3.0, 102, 0
0.02,4.04,3.0, 6922, 0
0.02,4.24,3.0, 154, 0
0.02,3.94,3.0, 2996, 0
0.02,3.72,3.0, 59, 0
0.02,3.84,3.0, 137, 0
0.02,3.84,3.0, 87, 0
0.02,4.12,3.0, 87, 0
0.02,3.52,3.0, 2238, 0
0.02,3.78,3.0, 2222, 0
0.02,3.86,3.0, 65, 0
0.02,3.86,3.0, 9, 0
0.02,3.88,3.0, 30, 0
0.02,3.98,3.0, 79, 0
0.02,3.86,3.0, 182, 0
0.02,4.0,3.0, 787, 0
0.02,4.04,3.0, 92, 0
0.02,3.86,3.0, 137, 0
0.02,3.7,3.0, 16, 0
0.02,3.7,3.0, 76, 0
0.02,3.9,3.0, 2600, 0
0.02,4.06,3.0, 18, 0
0.02,3.8,3.0, 71, 0
0.02,3.68,3.0, 6, 0
0.02,3.92,3.0, 287, 0
0.02,4.0,3.0, 55, 0
0.02,3.9,3.0, 5092, 0
0.02,4.06,3.0, 8, 0
0.02,4.24,3.0, 62, 0
0.02,3.8,3.0, 38, 0
0.02,3.56,3.0, 115, 0
0.02,3.86,3.0, 187, 0
0.02,3.74,3.0, 391, 0
0.02,3.9,3.0, 1078, 0
0.02,4.1,3.0, 134, 0
0.02,4.1,3.0, 92, 0
0.02,3.76,3.0, 72, 0
0.02,4.54,3.0, 347, 0
0.02,3.84,3.0, 1128, 0
0.02,3.66,3.0, 23, 0
0.02,3.98,3.0, 526, 0
0.02,4.08,3.0, 49, 0
0.02,3.94,3.0, 10000, 36
0.02,3.76,3.0, 106, 0
0.02,3.76,3.0, 1572, 0
0.02,3.98,3.0, 341, 0
0.02,3.82,3.0, 1, 0
0.02,3.76,3.0, 206, 0
0.02,4.16,3.0, 183, 0
0.02,4.26,3.0, 2261, 0
0.02,3.8,3.0, 193, 0
0.02,4.04,3.0, 64, 0
0.02,3.62,3.0, 86, 0
0.02,4.1,3.0, 552, 0
0.02,3.94,3.0, 83, 0
0.02,3.66,3.0, 6944, 0
0.02,3.82,3.0, 258, 0
0.02,4.0,3.0, 5385, 0
0.02,3.7,3.0, 294, 0
0.02,3.76,3.0, 6884, 0
0.02,3.56,3.0, 1189, 0
0.02,3.84,3.0, 2834, 0
0.02,3.7,3.0, 88, 0
0.02,3.52,3.0, 3716, 0
0.02,4.1,3.0, 8, 0
0.02,4.08,3.0, 26, 0
0.02,4.04,3.0, 78, 0
0.02,3.58,3.0, 6275, 0
0.02,4.14,3.0, 54, 0
0.02,3.88,3.0, 3, 0
0.02,3.8,3.0, 125, 0
0.02,3.88,3.0, 27, 0
0.02,3.66,3.0, 29, 0
0.02,3.8,3.0, 813, 0
0.02,3.62,3.0, 10, 0
0.02,3.76,3.0, 58, 0
0.02,4.5,3.0, 935, 0
0.02,3.96,3.0, 39, 0
0.02,4.1,3.0, 18, 0
0.02,3.98,3.0, 31, 0
0.02,4.26,3.0, 81, 0
0.02,3.62,3.0, 34, 0
0.02,3.76,3.0, 11, 0
0.02,3.94,3.0, 15, 0
0.02,4.0,3.0, 340, 0
0.02,3.94,3.0, 178, 0
0.02,3.88,3.0, 135, 0
0.02,3.94,3.0, 263, 0
0.02,4.4,3.0, 11, 0
0.02,3.98,3.0, 744, 0
0.02,4.0,3.0, 1208, 0
0.02,3.94,3.0, 119, 0
0.02,4.2,3.0, 3048, 0
0.02,3.9,3.0, 31, 0
0.02,4.02,3.0, 8107, 0
0.02,3.88,3.0, 1087, 0
0.02,4.24,3.0, 26, 0
0.02,3.36,3.0, 241, 0
0.02,3.86,3.0, 1806, 0
0.02,3.92,3.0, 631, 0
0.02,4.22,3.0, 91, 0
0.02,3.92,3.0, 22, 0
0.02,3.96,3.0, 197, 0
0.02,3.78,3.0, 27, 0
0.02,3.7,3.0, 33, 0
0.02,3.66,3.0, 73, 0
0.02,3.96,3.0, 421, 0
0.02,3.9,3.0, 1170, 0
