p, k, b/c, n, result
0.02,3.84,2.3, 598, 0
0.02,3.98,2.3, 109, 0
0.02,4.24,2.3, 13, 0
0.02,3.96,2.3, 497, 0
0.02,4.32,2.3, 5, 0
0.02,3.84,2.3, 0, 0
0.02,3.86,2.3, 55, 0
0.02,4.3,2.3, 27, 0
0.02,4.0,2.3, 65, 0
0.02,3.78,2.3, 28, 0
0.02,4.0,2.3, 989, 0
0.02,3.86,2.3, 9, 0
0.02,3.96,2.3, 675, 0
0.02,3.76,2.3, 849, 0
0.02,3.92,2.3, 19, 0
0.02,3.88,2.3, 63, 0
0.02,3.78,2.3, 247, 0
0.02,4.18,2.3, 3088, 0
0.02,3.8,2.3, 87, 0
0.02,3.88,2.3, 14, 0
0.02,4.04,2.3, 1644, 0
0.02,3.94,2.3, 2, 0
0.02,3.82,2.3, 128, 0
0.02,4.1,2.3, 240, 0
0.02,3.62,2.3, 1412, 0
0.02,3.52,2.3, 76, 0
0.02,4.16,2.3, 190, 0
0.02,3.76,2.3, 8906, 0
0.02,3.94,2.3, 0, 0
0.02,3.9,2.3, 16, 0
0.02,3.94,2.3, 50, 0
0.02,4.22,2.3, 81, 0
0.02,4.12,2.3, 798, 0
0.02,3.94,2.3, 620, 0
0.02,3.94,2.3, 88, 0
0.02,3.92,2.3, 3919, 0
0.02,4.2,2.3, 1076, 0
0.02,3.78,2.3, 1246, 0
0.02,3.86,2.3, 0, 0
0.02,3.92,2.3, 8, 0
0.02,4.18,2.3, 96, 0
0.02,3.68,2.3, 132, 0
0.02,3.98,2.3, 214, 0
0.02,3.84,2.3, 95, 0
0.02,3.6,2.3, 184, 0
0.02,4.12,2.3, 46, 0
0.02,3.76,2.3, 47, 0
0.02,3.92,2.3, 73, 0
0.02,3.94,2.3, 383, 0
0.02,3.98,2.3, 26, 0
0.02,4.1,2.3, 1263, 0
0.02,3.82,2.3, 9, 0
0.02,4.4,2.3, 92, 0
0.02,3.74,2.3, 1951, 0
0.02,4.14,2.3, 353, 0
0.02,3.86,2.3, 15, 0
0.02,3.76,2.3, 10000, 16
0.02,3.86,2.3, 162, 0
0.02,4.06,2.3, 132, 0
0.02,3.66,2.3, 13, 0
0.02,3.94,2.3, 1778, 0
0.02,3.98,2.3, 929, 0
0.02,3.78,2.3, 196, 0
0.02,3.72,2.3, 2, 0
0.02,3.8,2.3, 55, 0
0.02,3.82,2.3, 13, 0
0.02,3.72,2.3, 219, 0
0.02,3.7,2.3, 1076, 0
0.02,3.9,2.3, 96, 0
0.02,3.86,2.3, 44, 0
0.02,3.96,2.3, 31, 0
0.02,4.08,2.3, 12, 0
0.02,3.94,2.3, 3785, 0
0.02,3.94,2.3, 63, 0
0.02,3.82,2.3, 538, 0
0.02,4.2,2.3, 1632, 0
0.02,3.86,2.3, 52, 0
0.02,4.14,2.3, 3000, 0
0.02,4.28,2.3, 2, 0
0.02,3.8,2.3, 120, 0
0.02,3.94,2.3, 74, 0
0.02,3.86,2.3, 332, 0
0.02,3.74,2.3, 7, 0
0.02,3.66,2.3, 25, 0
0.02,3.84,2.3, 16, 0
0.02,3.68,2.3, 170, 0
0.02,4.08,2.3, 33, 0
0.02,3.3,2.3, 277, 0
0.02,3.92,2.3, 1034, 0
0.02,3.84,2.3, 181, 0
0.02,3.98,2.3, 260, 0
0.02,4.0,2.3, 1455, 0
0.02,3.94,2.3, 1152, 0
0.02,3.86,2.3, 56, 0
0.02,4.0,2.3, 645, 0
0.02,3.72,2.3, 1, 0
0.02,3.82,2.3, 17, 0
0.02,3.96,2.3, 1429, 0
0.02,3.5,2.3, 172, 0
0.02,3.92,2.3, 207, 0
0.02,3.74,2.3, 2458, 0
0.02,4.14,2.3, 2006, 0
0.02,3.96,2.3, 4903, 0
0.02,3.68,2.3, 2369, 0
0.02,3.82,2.3, 72, 0
0.02,3.94,2.3, 7, 0
0.02,3.72,2.3, 1047, 0
0.02,4.0,2.3, 87, 0
0.02,3.96,2.3, 914, 0
0.02,4.2,2.3, 422, 0
0.02,4.04,2.3, 351, 0
0.02,3.96,2.3, 68, 0
0.02,4.14,2.3, 250, 0
0.02,3.86,2.3, 163, 0
0.02,3.82,2.3, 210, 0
0.02,3.98,2.3, 3381, 0
0.02,3.86,2.3, 904, 0
0.02,3.9,2.3, 3497, 0
0.02,3.7,2.3, 152, 0
0.02,4.06,2.3, 44, 0
0.02,3.64,2.3, 3, 0
0.02,3.86,2.3, 34, 0
0.02,4.04,2.3, 1016, 0
0.02,4.1,2.3, 305, 0
0.02,3.68,2.3, 68, 0
0.02,3.76,2.3, 43, 0
0.02,4.02,2.3, 93, 0
0.02,3.8,2.3, 26, 0
0.02,3.7,2.3, 27, 0
0.02,4.26,2.3, 4, 0
0.02,4.18,2.3, 31, 0
0.02,3.7,2.3, 452, 0
0.02,4.16,2.3, 1286, 0
0.02,3.98,2.3, 310, 0
0.02,4.0,2.3, 102, 0
0.02,3.98,2.3, 348, 0
0.02,4.14,2.3, 259, 0
0.02,3.86,2.3, 3364, 0
0.02,4.16,2.3, 145, 0
0.02,3.72,2.3, 133, 0
0.02,4.1,2.3, 126, 0
0.02,3.88,2.3, 32, 0
0.02,3.94,2.3, 17, 0
0.02,3.62,2.3, 277, 0
0.02,3.76,2.3, 13, 0
0.02,4.04,2.3, 324, 0
0.02,4.06,2.3, 58, 0
0.02,3.72,2.3, 610, 0
0.02,3.46,2.3, 239, 0
0.02,4.08,2.3, 34, 0
0.02,3.9,2.3, 149, 0
0.02,4.0,2.3, 1085, 0
0.02,3.74,2.3, 1738, 0
0.02,3.98,2.3, 155, 0
0.02,4.06,2.3, 59, 0
0.02,3.76,2.3, 1107, 0
0.02,3.6,2.3, 61, 0
0.02,3.76,2.3, 900, 0
0.02,4.18,2.3, 7, 0
0.02,3.92,2.3, 90, 0
0.02,3.82,2.3, 107, 0
0.02,3.94,2.3, 159, 0
0.02,4.0,2.3, 112, 0
0.02,4.4,2.3, 217, 0
0.02,3.96,2.3, 3, 0
0.02,3.68,2.3, 1032, 0
0.02,3.82,2.3, 34, 0
0.02,3.8,2.3, 406, 0
0.02,4.38,2.3, 706, 0
0.02,3.88,2.3, 30, 0
