p, k, b/c, n, result
0.02,3.76,3.8, 4681, 100
0.02,3.58,3.8, 1117, 0
0.02,4.28,3.8, 5582, 100
0.02,3.96,3.8, 50, 0
0.02,4.18,3.8, 18, 0
0.02,3.96,3.8, 299, 0
0.02,3.8,3.8, 163, 0
0.02,4.12,3.8, 196, 0
0.02,3.92,3.8, 394, 0
0.02,3.98,3.8, 9, 0
0.02,3.88,3.8, 63, 0
0.02,3.98,3.8, 16, 0
0.02,3.82,3.8, 150, 0
0.02,4.22,3.8, 179, 0
0.02,3.86,3.8, 109, 0
0.02,3.82,3.8, 82, 0
0.02,3.76,3.8, 314, 0
0.02,3.94,3.8, 6, 0
0.02,4.02,3.8, 343, 0
0.02,4.0,3.8, 39, 0
0.02,4.02,3.8, 60, 0
0.02,3.6,3.8, 422, 0
0.02,3.72,3.8, 338, 0
0.02,3.64,3.8, 610, 0
0.02,4.1,3.8, 4, 0
0.02,3.98,3.8, 150, 0
0.02,3.74,3.8, 41, 0
0.02,3.76,3.8, 79, 0
0.02,3.78,3.8, 258, 0
0.02,3.9,3.8, 96, 0
0.02,4.22,3.8, 203, 0
0.02,3.94,3.8, 7537, 0
0.02,4.24,3.8, 68, 0
0.02,3.86,3.8, 2417, 0
0.02,4.0,3.8, 4277, 0
0.02,3.74,3.8, 119, 0
0.02,3.72,3.8, 104, 0
0.02,4.04,3.8, 21, 0
0.02,3.9,3.8, 146, 0
0.02,4.04,3.8, 3, 0
0.02,3.88,3.8, 19, 0
0.02,3.7,3.8, 1578, 0
0.02,4.18,3.8, 93, 0
0.02,3.6,3.8, 465, 0
0.02,3.78,3.8, 32, 0
0.02,3.8,3.8, 2720, 0
0.02,3.96,3.8, 40, 0
0.02,3.66,3.8, 121, 0
0.02,4.16,3.8, 74, 0
0.02,3.86,3.8, 471, 0
0.02,3.64,3.8, 35, 0
0.02,3.9,3.8, 36, 0
0.02,3.9,3.8, 657, 0
0.02,3.82,3.8, 81, 0
0.02,3.72,3.8, 82, 0
0.02,3.42,3.8, 7407, 100
0.02,3.78,3.8, 117, 0
0.02,3.94,3.8, 285, 0
0.02,3.72,3.8, 4812, 100
0.02,3.56,3.8, 220, 0
0.02,3.82,3.8, 8, 0
0.02,3.74,3.8, 59, 0
0.02,4.2,3.8, 26, 0
0.02,3.6,3.8, 781, 0
0.02,4.02,3.8, 67, 0
0.02,4.16,3.8, 63, 0
0.02,3.88,3.8, 41, 0
0.02,3.82,3.8, 69, 0
0.02,3.9,3.8, 3190, 0
0.02,4.02,3.8, 614, 0
0.02,3.64,3.8, 690, 0
0.02,4.14,3.8, 87, 0
0.02,4.42,3.8, 78, 0
0.02,3.96,3.8, 47, 0
0.02,4.14,3.8, 220, 0
0.02,3.88,3.8, 9, 0
0.02,3.98,3.8, 88, 0
0.02,3.54,3.8, 71, 0
0.02,3.8,3.8, 7, 0
0.02,4.22,3.8, 14, 0
0.02,3.52,3.8, 271, 0
0.02,4.02,3.8, 61, 0
0.02,3.88,3.8, 231, 0
0.02,3.9,3.8, 322, 0
0.02,3.56,3.8, 606, 0
0.02,3.68,3.8, 128, 0
0.02,3.44,3.8, 326, 0
0.02,4.0,3.8, 58, 0
0.02,4.12,3.8, 6, 0
0.02,4.04,3.8, 7, 0
0.02,4.18,3.8, 4169, 0
0.02,3.88,3.8, 117, 0
0.02,3.8,3.8, 23, 0
0.02,4.0,3.8, 27, 0
0.02,3.96,3.8, 193, 0
0.02,4.14,3.8, 3, 0
0.02,3.98,3.8, 116, 0
0.02,3.98,3.8, 930, 0
0.02,3.96,3.8, 131, 0
0.02,3.84,3.8, 23, 0
0.02,3.6,3.8, 438, 0
0.02,3.76,3.8, 11, 0
0.02,3.56,3.8, 10, 0
0.02,4.2,3.8, 818, 0
0.02,3.86,3.8, 90, 0
0.02,4.32,3.8, 587, 0
0.02,3.98,3.8, 8730, 100
0.02,4.02,3.8, 5183, 0
0.02,3.86,3.8, 553, 0
0.02,3.96,3.8, 339, 0
0.02,3.94,3.8, 999, 0
0.02,3.76,3.8, 2966, 0
0.02,3.94,3.8, 141, 0
0.02,3.9,3.8, 13499, 0
0.02,3.72,3.8, 5250, 0
0.02,3.56,3.8, 1826, 0
0.02,4.0,3.8, 55, 0
0.02,3.98,3.8, 59, 0
0.02,3.78,3.8, 1695, 0
0.02,3.98,3.8, 2033, 0
0.02,3.62,3.8, 17, 0
0.02,3.86,3.8, 935, 0
0.02,3.88,3.8, 329, 0
0.02,3.92,3.8, 173, 0
0.02,4.0,3.8, 142, 0
0.02,3.98,3.8, 6970, 100
0.02,3.68,3.8, 261, 0
0.02,4.0,3.8, 1312, 0
0.02,3.56,3.8, 195, 0
0.02,3.7,3.8, 37, 0
0.02,3.36,3.8, 118, 0
0.02,4.12,3.8, 114, 0
0.02,4.02,3.8, 701, 0
0.02,3.62,3.8, 5204, 100
0.02,3.82,3.8, 618, 0
0.02,3.98,3.8, 37, 0
0.02,3.72,3.8, 2331, 0
0.02,4.16,3.8, 39, 0
0.02,4.08,3.8, 6135, 100
0.02,3.74,3.8, 60, 0
0.02,3.98,3.8, 253, 0
0.02,4.08,3.8, 816, 0
0.02,3.74,3.8, 140, 0
0.02,3.88,3.8, 42, 0
0.02,4.28,3.8, 3419, 0
0.02,3.74,3.8, 59, 0
0.02,3.58,3.8, 444, 0
0.02,3.86,3.8, 142, 0
0.02,4.0,3.8, 59, 0
0.02,4.08,3.8, 84, 0
0.02,4.06,3.8, 111, 0
0.02,4.08,3.8, 144, 0
0.02,3.72,3.8, 73, 0
0.02,4.16,3.8, 3917, 0
0.02,3.94,3.8, 721, 0
0.02,4.12,3.8, 377, 0
0.02,3.8,3.8, 704, 0
0.02,4.34,3.8, 340, 0
0.02,4.12,3.8, 7, 0
0.02,3.92,3.8, 180, 0
0.02,3.92,3.8, 171, 0
0.02,3.98,3.8, 195, 0
0.02,3.92,3.8, 34, 0
0.02,3.84,3.8, 295, 0
0.02,3.78,3.8, 10, 0
0.02,3.78,3.8, 56, 0
0.02,3.7,3.8, 31, 0
0.02,3.9,3.8, 394, 0
0.02,3.94,3.8, 320, 0
0.02,3.86,3.8, 29, 0
0.02,4.14,3.8, 52, 0
0.02,3.98,3.8, 637, 0
0.02,3.86,3.8, 5241, 100
0.02,3.52,3.8, 237, 0
0.02,3.68,3.8, 34, 0
0.02,3.92,3.8, 114, 0
0.02,4.38,3.8, 110, 0
0.02,3.68,3.8, 13, 0
0.02,3.8,3.8, 71, 0
0.02,3.92,3.8, 40, 0
0.02,4.18,3.8, 640, 0
0.02,3.82,3.8, 1751, 0
0.02,4.08,3.8, 886, 0
0.02,3.72,3.8, 14, 0
0.02,3.76,3.8, 692, 0
0.02,4.18,3.8, 402, 0
0.02,4.04,3.8, 12, 0
0.02,3.84,3.8, 21, 0
0.02,4.02,3.8, 28, 0
0.02,3.28,3.8, 317, 0
0.02,3.92,3.8, 279, 0
0.02,4.0,3.8, 207, 0
0.02,4.26,3.8, 354, 0
0.02,3.76,3.8, 299, 0
0.02,4.0,3.8, 799, 0
0.02,3.8,3.8, 64, 0
0.02,3.8,3.8, 55, 0
0.02,3.66,3.8, 44, 0
0.02,4.04,3.8, 6443, 100
0.02,4.1,3.8, 46, 0
0.02,4.04,3.8, 247, 0
0.02,3.72,3.8, 315, 0
0.02,3.76,3.8, 176, 0
0.02,3.84,3.8, 19, 0
0.02,3.38,3.8, 89, 0
0.02,4.26,3.8, 12, 0
0.02,3.88,3.8, 248, 0
0.02,4.3,3.8, 125, 0
0.02,4.06,3.8, 210, 0
0.02,3.98,3.8, 20, 0
0.02,4.22,3.8, 363, 0
0.02,3.8,3.8, 30, 0
0.02,3.94,3.8, 122, 0
0.02,3.58,3.8, 100, 0
0.02,3.9,3.8, 203, 0
0.02,4.24,3.8, 155, 0
0.02,4.06,3.8, 82, 0
0.02,4.22,3.8, 20, 0
0.02,4.22,3.8, 28, 0
0.02,4.02,3.8, 73, 0
0.02,4.18,3.8, 70, 0
0.02,3.84,3.8, 49, 0
0.02,4.34,3.8, 385, 0
0.02,4.1,3.8, 10664, 100
0.02,3.76,3.8, 47, 0
0.02,3.62,3.8, 14, 0
0.02,4.24,3.8, 60, 0
0.02,4.14,3.8, 521, 0
0.02,3.78,3.8, 143, 0
0.02,3.86,3.8, 88, 0
0.02,3.72,3.8, 92, 0
0.02,4.16,3.8, 3, 0
0.02,3.74,3.8, 53, 0
0.02,3.82,3.8, 339, 0
0.02,3.86,3.8, 61, 0
0.02,3.78,3.8, 2446, 0
0.02,3.86,3.8, 1443, 0
0.02,3.86,3.8, 6, 0
0.02,3.72,3.8, 23, 0
0.02,3.88,3.8, 299, 0
0.02,3.8,3.8, 309, 0
0.02,3.68,3.8, 19, 0
0.02,3.78,3.8, 83, 0
0.02,3.88,3.8, 2, 0
0.02,3.88,3.8, 30, 0
0.02,3.76,3.8, 58, 0
0.02,3.78,3.8, 503, 0
0.02,4.0,3.8, 268, 0
0.02,4.26,3.8, 92, 0
0.02,3.72,3.8, 53, 0
0.02,4.08,3.8, 81, 0
0.02,4.08,3.8, 5864, 100
0.02,3.9,3.8, 25, 0
0.02,3.82,3.8, 254, 0
0.02,4.0,3.8, 241, 0
0.02,3.66,3.8, 69, 0
0.02,3.68,3.8, 10, 0
0.02,3.96,3.8, 172, 0
0.02,3.86,3.8, 232, 0
0.02,3.96,3.8, 649, 0
0.02,3.8,3.8, 247, 0
0.02,3.84,3.8, 12, 0
0.02,3.74,3.8, 103, 0
0.02,3.7,3.8, 6767, 0
0.02,3.7,3.8, 50, 0
0.02,3.88,3.8, 8, 0
0.02,4.16,3.8, 100, 0
0.02,3.74,3.8, 437, 0
0.02,4.0,3.8, 80, 0
0.02,4.06,3.8, 165, 0
0.02,3.72,3.8, 131, 0
0.02,3.7,3.8, 6692, 100
0.02,4.0,3.8, 86, 0
0.02,3.96,3.8, 14, 0
0.02,3.74,3.8, 10, 0
0.02,3.82,3.8, 686, 0
0.02,3.92,3.8, 26, 0
0.02,4.14,3.8, 828, 0
0.02,3.9,3.8, 25, 0
0.02,4.14,3.8, 99, 0
0.02,3.86,3.8, 170, 0
0.02,4.32,3.8, 94, 0
0.02,3.64,3.8, 73, 0
0.02,4.08,3.8, 80, 0
0.02,3.56,3.8, 52, 0
0.02,3.9,3.8, 854, 0
0.02,3.62,3.8, 251, 0
0.02,3.88,3.8, 168, 0
0.02,3.48,3.8, 235, 0
0.02,3.66,3.8, 465, 0
0.02,3.98,3.8, 21, 0
0.02,3.96,3.8, 436, 0
0.02,4.1,3.8, 1162, 0
0.02,3.9,3.8, 185, 0
0.02,3.44,3.8, 17453, 100
0.02,3.82,3.8, 247, 0
0.02,3.92,3.8, 915, 0
