p, k, b/c, n, result
0.02,3.92,3.6, 2565, 0
0.02,3.94,3.6, 63, 0
0.02,4.14,3.6, 861, 0
0.02,3.7,3.6, 137, 0
0.02,4.06,3.6, 827, 0
0.02,3.94,3.6, 74, 0
0.02,3.74,3.6, 31, 0
0.02,3.98,3.6, 12, 0
0.02,3.72,3.6, 29, 0
0.02,3.94,3.6, 192, 0
0.02,4.14,3.6, 280, 0
0.02,4.04,3.6, 61, 0
0.02,4.0,3.6, 61, 0
0.02,3.96,3.6, 545, 0
0.02,4.12,3.6, 868, 0
0.02,3.76,3.6, 135, 0
0.02,4.08,3.6, 17, 0
0.02,4.1,3.6, 212, 0
0.02,4.0,3.6, 28, 0
0.02,4.1,3.6, 82, 0
0.02,3.86,3.6, 97, 0
0.02,3.8,3.6, 24, 0
0.02,3.96,3.6, 619, 0
0.02,3.62,3.6, 117, 0
0.02,3.98,3.6, 51, 0
0.02,3.96,3.6, 71, 0
0.02,3.88,3.6, 33, 0
0.02,4.08,3.6, 173, 0
0.02,3.64,3.6, 5, 0
0.02,3.86,3.6, 142, 0
0.02,3.78,3.6, 552, 0
0.02,3.82,3.6, 15, 0
0.02,3.64,3.6, 342, 0
0.02,4.0,3.6, 105, 0
0.02,3.94,3.6, 13, 0
0.02,3.9,3.6, 58, 0
0.02,3.66,3.6, 1744, 0
0.02,3.8,3.6, 93, 0
0.02,3.8,3.6, 194, 0
0.02,3.64,3.6, 6, 0
0.02,3.46,3.6, 903, 0
0.02,3.9,3.6, 515, 0
0.02,3.82,3.6, 188, 0
0.02,3.8,3.6, 87, 0
0.02,3.92,3.6, 2315, 0
0.02,4.26,3.6, 25, 0
0.02,3.82,3.6, 18, 0
0.02,3.82,3.6, 428, 0
0.02,3.84,3.6, 307, 0
0.02,3.92,3.6, 84, 0
0.02,4.02,3.6, 10, 0
0.02,3.74,3.6, 20, 0
0.02,3.84,3.6, 1123, 0
0.02,3.66,3.6, 569, 0
0.02,3.44,3.6, 24, 0
0.02,4.0,3.6, 23, 0
0.02,3.96,3.6, 215, 0
0.02,4.02,3.6, 230, 0
0.02,4.16,3.6, 287, 0
0.02,4.24,3.6, 6333, 0
0.02,4.38,3.6, 7, 0
0.02,4.26,3.6, 29, 0
0.02,3.92,3.6, 17, 0
0.02,4.18,3.6, 1890, 0
0.02,4.1,3.6, 82, 0
0.02,3.8,3.6, 105, 0
0.02,3.76,3.6, 219, 0
0.02,4.0,3.6, 87, 0
0.02,3.92,3.6, 113, 0
0.02,3.78,3.6, 412, 0
0.02,4.26,3.6, 2905, 0
0.02,4.18,3.6, 134, 0
0.02,4.2,3.6, 85, 0
0.02,4.12,3.6, 22, 0
0.02,3.66,3.6, 504, 0
0.02,4.22,3.6, 13, 0
0.02,3.82,3.6, 78, 0
0.02,4.02,3.6, 4328, 0
0.02,3.88,3.6, 71, 0
0.02,3.92,3.6, 19, 0
0.02,3.96,3.6, 137, 0
0.02,3.88,3.6, 252, 0
0.02,4.34,3.6, 569, 0
0.02,3.86,3.6, 182, 0
0.02,3.74,3.6, 9089, 100
0.02,4.04,3.6, 3, 0
0.02,3.68,3.6, 63, 0
0.02,3.82,3.6, 215, 0
0.02,3.82,3.6, 18, 0
0.02,3.64,3.6, 11, 0
0.02,3.86,3.6, 192, 0
0.02,4.04,3.6, 525, 0
0.02,3.72,3.6, 2809, 0
0.02,3.82,3.6, 276, 0
0.02,3.88,3.6, 9117, 0
0.02,4.06,3.6, 154, 0
0.02,3.78,3.6, 1574, 0
0.02,4.0,3.6, 173, 0
0.02,3.84,3.6, 5, 0
0.02,4.12,3.6, 38, 0
0.02,4.1,3.6, 141, 0
0.02,4.28,3.6, 308, 0
0.02,3.9,3.6, 155, 0
0.02,3.9,3.6, 276, 0
0.02,3.98,3.6, 1713, 0
0.02,4.1,3.6, 9, 0
0.02,4.0,3.6, 600, 0
0.02,4.08,3.6, 214, 0
0.02,4.42,3.6, 339, 0
0.02,4.18,3.6, 104, 0
0.02,3.94,3.6, 21, 0
0.02,3.68,3.6, 333, 0
0.02,3.84,3.6, 83, 0
0.02,4.06,3.6, 61, 0
0.02,4.62,3.6, 4372, 0
0.02,4.26,3.6, 2, 0
0.02,3.7,3.6, 832, 0
0.02,4.46,3.6, 89, 0
0.02,3.7,3.6, 635, 0
0.02,3.72,3.6, 363, 0
0.02,3.92,3.6, 276, 0
0.02,4.0,3.6, 981, 0
0.02,3.6,3.6, 7240, 0
0.02,3.94,3.6, 68, 0
0.02,3.94,3.6, 78, 0
0.02,3.7,3.6, 31, 0
0.02,3.7,3.6, 84, 0
0.02,3.86,3.6, 12, 0
0.02,3.88,3.6, 16, 0
0.02,3.92,3.6, 954, 0
0.02,3.94,3.6, 1, 0
0.02,4.14,3.6, 26, 0
0.02,3.74,3.6, 254, 0
0.02,4.04,3.6, 11137, 0
0.02,3.72,3.6, 31451, 100
0.02,3.96,3.6, 185, 0
0.02,4.36,3.6, 111, 0
0.02,3.66,3.6, 429, 0
0.02,3.74,3.6, 479, 0
0.02,4.2,3.6, 2, 0
0.02,4.44,3.6, 45, 0
0.02,3.78,3.6, 28, 0
0.02,3.98,3.6, 306, 0
0.02,3.84,3.6, 204, 0
0.02,4.22,3.6, 200, 0
0.02,4.16,3.6, 6, 0
0.02,3.58,3.6, 301, 0
0.02,3.7,3.6, 991, 0
0.02,3.78,3.6, 16, 0
0.02,3.64,3.6, 162, 0
0.02,3.9,3.6, 40, 0
0.02,3.74,3.6, 71, 0
0.02,3.92,3.6, 137, 0
0.02,3.78,3.6, 78, 0
0.02,4.02,3.6, 22, 0
0.02,3.64,3.6, 108, 0
0.02,3.92,3.6, 197, 0
0.02,3.88,3.6, 98, 0
0.02,3.86,3.6, 11, 0
0.02,3.7,3.6, 718, 0
0.02,3.9,3.6, 79, 0
0.02,3.82,3.6, 277, 0
0.02,3.68,3.6, 2, 0
0.02,4.02,3.6, 15613, 100
0.02,4.24,3.6, 13995, 100
0.02,3.8,3.6, 435, 0
0.02,3.92,3.6, 25, 0
0.02,3.86,3.6, 138, 0
0.02,3.82,3.6, 2749, 0
0.02,3.94,3.6, 83, 0
0.02,4.02,3.6, 25222, 100
0.02,4.3,3.6, 328, 0
0.02,4.0,3.6, 1445, 0
0.02,3.62,3.6, 45, 0
0.02,3.62,3.6, 77, 0
0.02,3.82,3.6, 12, 0
0.02,4.06,3.6, 116, 0
0.02,3.84,3.6, 51, 0
0.02,4.12,3.6, 16, 0
0.02,4.46,3.6, 203, 0
0.02,3.86,3.6, 125, 0
0.02,3.56,3.6, 46, 0
0.02,4.12,3.6, 17, 0
0.02,3.72,3.6, 92, 0
0.02,4.04,3.6, 1263, 0
0.02,3.96,3.6, 79, 0
0.02,3.72,3.6, 164, 0
0.02,4.18,3.6, 93, 0
