p, k, b/c, n, result
0.02,4.24,2.1, 16, 0
0.02,4.28,2.1, 90, 0
0.02,4.0,2.1, 1, 0
0.02,4.1,2.1, 169, 0
0.02,3.5,2.1, 518, 0
0.02,4.26,2.1, 239, 0
0.02,3.98,2.1, 16, 0
0.02,3.78,2.1, 2381, 0
0.02,3.88,2.1, 179, 0
0.02,3.92,2.1, 105, 0
0.02,3.94,2.1, 140, 0
0.02,3.8,2.1, 164, 0
0.02,4.22,2.1, 179, 0
0.02,3.7,2.1, 4095, 0
0.02,3.54,2.1, 307, 0
0.02,4.12,2.1, 156, 0
0.02,3.96,2.1, 10, 0
0.02,3.86,2.1, 25, 0
0.02,4.22,2.1, 3582, 0
0.02,4.3,2.1, 62, 0
0.02,3.58,2.1, 2, 0
0.02,3.82,2.1, 79, 0
0.02,3.96,2.1, 11, 0
0.02,3.8,2.1, 281, 0
0.02,4.08,2.1, 2557, 0
0.02,3.86,2.1, 206, 0
0.02,3.98,2.1, 182, 0
0.02,3.94,2.1, 659, 0
0.02,3.8,2.1, 1360, 0
0.02,4.14,2.1, 235, 0
0.02,4.1,2.1, 500, 0
0.02,3.86,2.1, 1873, 0
0.02,3.64,2.1, 15, 0
0.02,3.88,2.1, 672, 0
0.02,3.5,2.1, 202, 0
0.02,3.64,2.1, 387, 0
0.02,4.0,2.1, 1844, 0
0.02,3.9,2.1, 0, 0
0.02,3.54,2.1, 75, 0
0.02,3.88,2.1, 11, 0
0.02,4.14,2.1, 8, 0
0.02,3.74,2.1, 95, 0
0.02,4.06,2.1, 0, 0
0.02,4.0,2.1, 5357, 0
0.02,3.9,2.1, 7, 0
0.02,3.84,2.1, 10000, 8
0.02,3.56,2.1, 2, 0
0.02,3.92,2.1, 54, 0
0.02,4.1,2.1, 62, 0
0.02,4.3,2.1, 9, 0
0.02,3.82,2.1, 1809, 0
0.02,4.0,2.1, 238, 0
0.02,4.24,2.1, 208, 0
0.02,3.76,2.1, 31, 0
0.02,4.12,2.1, 86, 0
0.02,3.72,2.1, 286, 0
0.02,3.76,2.1, 280, 0
0.02,3.84,2.1, 4, 0
0.02,4.0,2.1, 297, 0
0.02,3.62,2.1, 20, 0
0.02,4.32,2.1, 129, 0
0.02,3.84,2.1, 22, 0
0.02,3.74,2.1, 306, 0
0.02,3.64,2.1, 778, 0
0.02,3.68,2.1, 4, 0
0.02,3.52,2.1, 658, 0
0.02,3.98,2.1, 157, 0
0.02,3.84,2.1, 87, 0
0.02,3.72,2.1, 60, 0
0.02,4.1,2.1, 10000, 12
0.02,3.84,2.1, 562, 0
0.02,3.68,2.1, 35, 0
0.02,4.26,2.1, 72, 0
0.02,3.88,2.1, 67, 0
0.02,4.16,2.1, 15, 0
0.02,4.0,2.1, 708, 0
0.02,4.26,2.1, 610, 0
0.02,4.0,2.1, 236, 0
0.02,3.62,2.1, 238, 0
0.02,4.12,2.1, 17, 0
0.02,4.02,2.1, 232, 0
0.02,3.74,2.1, 131, 0
0.02,3.94,2.1, 17, 0
0.02,4.22,2.1, 213, 0
0.02,3.96,2.1, 5, 0
0.02,3.84,2.1, 4, 0
0.02,3.62,2.1, 6, 0
0.02,4.04,2.1, 2377, 0
0.02,4.08,2.1, 249, 0
0.02,4.0,2.1, 16, 0
0.02,4.02,2.1, 1761, 0
0.02,3.78,2.1, 743, 0
0.02,3.82,2.1, 282, 0
0.02,3.88,2.1, 1242, 0
0.02,3.7,2.1, 1139, 0
0.02,4.18,2.1, 477, 0
0.02,3.94,2.1, 43, 0
0.02,3.86,2.1, 29, 0
0.02,3.98,2.1, 9, 0
0.02,4.2,2.1, 425, 0
0.02,4.18,2.1, 333, 0
0.02,4.38,2.1, 48, 0
