p, k, b/c, n, result
0.01,3.14,4.0, 61, 0
0.01,3.02,4.0, 38, 0
0.01,2.98,4.0, 156, 0
0.01,2.56,4.0, 146, 0
0.01,2.82,4.0, 109, 0
0.01,2.92,4.0, 200, 0
0.01,3.04,4.0, 300, 0
0.01,3.12,4.0, 541, 0
0.01,3.04,4.0, 9, 0
0.01,3.0,4.0, 117, 0
0.01,3.08,4.0, 17, 0
0.01,2.98,4.0, 203, 0
0.01,2.98,4.0, 73, 0
0.01,2.92,4.0, 50, 0
0.01,2.88,4.0, 96, 0
0.01,3.04,4.0, 17, 0
0.01,2.82,4.0, 220, 0
0.01,2.92,4.0, 163, 0
0.01,2.74,4.0, 15, 0
0.01,2.82,4.0, 617, 0
0.01,3.04,4.0, 178, 0
0.01,2.88,4.0, 1547, 0
0.01,3.12,4.0, 586, 0
0.01,2.92,4.0, 1981, 0
0.01,3.0,4.0, 155, 0
0.01,3.04,4.0, 1137, 0
0.01,2.92,4.0, 10, 0
0.01,3.02,4.0, 87, 0
0.01,2.74,4.0, 22, 0
0.01,2.8,4.0, 2027, 0
0.01,2.7,4.0, 562, 0
0.01,2.92,4.0, 50, 0
0.01,2.86,4.0, 171, 0
0.01,2.8,4.0, 50, 0
0.01,3.14,4.0, 107, 0
0.01,3.02,4.0, 246, 0
0.01,2.68,4.0, 37, 0
0.01,2.92,4.0, 15, 0
0.01,2.96,4.0, 189, 0
0.01,2.86,4.0, 18, 0
0.01,2.72,4.0, 83, 0
0.01,3.0,4.0, 13, 0
0.01,3.08,4.0, 331, 0
0.01,2.9,4.0, 20, 0
0.01,3.08,4.0, 5, 0
0.01,2.96,4.0, 1618, 0
0.01,3.14,4.0, 733, 0
0.01,3.04,4.0, 221, 0
0.01,3.06,4.0, 447, 0
0.01,2.82,4.0, 5, 0
0.01,2.84,4.0, 12, 0
0.01,2.76,4.0, 16, 0
0.01,2.92,4.0, 845, 0
0.01,3.1,4.0, 102, 0
0.01,2.94,4.0, 1457, 0
0.01,3.26,4.0, 14, 0
0.01,2.96,4.0, 36, 0
0.01,2.9,4.0, 59, 0
0.01,2.86,4.0, 2, 0
0.01,2.98,4.0, 5, 0
0.01,2.96,4.0, 43, 0
0.01,3.02,4.0, 42, 0
0.01,2.9,4.0, 15257, 0
0.01,2.84,4.0, 60, 0
0.01,2.9,4.0, 374, 0
0.01,3.0,4.0, 3, 0
0.01,2.84,4.0, 117, 0
0.01,2.78,4.0, 147, 0
0.01,2.8,4.0, 3041, 0
0.01,3.06,4.0, 67, 0
0.01,3.06,4.0, 222, 0
0.01,3.04,4.0, 36, 0
0.01,3.06,4.0, 15, 0
0.01,2.96,4.0, 46, 0
0.01,2.88,4.0, 486, 0
0.01,2.88,4.0, 91, 0
0.01,2.74,4.0, 21, 0
0.01,3.04,4.0, 28, 0
0.01,2.98,4.0, 17, 0
0.01,2.96,4.0, 3, 0
0.01,2.72,4.0, 2, 0
0.01,3.1,4.0, 44, 0
0.01,3.1,4.0, 110, 0
0.01,2.76,4.0, 46, 0
0.01,2.96,4.0, 446, 0
0.01,3.06,4.0, 8, 0
0.01,3.12,4.0, 852, 0
0.01,3.2,4.0, 13, 0
0.01,2.82,4.0, 87, 0
0.01,2.94,4.0, 86, 0
0.01,3.0,4.0, 67, 0
0.01,3.14,4.0, 271, 0
0.01,2.84,4.0, 28, 0
0.01,3.04,4.0, 135, 0
0.01,3.1,4.0, 53, 0
0.01,3.22,4.0, 46, 0
0.01,2.92,4.0, 12, 0
0.01,2.96,4.0, 867, 0
0.01,2.8,4.0, 6, 0
0.01,2.9,4.0, 634, 0
0.01,2.98,4.0, 12, 0
0.01,3.02,4.0, 400, 0
0.01,2.84,4.0, 288, 0
0.01,2.86,4.0, 36, 0
0.01,2.9,4.0, 89, 0
0.01,3.14,4.0, 206, 0
0.01,3.08,4.0, 17, 0
0.01,3.04,4.0, 185, 0
0.01,2.86,4.0, 1226, 0
0.01,2.88,4.0, 4, 0
0.01,2.86,4.0, 211, 0
