p, k, b/c, n, result
0.01,2.98,5.0, 14, 0
0.01,2.88,5.0, 316, 0
0.01,2.82,5.0, 266, 0
0.01,2.84,5.0, 54, 0
0.01,2.98,5.0, 317, 0
0.01,2.76,5.0, 13, 0
0.01,2.86,5.0, 125, 0
0.01,2.94,5.0, 29, 0
0.01,2.82,5.0, 29, 0
0.01,2.82,5.0, 172, 0
0.01,2.86,5.0, 4, 0
0.01,3.32,5.0, 109, 0
0.01,3.2,5.0, 92, 0
0.01,3.2,5.0, 55, 0
0.01,3.02,5.0, 47, 0
0.01,3.22,5.0, 212, 0
0.01,3.08,5.0, 54, 0
0.01,2.98,5.0, 41, 0
0.01,2.76,5.0, 39, 0
0.01,3.06,5.0, 125, 0
0.01,2.78,5.0, 33, 0
0.01,3.24,5.0, 424, 0
0.01,2.94,5.0, 71, 0
0.01,3.22,5.0, 1316, 0
0.01,2.96,5.0, 1076, 0
0.01,3.12,5.0, 273, 0
0.01,2.94,5.0, 53, 0
0.01,2.92,5.0, 23975, 100
0.01,2.94,5.0, 14, 0
0.01,3.22,5.0, 1220, 0
0.01,2.76,5.0, 1857, 0
0.01,3.08,5.0, 10214, 100
0.01,3.06,5.0, 44, 0
0.01,3.04,5.0, 150, 0
0.01,2.92,5.0, 107, 0
0.01,2.92,5.0, 13, 0
0.01,2.86,5.0, 4387, 0
0.01,2.98,5.0, 298, 0
0.01,2.94,5.0, 8, 0
0.01,2.96,5.0, 139, 0
0.01,3.08,5.0, 214, 0
0.01,2.84,5.0, 226, 0
0.01,3.0,5.0, 137, 0
0.01,2.9,5.0, 142, 0
0.01,2.82,5.0, 45, 0
0.01,3.06,5.0, 115, 0
0.01,3.04,5.0, 197, 0
0.01,3.24,5.0, 42, 0
0.01,2.9,5.0, 76, 0
0.01,3.02,5.0, 59, 0
0.01,2.68,5.0, 358, 0
0.01,2.64,5.0, 7, 0
0.01,2.76,5.0, 30, 0
0.01,2.94,5.0, 1133, 0
0.01,2.9,5.0, 44, 0
0.01,3.08,5.0, 3059, 0
0.01,3.06,5.0, 23, 0
0.01,2.72,5.0, 148, 0
0.01,3.0,5.0, 34, 0
0.01,3.0,5.0, 111, 0
0.01,2.6,5.0, 116, 0
0.01,3.04,5.0, 3186, 100
0.01,2.84,5.0, 26, 0
0.01,2.94,5.0, 17, 0
0.01,3.02,5.0, 39, 0
0.01,2.96,5.0, 95, 0
0.01,3.0,5.0, 10, 0
0.01,3.16,5.0, 8, 0
0.01,2.94,5.0, 920, 0
0.01,2.86,5.0, 348, 0
0.01,3.34,5.0, 940, 0
0.01,3.1,5.0, 96, 0
0.01,2.8,5.0, 125, 0
0.01,2.94,5.0, 661, 0
0.01,3.02,5.0, 34, 0
0.01,2.94,5.0, 65, 0
0.01,3.14,5.0, 145, 0
0.01,2.6,5.0, 788, 0
0.01,2.78,5.0, 3, 0
0.01,3.14,5.0, 339, 0
0.01,3.04,5.0, 25, 0
0.01,2.76,5.0, 69, 0
