p, k, b/c, n, result
0.01,2.86,2.5, 93, 0
0.01,3.12,2.5, 151, 0
0.01,2.78,2.5, 23, 0
0.01,2.9,2.5, 1483, 0
0.01,2.98,2.5, 7, 0
0.01,3.04,2.5, 136, 0
0.01,2.94,2.5, 6694, 100
0.01,3.08,2.5, 1562, 0
0.01,3.0,2.5, 18, 0
0.01,2.92,2.5, 1138, 0
0.01,3.04,2.5, 2, 0
0.01,2.66,2.5, 22, 0
0.01,2.82,2.5, 5478, 0
0.01,2.86,2.5, 338, 0
0.01,3.0,2.5, 176, 0
0.01,2.94,2.5, 25, 0
0.01,3.22,2.5, 35, 0
0.01,2.82,2.5, 1, 0
0.01,3.08,2.5, 26, 0
0.01,2.98,2.5, 2701, 0
0.01,2.88,2.5, 10, 0
0.01,2.9,2.5, 10, 0
0.01,3.1,2.5, 155, 0
0.01,2.94,2.5, 194, 0
0.01,2.78,2.5, 2612, 0
0.01,2.84,2.5, 40, 0
0.01,3.2,2.5, 443, 0
0.01,3.02,2.5, 153, 0
0.01,2.76,2.5, 101, 0
0.01,3.22,2.5, 357, 0
0.01,2.92,2.5, 835, 0
0.01,2.88,2.5, 59, 0
0.01,2.96,2.5, 260, 0
0.01,3.0,2.5, 168, 0
0.01,3.28,2.5, 103, 0
0.01,3.08,2.5, 294, 0
0.01,2.96,2.5, 244, 0
0.01,2.86,2.5, 71, 0
0.01,2.92,2.5, 21, 0
0.01,2.88,2.5, 1711, 0
0.01,2.84,2.5, 116, 0
0.01,3.16,2.5, 364, 0
0.01,2.56,2.5, 160, 0
0.01,2.8,2.5, 15, 0
0.01,2.68,2.5, 1308, 0
0.01,3.08,2.5, 144, 0
0.01,2.98,2.5, 35, 0
0.01,2.68,2.5, 167, 0
0.01,3.02,2.5, 39, 0
0.01,2.76,2.5, 9965, 0
0.01,2.9,2.5, 37, 0
0.01,2.54,2.5, 1733, 0
0.01,2.98,2.5, 16, 0
0.01,2.84,2.5, 126, 0
0.01,2.96,2.5, 39, 0
0.01,2.72,2.5, 766, 0
0.01,2.96,2.5, 124, 0
0.01,3.08,2.5, 559, 0
0.01,2.88,2.5, 37, 0
0.01,2.88,2.5, 2805, 0
0.01,2.94,2.5, 4, 0
0.01,3.14,2.5, 24541, 100
0.01,2.68,2.5, 27, 0
0.01,2.78,2.5, 214, 0
0.01,2.9,2.5, 95, 0
0.01,3.26,2.5, 939, 0
0.01,3.28,2.5, 663, 0
0.01,2.66,2.5, 32, 0
0.01,3.04,2.5, 194, 0
0.01,2.98,2.5, 27, 0
0.01,2.84,2.5, 32, 0
0.01,2.9,2.5, 22, 0
0.01,2.8,2.5, 29, 0
0.01,2.74,2.5, 63, 0
0.01,2.88,2.5, 119, 0
0.01,2.8,2.5, 164, 0
0.01,2.84,2.5, 149, 0
0.01,2.9,2.5, 314, 0
0.01,2.96,2.5, 911, 0
0.01,2.96,2.5, 97, 0
0.01,3.12,2.5, 56, 0
0.01,3.06,2.5, 319, 0
0.01,3.02,2.5, 78, 0
0.01,2.76,2.5, 18, 0
0.01,2.88,2.5, 19, 0
0.01,2.66,2.5, 75, 0
0.01,2.8,2.5, 13362, 0
0.01,2.92,2.5, 70, 0
0.01,2.74,2.5, 118, 0
0.01,3.18,2.5, 268, 0
0.01,3.18,2.5, 154, 0
0.01,3.16,2.5, 26, 0
0.01,2.98,2.5, 5635, 0
0.01,2.86,2.5, 70, 0
0.01,3.0,2.5, 105, 0
0.01,3.02,2.5, 107, 0
0.01,2.96,2.5, 50, 0
0.01,3.16,2.5, 2, 0
0.01,3.02,2.5, 8, 0
0.01,2.82,2.5, 2, 0
0.01,3.08,2.5, 24, 0
0.01,2.9,2.5, 124, 0
0.01,2.94,2.5, 237, 0
0.01,3.0,2.5, 153, 0
0.01,3.1,2.5, 371, 0
0.01,3.1,2.5, 996, 0
0.01,2.9,2.5, 27954, 100
0.01,3.0,2.5, 88, 0
0.01,3.02,2.5, 80, 0
0.01,3.08,2.5, 249, 0
0.01,2.96,2.5, 2077, 0
0.01,2.94,2.5, 6318, 0
0.01,2.98,2.5, 306, 0
0.01,3.0,2.5, 4, 0
0.01,2.86,2.5, 43, 0
0.01,3.1,2.5, 32, 0
0.01,2.94,2.5, 463, 0
0.01,2.98,2.5, 25, 0
0.01,2.76,2.5, 47, 0
0.01,3.3,2.5, 394, 0
0.01,2.9,2.5, 29, 0
0.01,3.12,2.5, 141, 0
0.01,2.84,2.5, 2, 0
0.01,3.26,2.5, 22, 0
0.01,3.02,2.5, 15, 0
0.01,3.16,2.5, 121, 0
0.01,2.86,2.5, 164, 0
0.01,3.16,2.5, 17, 0
0.01,3.04,2.5, 70, 0
0.01,3.08,2.5, 72, 0
0.01,2.96,2.5, 43, 0
0.01,2.78,2.5, 65, 0
0.01,3.0,2.5, 22, 0
0.01,2.92,2.5, 340, 0
0.01,2.74,2.5, 57, 0
0.01,3.14,2.5, 159, 0
0.01,2.94,2.5, 74, 0
0.01,3.16,2.5, 242, 0
0.01,2.9,2.5, 16, 0
0.01,2.84,2.5, 93, 0
0.01,2.88,2.5, 11, 0
0.01,2.88,2.5, 63, 0
0.01,3.02,2.5, 122, 0
0.01,2.98,2.5, 246, 0
0.01,3.28,2.5, 102, 0
0.01,2.84,2.5, 253, 0
0.01,2.94,2.5, 177, 0
0.01,3.04,2.5, 179, 0
0.01,2.84,2.5, 581, 0
0.01,3.08,2.5, 195, 0
0.01,3.12,2.5, 176, 0
0.01,2.76,2.5, 24, 0
0.01,3.36,2.5, 643, 0
0.01,2.94,2.5, 112, 0
0.01,3.04,2.5, 22, 0
0.01,2.72,2.5, 379, 0
0.01,2.78,2.5, 30, 0
0.01,2.88,2.5, 10, 0
0.01,2.92,2.5, 118, 0
0.01,3.14,2.5, 19, 0
0.01,3.1,2.5, 202, 0
0.01,2.86,2.5, 112, 0
0.01,2.84,2.5, 200, 0
0.01,3.12,2.5, 10613, 0
0.01,3.16,2.5, 525, 0
0.01,2.98,2.5, 92, 0
0.01,2.8,2.5, 639, 0
0.01,3.06,2.5, 135, 0
0.01,2.92,2.5, 22, 0
0.01,3.06,2.5, 178, 0
0.01,3.08,2.5, 883, 0
0.01,3.12,2.5, 40, 0
0.01,3.02,2.5, 51, 0
0.01,2.86,2.5, 7, 0
0.01,3.02,2.5, 39, 0
0.01,2.86,2.5, 144, 0
0.01,2.94,2.5, 6869, 0
0.01,3.32,2.5, 541, 0
0.01,2.72,2.5, 129, 0
0.01,2.98,2.5, 84, 0
0.01,2.9,2.5, 56, 0
0.01,2.78,2.5, 67, 0
0.01,3.32,2.5, 21, 0
0.01,3.08,2.5, 471, 0
0.01,2.92,2.5, 51, 0
0.01,2.84,2.5, 946, 0
0.01,2.82,2.5, 2, 0
0.01,2.82,2.5, 699, 0
0.01,3.1,2.5, 1127, 0
0.01,2.96,2.5, 35, 0
0.01,3.22,2.5, 1744, 0
0.01,2.94,2.5, 1610, 0
0.01,3.04,2.5, 61, 0
0.01,2.84,2.5, 37, 0
0.01,2.88,2.5, 1576, 0
0.01,2.98,2.5, 32, 0
0.01,2.54,2.5, 36, 0
0.01,2.76,2.5, 99, 0
0.01,2.9,2.5, 46, 0
0.01,3.0,2.5, 136, 0
0.01,2.84,2.5, 78, 0
0.01,2.64,2.5, 11, 0
0.01,3.0,2.5, 284, 0
0.01,2.92,2.5, 10866, 0
0.01,3.14,2.5, 21, 0
0.01,3.0,2.5, 178, 0
0.01,3.26,2.5, 40, 0
0.01,3.12,2.5, 33, 0
0.01,3.1,2.5, 631, 0
0.01,2.88,2.5, 5657, 0
0.01,2.98,2.5, 274, 0
0.01,2.94,2.5, 25, 0
0.01,2.92,2.5, 1430, 0
0.01,2.76,2.5, 1849, 0
0.01,2.82,2.5, 38, 0
0.01,2.8,2.5, 3, 0
0.01,2.92,2.5, 9, 0
0.01,2.9,2.5, 14, 0
0.01,3.02,2.5, 52, 0
0.01,2.9,2.5, 2121, 0
0.01,2.94,2.5, 90, 0
0.01,3.04,2.5, 1, 0
0.01,2.9,2.5, 6185, 0
0.01,3.02,2.5, 426, 0
0.01,3.0,2.5, 8381, 0
0.01,2.98,2.5, 1, 0
0.01,3.04,2.5, 12, 0
0.01,3.06,2.5, 8, 0
0.01,3.04,2.5, 34, 0
0.01,2.74,2.5, 250, 0
0.01,2.92,2.5, 413, 0
0.01,2.88,2.5, 187, 0
0.01,2.78,2.5, 7, 0
0.01,2.94,2.5, 5964, 0
0.01,2.92,2.5, 1001, 0
0.01,3.02,2.5, 1006, 0
0.01,2.9,2.5, 158, 0
0.01,2.98,2.5, 11, 0
0.01,2.58,2.5, 237, 0
0.01,2.84,2.5, 133, 0
0.01,2.7,2.5, 96, 0
0.01,3.04,2.5, 293, 0
0.01,3.08,2.5, 89, 0
0.01,2.9,2.5, 606, 0
0.01,3.04,2.5, 5, 0
0.01,3.02,2.5, 189, 0
0.01,3.28,2.5, 1078, 0
0.01,3.28,2.5, 388, 0
0.01,3.1,2.5, 41, 0
0.01,2.9,2.5, 198, 0
0.01,2.98,2.5, 90, 0
0.01,3.16,2.5, 16, 0
0.01,3.0,2.5, 25, 0
0.01,2.78,2.5, 820, 0
0.01,3.18,2.5, 27, 0
0.01,2.56,2.5, 35, 0
0.01,3.02,2.5, 319, 0
0.01,2.86,2.5, 7, 0
0.01,3.0,2.5, 56, 0
0.01,2.98,2.5, 10135, 100
0.01,3.12,2.5, 527, 0
0.01,3.04,2.5, 26, 0
0.01,3.06,2.5, 22, 0
0.01,2.92,2.5, 398, 0
0.01,2.78,2.5, 365, 0
0.01,3.02,2.5, 408, 0
0.01,3.04,2.5, 308, 0
0.01,3.04,2.5, 16, 0
0.01,2.92,2.5, 326, 0
0.01,3.06,2.5, 3, 0
0.01,2.72,2.5, 223, 0
0.01,3.0,2.5, 60, 0
0.01,2.86,2.5, 8, 0
0.01,3.04,2.5, 16, 0
0.01,3.02,2.5, 131, 0
0.01,2.84,2.5, 90, 0
0.01,2.88,2.5, 25, 0
0.01,2.82,2.5, 81, 0
0.01,2.9,2.5, 26, 0
0.01,2.92,2.5, 1382, 0
0.01,3.12,2.5, 1120, 0
0.01,3.1,2.5, 8, 0
0.01,2.94,2.5, 130, 0
0.01,3.3,2.5, 153, 0
0.01,3.0,2.5, 245, 0
0.01,3.08,2.5, 17, 0
0.01,2.94,2.5, 446, 0
0.01,3.12,2.5, 501, 0
0.01,3.02,2.5, 1383, 0
0.01,2.78,2.5, 92, 0
0.01,2.88,2.5, 260, 0
0.01,2.84,2.5, 40, 0
0.01,3.0,2.5, 4, 0
0.01,3.12,2.5, 27, 0
0.01,2.94,2.5, 37, 0
0.01,3.06,2.5, 990, 0
0.01,2.8,2.5, 69, 0
0.01,3.14,2.5, 97, 0
0.01,3.08,2.5, 232, 0
0.01,3.1,2.5, 208, 0
0.01,3.18,2.5, 45, 0
0.01,3.06,2.5, 116, 0
0.01,2.94,2.5, 676, 0
0.01,2.98,2.5, 474, 0
0.01,3.1,2.5, 375, 0
0.01,3.0,2.5, 291, 0
