p, k, b/c, n, result
0.01,2.76,2.0, 1, 0
0.01,3.26,2.0, 113, 0
0.01,2.92,2.0, 62, 0
0.01,2.92,2.0, 31, 0
0.01,2.84,2.0, 2083, 0
0.01,3.0,2.0, 548, 0
0.01,2.9,2.0, 29, 0
0.01,2.9,2.0, 22, 0
0.01,3.04,2.0, 211, 0
0.01,2.92,2.0, 67, 0
0.01,2.94,2.0, 12, 0
0.01,3.08,2.0, 644, 0
0.01,3.26,2.0, 149, 0
0.01,3.18,2.0, 196, 0
0.01,2.96,2.0, 106, 0
0.01,2.78,2.0, 174, 0
0.01,3.0,2.0, 40, 0
0.01,2.9,2.0, 176, 0
0.01,3.04,2.0, 148, 0
0.01,3.26,2.0, 8, 0
0.01,2.8,2.0, 7928, 0
0.01,2.88,2.0, 661, 0
0.01,2.88,2.0, 102, 0
0.01,2.8,2.0, 2, 0
0.01,2.94,2.0, 56, 0
0.01,2.96,2.0, 49, 0
0.01,3.02,2.0, 423, 0
0.01,3.1,2.0, 7, 0
0.01,2.86,2.0, 71, 0
0.01,2.88,2.0, 11, 0
0.01,3.1,2.0, 16, 0
0.01,2.82,2.0, 343, 0
0.01,2.92,2.0, 349, 0
0.01,2.94,2.0, 271, 0
0.01,2.92,2.0, 68, 0
0.01,2.78,2.0, 4, 0
0.01,2.92,2.0, 5022, 0
0.01,2.84,2.0, 2374, 0
0.01,3.02,2.0, 44, 0
0.01,2.7,2.0, 33, 0
0.01,2.9,2.0, 52, 0
0.01,2.76,2.0, 2381, 0
0.01,2.84,2.0, 157, 0
0.01,3.0,2.0, 93, 0
0.01,3.24,2.0, 202, 0
0.01,2.78,2.0, 4742, 100
0.01,3.18,2.0, 3, 0
0.01,2.78,2.0, 25, 0
0.01,2.8,2.0, 338, 0
0.01,2.84,2.0, 4866, 0
0.01,3.38,2.0, 72, 0
0.01,3.2,2.0, 36, 0
0.01,3.12,2.0, 286, 0
0.01,2.72,2.0, 2077, 0
0.01,2.88,2.0, 1839, 0
0.01,2.76,2.0, 66, 0
0.01,3.14,2.0, 15, 0
0.01,2.96,2.0, 22, 0
0.01,2.9,2.0, 1522, 0
0.01,3.04,2.0, 219, 0
0.01,3.34,2.0, 7405, 0
0.01,2.88,2.0, 286, 0
0.01,3.02,2.0, 117, 0
0.01,2.86,2.0, 481, 0
0.01,2.98,2.0, 84, 0
0.01,2.86,2.0, 39, 0
0.01,2.76,2.0, 135, 0
0.01,3.08,2.0, 109, 0
0.01,2.74,2.0, 439, 0
0.01,2.94,2.0, 107, 0
0.01,2.84,2.0, 35, 0
0.01,2.98,2.0, 10, 0
0.01,3.2,2.0, 243, 0
0.01,2.76,2.0, 343, 0
0.01,2.74,2.0, 89, 0
0.01,3.08,2.0, 104, 0
0.01,2.92,2.0, 18, 0
0.01,3.0,2.0, 10, 0
0.01,2.76,2.0, 31, 0
0.01,2.92,2.0, 1031, 0
0.01,2.78,2.0, 17, 0
0.01,3.1,2.0, 92, 0
0.01,3.04,2.0, 152, 0
0.01,3.06,2.0, 98, 0
0.01,2.8,2.0, 216, 0
0.01,3.06,2.0, 23, 0
