p, k, b/c, n, result
0.02,3.96,5.5, 215, 0
0.02,3.94,5.5, 8, 0
0.02,3.8,5.5, 959, 0
0.02,3.66,5.5, 7, 0
0.02,4.06,5.5, 221, 0
0.02,3.74,5.5, 58, 0
0.02,3.7,5.5, 412, 0
0.02,3.88,5.5, 882, 0
0.02,4.04,5.5, 86, 0
0.02,3.96,5.5, 14038, 100
0.02,4.18,5.5, 15, 0
0.02,3.88,5.5, 7, 0
0.02,3.76,5.5, 241, 0
0.02,3.52,5.5, 140, 0
0.02,3.52,5.5, 27, 0
0.02,3.82,5.5, 30, 0
0.02,4.16,5.5, 23, 0
0.02,3.98,5.5, 43, 0
0.02,4.02,5.5, 9, 0
0.02,3.78,5.5, 569, 0
0.02,4.1,5.5, 8, 0
0.02,3.68,5.5, 13, 0
0.02,3.44,5.5, 801, 0
0.02,4.08,5.5, 7, 0
0.02,4.24,5.5, 42, 0
0.02,3.66,5.5, 315, 0
0.02,3.66,5.5, 561, 0
0.02,4.12,5.5, 1284, 0
0.02,3.9,5.5, 37, 0
0.02,3.7,5.5, 125, 0
0.02,3.8,5.5, 193, 0
0.02,3.72,5.5, 672, 0
0.02,3.58,5.5, 24, 0
0.02,4.04,5.5, 10, 0
0.02,4.0,5.5, 10, 0
0.02,4.06,5.5, 21, 0
0.02,4.26,5.5, 922, 0
0.02,3.96,5.5, 90, 0
0.02,3.94,5.5, 12, 0
0.02,3.72,5.5, 4832, 0
0.02,4.08,5.5, 170, 0
0.02,3.52,5.5, 7692, 0
0.02,3.66,5.5, 481, 0
0.02,4.04,5.5, 62, 0
0.02,3.82,5.5, 2791, 0
0.02,3.8,5.5, 83, 0
0.02,3.94,5.5, 17, 0
0.02,3.96,5.5, 230, 0
0.02,4.02,5.5, 84, 0
0.02,3.76,5.5, 58, 0
0.02,3.74,5.5, 57, 0
0.02,4.0,5.5, 45, 0
0.02,3.4,5.5, 25, 0
0.02,3.92,5.5, 74, 0
0.02,3.8,5.5, 15, 0
0.02,3.92,5.5, 37, 0
0.02,3.86,5.5, 6, 0
0.02,3.98,5.5, 50, 0
0.02,4.38,5.5, 4, 0
0.02,4.0,5.5, 461, 0
0.02,4.02,5.5, 4, 0
0.02,4.24,5.5, 199, 0
0.02,3.68,5.5, 86, 0
0.02,3.72,5.5, 223, 0
0.02,4.08,5.5, 26, 0
0.02,4.18,5.5, 42, 0
0.02,4.26,5.5, 263, 0
0.02,4.18,5.5, 631, 0
0.02,3.78,5.5, 16, 0
0.02,4.02,5.5, 169, 0
0.02,3.96,5.5, 6, 0
0.02,3.96,5.5, 46, 0
0.02,4.2,5.5, 111, 0
0.02,3.94,5.5, 127, 0
0.02,4.04,5.5, 43, 0
0.02,3.76,5.5, 1245, 0
0.02,3.74,5.5, 27, 0
0.02,3.74,5.5, 225, 0
0.02,3.94,5.5, 1397, 0
0.02,3.84,5.5, 305, 0
0.02,4.1,5.5, 363, 0
0.02,3.94,5.5, 794, 0
0.02,4.16,5.5, 1233, 0
0.02,3.7,5.5, 119, 0
0.02,3.84,5.5, 701, 0
0.02,3.94,5.5, 358, 0
0.02,4.0,5.5, 104, 0
0.02,3.78,5.5, 103, 0
0.02,3.76,5.5, 32, 0
0.02,3.92,5.5, 337, 0
0.02,3.9,5.5, 17, 0
0.02,4.14,5.5, 830, 0
0.02,3.96,5.5, 605, 0
0.02,4.18,5.5, 56, 0
0.02,3.98,5.5, 242, 0
0.02,4.0,5.5, 99, 0
0.02,3.76,5.5, 446, 0
0.02,3.88,5.5, 945, 0
0.02,4.06,5.5, 18, 0
0.02,3.68,5.5, 108, 0
0.02,3.86,5.5, 293, 0
0.02,4.06,5.5, 6896, 100
0.02,3.84,5.5, 256, 0
0.02,3.58,5.5, 46, 0
0.02,4.04,5.5, 2784, 0
0.02,3.78,5.5, 206, 0
0.02,3.88,5.5, 270, 0
0.02,3.86,5.5, 69, 0
0.02,3.84,5.5, 28, 0
0.02,3.98,5.5, 2408, 0
0.02,3.86,5.5, 61, 0
0.02,3.8,5.5, 354, 0
0.02,4.02,5.5, 12, 0
0.02,3.98,5.5, 315, 0
0.02,3.56,5.5, 225, 0
0.02,4.02,5.5, 1290, 0
0.02,3.82,5.5, 135, 0
0.02,4.04,5.5, 48, 0
0.02,3.8,5.5, 101, 0
0.02,4.0,5.5, 13, 0
0.02,3.8,5.5, 25, 0
0.02,4.26,5.5, 123, 0
0.02,3.96,5.5, 144, 0
0.02,3.92,5.5, 3439, 0
0.02,4.02,5.5, 437, 0
0.02,4.02,5.5, 7, 0
0.02,3.46,5.5, 126, 0
0.02,3.82,5.5, 101, 0
