p, k, b/c, n, result
0.02,3.92,4.5, 60, 0
0.02,3.96,4.5, 21, 0
0.02,3.82,4.5, 106, 0
0.02,4.04,4.5, 31, 0
0.02,3.84,4.5, 173, 0
0.02,4.06,4.5, 1041, 0
0.02,3.82,4.5, 21, 0
0.02,4.02,4.5, 449, 0
0.02,3.68,4.5, 25, 0
0.02,3.7,4.5, 25, 0
0.02,3.94,4.5, 3, 0
0.02,4.1,4.5, 172, 0
0.02,4.24,4.5, 48, 0
0.02,3.82,4.5, 74, 0
0.02,3.86,4.5, 179, 0
0.02,4.06,4.5, 259, 0
0.02,3.78,4.5, 78, 0
0.02,4.02,4.5, 4, 0
0.02,3.98,4.5, 10, 0
0.02,4.02,4.5, 64, 0
0.02,4.04,4.5, 122, 0
0.02,4.34,4.5, 210, 0
0.02,4.06,4.5, 99, 0
0.02,3.76,4.5, 1894, 0
0.02,3.98,4.5, 28, 0
0.02,3.62,4.5, 2072, 0
0.02,3.88,4.5, 9, 0
0.02,3.98,4.5, 31, 0
0.02,4.16,4.5, 25, 0
0.02,3.64,4.5, 42, 0
0.02,3.78,4.5, 57, 0
0.02,4.04,4.5, 80, 0
0.02,3.92,4.5, 2, 0
0.02,3.68,4.5, 1392, 0
0.02,3.98,4.5, 16, 0
0.02,4.16,4.5, 74, 0
0.02,3.74,4.5, 678, 0
0.02,4.08,4.5, 211, 0
0.02,4.22,4.5, 70, 0
0.02,4.1,4.5, 1118, 0
0.02,4.0,4.5, 34, 0
0.02,4.26,4.5, 491, 0
0.02,4.0,4.5, 15, 0
0.02,4.04,4.5, 379, 0
0.02,4.22,4.5, 1165, 0
0.02,3.92,4.5, 137, 0
0.02,3.88,4.5, 6, 0
0.02,3.74,4.5, 181, 0
0.02,3.78,4.5, 30, 0
0.02,3.7,4.5, 335, 0
0.02,4.22,4.5, 1774, 0
0.02,3.94,4.5, 52, 0
0.02,3.7,4.5, 214, 0
0.02,3.78,4.5, 18, 0
0.02,3.56,4.5, 5, 0
0.02,4.04,4.5, 46, 0
0.02,3.54,4.5, 14, 0
0.02,3.84,4.5, 6, 0
0.02,3.9,4.5, 17, 0
0.02,3.98,4.5, 1049, 0
0.02,4.0,4.5, 938, 0
0.02,4.12,4.5, 136, 0
0.02,4.3,4.5, 149, 0
0.02,4.0,4.5, 5, 0
0.02,4.06,4.5, 36, 0
0.02,3.6,4.5, 280, 0
0.02,3.42,4.5, 139, 0
0.02,3.98,4.5, 21, 0
0.02,3.86,4.5, 289, 0
0.02,4.02,4.5, 339, 0
0.02,3.9,4.5, 2, 0
0.02,3.64,4.5, 339, 0
0.02,3.64,4.5, 14, 0
0.02,4.06,4.5, 297, 0
0.02,3.88,4.5, 43, 0
0.02,3.82,4.5, 172, 0
0.02,3.48,4.5, 424, 0
0.02,3.92,4.5, 302, 0
0.02,3.62,4.5, 73, 0
0.02,3.38,4.5, 147, 0
0.02,4.08,4.5, 897, 0
0.02,4.12,4.5, 42, 0
0.02,3.86,4.5, 1484, 0
0.02,3.94,4.5, 554, 0
