p, k, b/c, n, result
0.02,3.9,6.0, 539, 0
0.02,3.72,6.0, 349, 0
0.02,3.86,6.0, 172, 0
0.02,4.0,6.0, 69, 0
0.02,3.88,6.0, 53, 0
0.02,3.8,6.0, 85, 0
0.02,3.94,6.0, 39, 0
0.02,4.02,6.0, 389, 0
0.02,3.88,6.0, 352, 0
0.02,4.1,6.0, 31, 0
0.02,3.9,6.0, 48, 0
0.02,3.92,6.0, 224, 0
0.02,4.04,6.0, 11, 0
0.02,4.14,6.0, 39, 0
0.02,3.64,6.0, 347, 0
0.02,4.0,6.0, 122, 0
0.02,3.98,6.0, 89, 0
0.02,3.96,6.0, 355, 0
0.02,4.0,6.0, 48, 0
0.02,3.92,6.0, 32, 0
0.02,3.94,6.0, 57, 0
0.02,3.98,6.0, 5, 0
0.02,3.86,6.0, 73, 0
0.02,4.16,6.0, 15, 0
0.02,3.86,6.0, 54, 0
0.02,3.44,6.0, 121, 0
0.02,3.32,6.0, 278, 0
0.02,3.88,6.0, 3, 0
0.02,3.8,6.0, 138, 0
0.02,4.22,6.0, 45, 0
0.02,3.68,6.0, 914, 0
0.02,4.1,6.0, 114, 0
0.02,4.18,6.0, 139, 0
0.02,3.8,6.0, 41, 0
0.02,3.82,6.0, 19, 0
0.02,4.42,6.0, 65, 0
0.02,4.1,6.0, 89, 0
0.02,3.8,6.0, 1287, 0
0.02,4.46,6.0, 2, 0
0.02,4.22,6.0, 14, 0
0.02,3.64,6.0, 2, 0
0.02,4.04,6.0, 58, 0
0.02,3.46,6.0, 405, 0
0.02,3.82,6.0, 302, 0
0.02,4.04,6.0, 376, 0
0.02,4.1,6.0, 390, 0
0.02,3.8,6.0, 188, 0
0.02,3.9,6.0, 371, 0
0.02,3.74,6.0, 86, 0
0.02,4.06,6.0, 332, 0
0.02,4.16,6.0, 96, 0
0.02,3.78,6.0, 241, 0
0.02,4.06,6.0, 26, 0
0.02,4.12,6.0, 62, 0
0.02,3.78,6.0, 21, 0
0.02,4.1,6.0, 26, 0
0.02,3.58,6.0, 312, 0
0.02,3.94,6.0, 47, 0
0.02,3.86,6.0, 9093, 0
0.02,4.04,6.0, 1, 0
0.02,3.92,6.0, 9859, 100
0.02,3.8,6.0, 299, 0
0.02,4.18,6.0, 40, 0
0.02,3.82,6.0, 12, 0
0.02,3.74,6.0, 6, 0
0.02,4.3,6.0, 49, 0
0.02,3.96,6.0, 25, 0
0.02,3.76,6.0, 30, 0
0.02,3.6,6.0, 190, 0
0.02,3.52,6.0, 17, 0
0.02,4.04,6.0, 681, 0
0.02,3.94,6.0, 1713, 0
0.02,4.36,6.0, 222, 0
0.02,3.66,6.0, 56, 0
0.02,3.82,6.0, 277, 0
0.02,3.84,6.0, 174, 0
0.02,4.06,6.0, 214, 0
0.02,3.76,6.0, 2868, 0
0.02,4.32,6.0, 376, 0
0.02,3.64,6.0, 171, 0
0.02,3.76,6.0, 1, 0
0.02,3.66,6.0, 32, 0
0.02,3.94,6.0, 1037, 0
0.02,3.74,6.0, 160, 0
0.02,4.06,6.0, 93, 0
0.02,4.18,6.0, 14, 0
0.02,3.7,6.0, 1, 0
0.02,3.84,6.0, 107, 0
0.02,3.56,6.0, 43, 0
0.02,3.74,6.0, 1, 0
0.02,4.06,6.0, 59, 0
0.02,3.72,6.0, 44, 0
0.02,4.26,6.0, 40, 0
0.02,4.28,6.0, 17, 0
0.02,3.9,6.0, 100, 0
0.02,3.88,6.0, 301, 0
0.02,3.94,6.0, 68, 0
0.02,3.94,6.0, 32409, 100
0.02,3.66,6.0, 2314, 0
0.02,4.28,6.0, 393, 0
0.02,4.3,6.0, 5, 0
0.02,3.62,6.0, 163, 0
0.02,3.62,6.0, 180, 0
0.02,3.94,6.0, 307, 0
0.02,3.64,6.0, 1583, 0
0.02,3.94,6.0, 20, 0
0.02,4.02,6.0, 12, 0
0.02,4.1,6.0, 18, 0
0.02,3.7,6.0, 62, 0
0.02,3.64,6.0, 557, 0
0.02,4.18,6.0, 12, 0
0.02,4.04,6.0, 131, 0
0.02,4.04,6.0, 454, 0
0.02,3.98,6.0, 16, 0
0.02,3.88,6.0, 7, 0
0.02,3.88,6.0, 2491, 0
0.02,4.1,6.0, 423, 0
0.02,3.96,6.0, 59, 0
0.02,3.84,6.0, 924, 0
0.02,3.72,6.0, 679, 0
0.02,3.68,6.0, 193, 0
0.02,3.74,6.0, 25, 0
0.02,4.1,6.0, 67, 0
0.02,4.16,6.0, 9, 0
0.02,3.82,6.0, 520, 0
0.02,3.82,6.0, 4, 0
0.02,3.78,6.0, 74, 0
0.02,3.84,6.0, 221, 0
0.02,4.0,6.0, 298, 0
0.02,3.64,6.0, 37, 0
0.02,4.02,6.0, 302, 0
0.02,3.58,6.0, 350, 0
0.02,3.88,6.0, 244, 0
0.02,3.66,6.0, 599, 0
0.02,3.92,6.0, 1649, 0
0.02,3.92,6.0, 5, 0
0.02,4.08,6.0, 6, 0
0.02,4.12,6.0, 87, 0
0.02,3.74,6.0, 4, 0
0.02,3.5,6.0, 3237, 0
0.02,3.92,6.0, 108, 0
0.02,3.96,6.0, 1750, 0
0.02,4.2,6.0, 14, 0
0.02,4.14,6.0, 103, 0
0.02,3.82,6.0, 402, 0
0.02,3.92,6.0, 360, 0
0.02,3.8,6.0, 387, 0
0.02,3.68,6.0, 5, 0
0.02,3.72,6.0, 57, 0
0.02,4.0,6.0, 44, 0
0.02,3.78,6.0, 49, 0
0.02,3.54,6.0, 397, 0
0.02,3.96,6.0, 89, 0
0.02,4.18,6.0, 531, 0
0.02,3.94,6.0, 10, 0
0.02,3.8,6.0, 3343, 0
0.02,3.9,6.0, 164, 0
0.02,3.9,6.0, 24, 0
0.02,3.92,6.0, 1, 0
0.02,3.64,6.0, 230, 0
0.02,4.18,6.0, 18, 0
0.02,3.66,6.0, 17, 0
0.02,3.86,6.0, 80, 0
0.02,3.88,6.0, 2, 0
0.02,3.68,6.0, 58, 0
0.02,4.06,6.0, 82, 0
0.02,4.08,6.0, 12, 0
0.02,3.92,6.0, 106, 0
0.02,4.0,6.0, 288, 0
0.02,3.8,6.0, 18, 0
0.02,3.86,6.0, 53, 0
0.02,3.88,6.0, 102, 0
0.02,3.74,6.0, 218, 0
0.02,4.18,6.0, 945, 0
0.02,3.44,6.0, 330, 0
0.02,3.86,6.0, 42, 0
0.02,3.98,6.0, 2181, 0
0.02,3.92,6.0, 269, 0
0.02,3.82,6.0, 16, 0
0.02,4.18,6.0, 195, 0
0.02,4.42,6.0, 10, 0
0.02,3.9,6.0, 68, 0
0.02,3.86,6.0, 176, 0
0.02,4.2,6.0, 8, 0
0.02,3.92,6.0, 141, 0
0.02,4.0,6.0, 61, 0
0.02,4.14,6.0, 58, 0
0.02,4.12,6.0, 1304, 0
0.02,3.84,6.0, 4, 0
0.02,3.86,6.0, 19, 0
0.02,3.82,6.0, 191, 0
0.02,4.12,6.0, 114, 0
0.02,3.82,6.0, 226, 0
0.02,3.58,6.0, 781, 0
0.02,3.92,6.0, 12, 0
0.02,3.88,6.0, 32, 0
0.02,3.6,6.0, 130, 0
0.02,3.7,6.0, 16, 0
0.02,3.68,6.0, 132, 0
0.02,4.02,6.0, 203, 0
0.02,4.1,6.0, 9, 0
0.02,4.38,6.0, 34, 0
0.02,3.78,6.0, 1125, 0
0.02,4.12,6.0, 380, 0
0.02,3.84,6.0, 178, 0
0.02,3.94,6.0, 497, 0
0.02,3.72,6.0, 79, 0
0.02,4.02,6.0, 14, 0
0.02,4.1,6.0, 153, 0
0.02,3.62,6.0, 195, 0
0.02,3.94,6.0, 441, 0
0.02,4.06,6.0, 822, 0
0.02,4.08,6.0, 1055, 0
0.02,3.74,6.0, 27, 0
0.02,3.56,6.0, 133, 0
0.02,3.82,6.0, 1810, 0
0.02,3.9,6.0, 68, 0
0.02,4.2,6.0, 204, 0
0.02,4.02,6.0, 13, 0
0.02,4.12,6.0, 48, 0
0.02,3.88,6.0, 2135, 0
0.02,4.0,6.0, 12059, 0
0.02,3.56,6.0, 20, 0
0.02,4.1,6.0, 177, 0
0.02,4.1,6.0, 45, 0
0.02,3.9,6.0, 346, 0
0.02,3.94,6.0, 1932, 0
0.02,4.14,6.0, 58, 0
0.02,3.82,6.0, 291, 0
0.02,4.12,6.0, 3, 0
0.02,3.86,6.0, 156, 0
0.02,3.8,6.0, 170, 0
0.02,3.62,6.0, 25, 0
0.02,4.04,6.0, 34, 0
0.02,3.9,6.0, 152, 0
0.02,3.88,6.0, 235, 0
0.02,4.0,6.0, 16, 0
0.02,3.9,6.0, 462, 0
0.02,4.02,6.0, 19, 0
0.02,4.0,6.0, 11, 0
0.02,4.08,6.0, 298, 0
0.02,3.9,6.0, 29, 0
0.02,4.1,6.0, 45, 0
0.02,3.8,6.0, 44, 0
0.02,4.14,6.0, 66, 0
0.02,4.14,6.0, 2, 0
0.02,4.08,6.0, 558, 0
0.02,3.9,6.0, 537, 0
0.02,4.1,6.0, 172, 0
0.02,3.94,6.0, 13, 0
0.02,4.04,6.0, 102, 0
0.02,3.76,6.0, 499, 0
0.02,4.06,6.0, 67, 0
0.02,4.24,6.0, 7, 0
0.02,3.42,6.0, 156, 0
0.02,3.7,6.0, 52, 0
0.02,3.9,6.0, 343, 0
0.02,4.16,6.0, 385, 0
0.02,4.08,6.0, 80, 0
0.02,3.98,6.0, 6, 0
0.02,3.68,6.0, 2, 0
0.02,3.86,6.0, 87, 0
0.02,4.34,6.0, 5861, 0
0.02,3.82,6.0, 283, 0
0.02,4.18,6.0, 10, 0
0.02,3.9,6.0, 222, 0
0.02,3.74,6.0, 3626, 0
0.02,3.76,6.0, 104, 0
0.02,3.68,6.0, 22, 0
0.02,3.86,6.0, 213, 0
0.02,3.9,6.0, 112, 0
0.02,4.1,6.0, 8, 0
0.02,4.02,6.0, 59, 0
0.02,3.96,6.0, 2, 0
0.02,4.1,6.0, 126, 0
0.02,3.9,6.0, 61, 0
0.02,3.96,6.0, 134, 0
0.02,3.92,6.0, 319, 0
0.02,3.9,6.0, 17, 0
0.02,4.28,6.0, 212, 0
0.02,3.72,6.0, 128, 0
0.02,3.7,6.0, 11, 0
0.02,4.34,6.0, 32, 0
0.02,3.76,6.0, 383, 0
0.02,3.9,6.0, 66, 0
0.02,3.92,6.0, 140, 0
0.02,3.7,6.0, 241, 0
0.02,3.76,6.0, 30, 0
0.02,3.62,6.0, 7161, 0
0.02,3.58,6.0, 1091, 0
0.02,4.04,6.0, 484, 0
0.02,3.94,6.0, 207, 0
0.02,3.9,6.0, 6, 0
0.02,3.92,6.0, 141, 0
0.02,4.08,6.0, 92, 0
0.02,3.74,6.0, 1460, 0
0.02,3.92,6.0, 101, 0
0.02,3.78,6.0, 13, 0
0.02,3.78,6.0, 2, 0
0.02,4.0,6.0, 264, 0
0.02,4.1,6.0, 444, 0
0.02,3.82,6.0, 5, 0
0.02,3.96,6.0, 318, 0
0.02,4.04,6.0, 42, 0
0.02,4.04,6.0, 27, 0
0.02,3.7,6.0, 7501, 100
0.02,3.78,6.0, 1174, 0
0.02,3.94,6.0, 32, 0
0.02,3.58,6.0, 11396, 0
0.02,3.62,6.0, 623, 0
0.02,3.34,6.0, 5, 0
0.02,4.04,6.0, 187, 0
0.02,3.92,6.0, 16, 0
0.02,3.84,6.0, 85, 0
0.02,3.92,6.0, 170, 0
0.02,3.8,6.0, 5, 0
0.02,3.94,6.0, 11, 0
0.02,3.94,6.0, 15, 0
0.02,4.06,6.0, 28, 0
0.02,3.58,6.0, 43, 0
0.02,4.0,6.0, 227, 0
0.02,4.02,6.0, 335, 0
0.02,4.14,6.0, 35, 0
0.02,3.98,6.0, 30, 0
0.02,3.76,6.0, 144, 0
0.02,3.7,6.0, 176, 0
0.02,3.68,6.0, 211, 0
0.02,3.78,6.0, 4, 0
0.02,3.74,6.0, 154, 0
0.02,3.94,6.0, 175, 0
0.02,4.08,6.0, 135, 0
0.02,4.12,6.0, 148, 0
0.02,3.92,6.0, 7, 0
0.02,4.14,6.0, 6, 0
0.02,4.16,6.0, 280, 0
0.02,3.82,6.0, 8, 0
0.02,3.86,6.0, 54, 0
0.02,4.26,6.0, 7, 0
0.02,3.88,6.0, 148, 0
0.02,4.14,6.0, 9, 0
0.02,3.96,6.0, 29, 0
0.02,3.68,6.0, 65, 0
0.02,3.98,6.0, 90, 0
0.02,3.84,6.0, 225, 0
0.02,3.92,6.0, 264, 0
0.02,3.58,6.0, 183, 0
0.02,4.18,6.0, 41, 0
0.02,4.24,6.0, 38, 0
0.02,3.84,6.0, 139, 0
0.02,3.9,6.0, 20, 0
0.02,4.04,6.0, 22, 0
0.02,3.72,6.0, 10203, 100
0.02,3.96,6.0, 1, 0
0.02,4.0,6.0, 181, 0
0.02,4.12,6.0, 367, 0
0.02,4.0,6.0, 195, 0
0.02,3.9,6.0, 11372, 0
0.02,3.94,6.0, 30, 0
0.02,3.9,6.0, 19, 0
0.02,4.12,6.0, 33, 0
0.02,3.78,6.0, 1780, 0
0.02,3.96,6.0, 65, 0
0.02,3.68,6.0, 11336, 100
0.02,3.8,6.0, 119, 0
0.02,3.9,6.0, 34, 0
0.02,3.92,6.0, 18, 0
0.02,4.02,6.0, 103, 0
0.02,3.88,6.0, 71, 0
0.02,4.04,6.0, 355, 0
0.02,3.94,6.0, 376, 0
0.02,3.88,6.0, 2, 0
0.02,4.22,6.0, 42, 0
0.02,3.84,6.0, 275, 0
0.02,3.86,6.0, 212, 0
0.02,3.94,6.0, 65, 0
0.02,3.7,6.0, 129, 0
0.02,3.78,6.0, 50, 0
0.02,3.84,6.0, 25, 0
0.02,3.88,6.0, 12967, 0
0.02,3.88,6.0, 40, 0
0.02,3.96,6.0, 42, 0
0.02,3.66,6.0, 17, 0
0.02,4.08,6.0, 821, 0
0.02,3.8,6.0, 125, 0
0.02,3.7,6.0, 35, 0
0.02,3.78,6.0, 13, 0
0.02,4.1,6.0, 140, 0
0.02,3.92,6.0, 84, 0
0.02,3.88,6.0, 1, 0
