p, k, b/c, n, result
0.06,7.92,9.0, 172, 0
0.06,7.78,9.0, 276, 0
0.06,7.78,9.0, 307, 0
0.06,7.9,9.0, 9, 0
0.06,7.36,9.0, 73, 0
0.06,7.94,9.0, 171, 0
0.06,7.9,9.0, 45, 0
0.06,7.56,9.0, 248, 0
0.06,7.56,9.0, 212, 0
0.06,8.12,9.0, 3566, 0
0.06,8.14,9.0, 22, 0
0.06,7.52,9.0, 3, 0
0.06,7.42,9.0, 99, 0
0.06,7.62,9.0, 5, 0
0.06,7.96,9.0, 57, 0
0.06,7.86,9.0, 768, 0
0.06,7.54,9.0, 89, 0
0.06,7.72,9.0, 240, 0
0.06,7.78,9.0, 163, 0
0.06,8.18,9.0, 678, 0
0.06,7.44,9.0, 30, 0
0.06,7.48,9.0, 355, 0
0.06,8.42,9.0, 169, 0
0.06,7.98,9.0, 86, 0
0.06,7.62,9.0, 681, 0
0.06,7.72,9.0, 104, 0
0.06,8.08,9.0, 11, 0
0.06,8.34,9.0, 57, 0
0.06,7.14,9.0, 913, 0
0.06,8.02,9.0, 337, 0
0.06,8.14,9.0, 490, 0
0.06,7.5,9.0, 17, 0
0.06,7.44,9.0, 199, 0
0.06,7.76,9.0, 275, 0
0.06,8.28,9.0, 18, 0
0.06,8.6,9.0, 104, 0
0.06,7.8,9.0, 120, 0
0.06,7.78,9.0, 38, 0
0.06,7.16,9.0, 68, 0
0.06,7.34,9.0, 11, 0
0.06,7.66,9.0, 198, 0
0.06,7.62,9.0, 145, 0
0.06,7.48,9.0, 14, 0
0.06,8.04,9.0, 82, 0
0.06,7.92,9.0, 73, 0
0.06,8.14,9.0, 2351, 0
0.06,7.94,9.0, 21, 0
0.06,7.72,9.0, 14553, 0
0.06,8.52,9.0, 1067, 0
0.06,7.86,9.0, 65, 0
0.06,7.84,9.0, 78, 0
0.06,7.8,9.0, 120, 0
0.06,7.7,9.0, 19, 0
0.06,7.7,9.0, 4090, 0
0.06,7.78,9.0, 9, 0
0.06,8.12,9.0, 7, 0
0.06,7.24,9.0, 154, 0
0.06,7.44,9.0, 488, 0
0.06,8.56,9.0, 32, 0
0.06,8.0,9.0, 55, 0
0.06,7.74,9.0, 91, 0
0.06,7.6,9.0, 55, 0
0.06,7.62,9.0, 54, 0
0.06,7.7,9.0, 200, 0
0.06,8.3,9.0, 54, 0
0.06,7.46,9.0, 53, 0
0.06,7.34,9.0, 124, 0
0.06,8.32,9.0, 45, 0
0.06,8.04,9.0, 65, 0
0.06,8.1,9.0, 136, 0
0.06,7.84,9.0, 58, 0
0.06,7.94,9.0, 314, 0
0.06,8.12,9.0, 181, 0
0.06,7.14,9.0, 1, 0
0.06,7.94,9.0, 21, 0
0.06,7.5,9.0, 200, 0
