p, k, b/c, n, result
0.06,8.02,8.5, 28, 0
0.06,7.44,8.5, 77, 0
0.06,8.06,8.5, 96, 0
0.06,7.72,8.5, 101, 0
0.06,8.16,8.5, 407, 0
0.06,8.02,8.5, 89, 0
0.06,7.86,8.5, 51, 0
0.06,7.36,8.5, 2, 0
0.06,8.0,8.5, 699, 0
0.06,7.26,8.5, 18, 0
0.06,7.54,8.5, 100, 0
0.06,7.54,8.5, 367, 0
0.06,8.0,8.5, 49, 0
0.06,8.06,8.5, 11, 0
0.06,8.0,8.5, 2, 0
0.06,7.38,8.5, 20, 0
0.06,8.04,8.5, 61, 0
0.06,7.74,8.5, 46, 0
0.06,8.06,8.5, 131, 0
0.06,7.9,8.5, 127, 0
0.06,7.54,8.5, 76, 0
0.06,7.84,8.5, 253, 0
0.06,7.96,8.5, 20, 0
0.06,7.94,8.5, 4903, 0
0.06,7.2,8.5, 45, 0
0.06,7.58,8.5, 805, 0
0.06,7.38,8.5, 100, 0
0.06,8.16,8.5, 120, 0
0.06,8.04,8.5, 14, 0
0.06,7.28,8.5, 11, 0
0.06,7.8,8.5, 128, 0
0.06,7.62,8.5, 19, 0
0.06,8.18,8.5, 195, 0
0.06,8.04,8.5, 119, 0
0.06,7.66,8.5, 159, 0
0.06,7.76,8.5, 37, 0
0.06,7.84,8.5, 72, 0
0.06,7.94,8.5, 246, 0
0.06,8.4,8.5, 30, 0
0.06,7.34,8.5, 346, 0
0.06,8.14,8.5, 49, 0
0.06,8.22,8.5, 1891, 0
0.06,7.82,8.5, 269, 0
0.06,7.88,8.5, 32, 0
0.06,8.1,8.5, 373, 0
0.06,7.86,8.5, 30, 0
0.06,8.12,8.5, 47, 0
0.06,7.78,8.5, 112, 0
0.06,7.54,8.5, 2181, 0
0.06,7.56,8.5, 3, 0
0.06,7.9,8.5, 9, 0
0.06,7.86,8.5, 3, 0
0.06,7.7,8.5, 229, 0
0.06,7.44,8.5, 50, 0
0.06,7.64,8.5, 556, 0
0.06,7.84,8.5, 34, 0
0.06,8.34,8.5, 54, 0
0.06,7.76,8.5, 93, 0
0.06,7.78,8.5, 939, 0
0.06,7.52,8.5, 162, 0
0.06,7.68,8.5, 109, 0
0.06,8.26,8.5, 42, 0
0.06,7.18,8.5, 136, 0
0.06,7.96,8.5, 1, 0
0.06,7.82,8.5, 39, 0
0.06,7.6,8.5, 17, 0
0.06,7.28,8.5, 348, 0
0.06,7.76,8.5, 34, 0
0.06,7.22,8.5, 150, 0
0.06,7.8,8.5, 22, 0
0.06,8.12,8.5, 1058, 0
0.06,7.64,8.5, 61, 0
0.06,8.38,8.5, 69, 0
0.06,7.64,8.5, 103, 0
0.06,8.08,8.5, 657, 0
0.06,7.34,8.5, 73, 0
0.06,8.1,8.5, 340, 0
0.06,7.54,8.5, 10607, 0
0.06,8.06,8.5, 560, 0
0.06,7.62,8.5, 31, 0
0.06,7.88,8.5, 10616, 0
0.06,7.66,8.5, 128, 0
0.06,8.18,8.5, 46, 0
0.06,7.54,8.5, 96, 0
0.06,7.64,8.5, 1409, 0
0.06,7.38,8.5, 76, 0
0.06,7.54,8.5, 2166, 0
0.06,7.66,8.5, 215, 0
0.06,7.86,8.5, 9226, 0
0.06,7.28,8.5, 122, 0
0.06,7.94,8.5, 59, 0
0.06,8.16,8.5, 12, 0
0.06,7.48,8.5, 80, 0
0.06,7.84,8.5, 318, 0
0.06,7.42,8.5, 474, 0
0.06,8.22,8.5, 360, 0
0.06,7.88,8.5, 2893, 0
0.06,8.4,8.5, 221, 0
0.06,7.76,8.5, 76, 0
0.06,8.12,8.5, 31, 0
0.06,7.76,8.5, 751, 0
0.06,7.64,8.5, 994, 0
0.06,7.98,8.5, 6, 0
0.06,8.18,8.5, 114, 0
0.06,7.78,8.5, 85, 0
0.06,8.06,8.5, 109, 0
0.06,7.74,8.5, 14, 0
0.06,7.94,8.5, 497, 0
0.06,8.0,8.5, 148, 0
0.06,7.52,8.5, 518, 0
0.06,8.1,8.5, 257, 0
0.06,7.7,8.5, 5, 0
0.06,8.04,8.5, 592, 0
0.06,7.66,8.5, 15, 0
0.06,7.58,8.5, 379, 0
0.06,7.2,8.5, 47, 0
0.06,8.56,8.5, 140, 0
0.06,8.18,8.5, 40, 0
0.06,8.2,8.5, 41, 0
0.06,7.42,8.5, 15, 0
0.06,8.24,8.5, 181, 0
0.06,7.9,8.5, 251, 0
0.06,7.68,8.5, 21, 0
0.06,7.22,8.5, 17, 0
0.06,8.64,8.5, 171, 0
0.06,8.06,8.5, 49, 0
0.06,7.98,8.5, 412, 0
0.06,8.22,8.5, 115, 0
0.06,7.68,8.5, 5, 0
0.06,7.8,8.5, 21, 0
0.06,7.72,8.5, 572, 0
0.06,8.12,8.5, 39, 0
0.06,7.38,8.5, 73, 0
0.06,7.76,8.5, 4, 0
0.06,8.1,8.5, 98, 0
0.06,7.48,8.5, 104, 0
0.06,7.74,8.5, 473, 0
0.06,7.98,8.5, 233, 0
0.06,7.8,8.5, 34, 0
0.06,7.82,8.5, 70, 0
0.06,7.6,8.5, 137, 0
0.06,7.24,8.5, 62, 0
0.06,7.92,8.5, 203, 0
0.06,7.9,8.5, 383, 0
0.06,8.26,8.5, 304, 0
0.06,7.66,8.5, 134, 0
0.06,7.68,8.5, 191, 0
0.06,8.3,8.5, 99, 0
0.06,8.16,8.5, 9, 0
0.06,8.18,8.5, 285, 0
0.06,8.34,8.5, 45, 0
0.06,7.68,8.5, 46, 0
0.06,7.26,8.5, 49, 0
0.06,7.16,8.5, 227, 0
0.06,7.86,8.5, 77, 0
0.06,8.2,8.5, 87, 0
0.06,8.1,8.5, 1417, 0
0.06,7.8,8.5, 3919, 0
0.06,7.4,8.5, 104, 0
0.06,7.62,8.5, 36, 0
0.06,7.18,8.5, 450, 0
0.06,7.42,8.5, 41, 0
0.06,7.74,8.5, 292, 0
0.06,7.92,8.5, 19, 0
0.06,8.3,8.5, 69, 0
0.06,7.56,8.5, 17603, 100
0.06,7.86,8.5, 76, 0
